 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,59,,263,,425,,59,,191,,2673,,8355,,9460,,2673,,7884,,35,,80,,161,,35,,134,,,
NEW ENGLAND,2017,1,2,,21,,37,,2,,19,,60,,172,,262,,60,,148,,,-,5,,16,,,-,7,,,
MID. ATLANTIC,2017,1,23,,49,,83,,23,,32,,454,,967,,1203,,454,,1125,,3,,13,,23,,3,,14,,,
NEW YORK CITY,2017,1,12,,17,,25,,12,,13,,154,,355,,503,,154,,383,,1,,2,,7,,1,,2,,,
E.N. CENTRAL,2017,1,3,,26,,147,,3,,19,,247,,1180,,1358,,247,,1342,,8,,13,,26,,8,,26,,,
W.N. CENTRAL,2017,1,1,,16,,41,,1,,17,,219,,509,,629,,219,,555,,3,,5,,12,,3,,12,,,
S. ATLANTIC,2017,1,10,,50,,77,,10,,44,,373,,1660,,2421,,373,,1390,,10,,19,,89,,10,,33,,,
E.S. CENTRAL,2017,1,2,,4,,13,,2,,3,,18,,470,,722,,18,,341,,3,,7,,19,,3,,19,,,
W.S. CENTRAL,2017,1,,-,4,,20,,,-,1,,775,,1234,,1683,,775,,1075,,1,,9,,17,,1,,3,,,
MOUNTAIN,2017,1,13,,14,,33,,13,,12,,80,,496,,692,,80,,429,,5,,7,,14,,5,,14,,,
PACIFIC,2017,1,5,,70,,117,,5,,44,,447,,1491,,1917,,447,,1479,,2,,4,,12,,2,,6,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PUERTO RICO,2017,1,,-,0,,3,,,-,,-,,-,13,,27,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DELAWARE,2017,1,,-,0,,3,,,-,,-,29,,32,,59,,29,,21,,2,,0,,2,,2,,,-,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2017,1,4,,11,,31,,4,,4,,185,,286,,353,,185,,292,,2,,4,,10,,2,,5,,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2017,1,,-,11,,18,,,-,10,,56,,90,,145,,56,,100,,,-,2,,8,,,-,3,,"MASSACHUSETTS
(42.268546, -72.085064)",
ILLINOIS,2017,1,,N,0,,0,,,N,,N,,-,273,,431,,,-,431,,,-,4,,9,,,-,7,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,1,,-,1,,2,,,-,1,,,-,5,,16,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MONTANA,2017,1,,-,2,,8,,,-,1,,1,,16,,30,,1,,26,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2017,1,,-,4,,11,,,-,7,,8,,158,,243,,8,,24,,,-,2,,6,,,-,6,,"MARYLAND
(39.290443, -76.612333)",
TEXAS,2017,1,,N,0,,0,,,N,,N,759,,825,,982,,759,,889,,1,,6,,12,,1,,,-,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2017,1,,-,1,,8,,,-,,-,,-,11,,34,,,-,26,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,1,,-,3,,13,,,-,9,,37,,148,,392,,37,,392,,,-,2,,8,,,-,5,,"NEW JERSEY
(40.104655, -74.386686)",
WISCONSIN,2017,1,1,,9,,83,,1,,2,,102,,124,,154,,102,,121,,,-,1,,6,,,-,4,,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WASHINGTON,2017,1,,-,10,,49,,,-,,-,109,,153,,290,,109,,171,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2017,1,,-,3,,8,,,-,3,,78,,181,,265,,78,,191,,,-,2,,6,,,-,3,,"INDIANA
(39.76845, -86.156212)",
VIRGINIA,2017,1,,-,5,,12,,,-,3,,,-,135,,776,,,-,332,,,-,2,,6,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2017,1,1,,2,,9,,1,,4,,14,,43,,78,,14,,37,,3,,0,,4,,3,,,-,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OKLAHOMA,2017,1,,N,0,,0,,,N,,N,16,,107,,157,,16,,149,,,-,1,,5,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
OREGON,2017,1,3,,6,,18,,3,,3,,86,,81,,129,,86,,58,,2,,2,,6,,2,,4,,"OREGON
(44.567912, -120.156945)",
KENTUCKY,2017,1,,N,0,,0,,,N,,N,18,,104,,227,,18,,14,,,-,1,,4,,,-,4,,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,1,,-,1,,4,,,-,,-,,-,61,,99,,,-,58,,,-,1,,4,,,-,,-,"NEVADA
(39.491833, -117.070159)",
