Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2017,1,7,,31,,100,,7,,23,,13,,54,,79,,13,,58,,4,,44,,71,,4,,56,,,
NEW ENGLAND,2017,1,,-,2,,4,,,-,1,,,-,1,,4,,,-,1,,1,,4,,14,,1,,9,,,
MID. ATLANTIC,2017,1,1,,4,,10,,1,,4,,,-,4,,7,,,-,4,,,-,7,,17,,,-,10,,,
NEW YORK CITY,2017,1,,-,1,,3,,,-,1,,,-,1,,3,,,-,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,1,,-,3,,8,,,-,4,,2,,11,,20,,2,,13,,,-,8,,20,,,-,11,,,
W.N. CENTRAL,2017,1,,-,1,,5,,,-,,-,,-,1,,7,,,-,4,,,-,2,,7,,,-,5,,,
S. ATLANTIC,2017,1,3,,7,,55,,3,,9,,6,,19,,34,,6,,17,,2,,10,,20,,2,,6,,,
MARYLAND,2017,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
E.S. CENTRAL,2017,1,,-,1,,4,,,-,2,,3,,9,,18,,3,,13,,1,,5,,17,,1,,10,,,
W.S. CENTRAL,2017,1,,-,3,,7,,,-,,-,1,,4,,14,,1,,1,,,-,1,,5,,,-,,-,,
MOUNTAIN,2017,1,1,,2,,5,,1,,3,,1,,1,,3,,1,,2,,,-,2,,7,,,-,4,,,
PACIFIC,2017,1,2,,6,,36,,2,,,-,,-,3,,6,,,-,3,,,-,2,,9,,,-,1,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OREGON,2017,1,1,,0,,2,,1,,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,0,,4,,,-,2,,"MINNESOTA
(46.357661, -94.793397)",
MISSISSIPPI,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2017,1,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MAINE,2017,1,,-,0,,1,,,-,1,,,-,1,,3,,,-,,-,1,,0,,2,,1,,,-,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,1,,-,0,,3,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2017,1,,-,0,,1,,,-,,-,1,,0,,3,,1,,,-,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2017,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
