Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Current week","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Current week","Invasive Pneumococcal Disease§, Age LT 5, Probable, Current week, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2017","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2016","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,8,,18,,35,,8,,23,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,1,,-,1,,4,,,-,1,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,1,1,,1,,7,,1,,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,2,,2,,6,,2,,6,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,1,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,1,1,,5,,9,,1,,6,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,1,,-,2,,7,,,-,5,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,1,2,,4,,13,,2,,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,1,2,,2,,6,,2,,4,,,-,0,,1,,,-,,-,,
PACIFIC,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2017,1,,-,0,,4,,,-,2,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2017,1,2,,1,,5,,2,,3,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,1,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK,2017,1,1,,1,,4,,1,,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
UTAH,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
IDAHO,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TEXAS,2017,1,,-,3,,8,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WYOMING,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
HAWAII,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,1,,-,1,,4,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2017,1,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
RHODE ISLAND,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2017,1,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
