 Reporting Area,MMWR Year,MMWR Week,"Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2017","Legionellosis, Cum 2017, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2017","Malaria, Cum 2017, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,43,,97,,210,,43,,85,,10,,31,,84,,10,,22,,,
NEW ENGLAND,2017,1,1,,4,,21,,1,,3,,,-,2,,7,,,-,1,,,
MID. ATLANTIC,2017,1,13,,20,,64,,13,,23,,5,,8,,24,,5,,5,,,
NEW YORK CITY,2017,1,11,,4,,31,,11,,4,,4,,5,,17,,4,,5,,,
E.N. CENTRAL,2017,1,19,,17,,71,,19,,22,,1,,3,,25,,1,,2,,,
W.N. CENTRAL,2017,1,1,,5,,18,,1,,2,,1,,1,,5,,1,,1,,,
S. ATLANTIC,2017,1,5,,19,,33,,5,,20,,,-,8,,26,,,-,11,,,
E.S. CENTRAL,2017,1,3,,5,,13,,3,,3,,,-,1,,3,,,-,1,,,
W.S. CENTRAL,2017,1,,-,6,,27,,,-,1,,,-,2,,10,,,-,1,,,
MOUNTAIN,2017,1,1,,3,,10,,1,,1,,1,,1,,5,,1,,,-,,
PACIFIC,2017,1,,-,10,,19,,,-,10,,2,,3,,9,,2,,,-,,
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
TEXAS,2017,1,,-,4,,16,,,-,,-,,-,2,,9,,,-,1,,"TEXAS
(31.827233, -99.423022)",
WYOMING,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UTAH,2017,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"UTAH
(39.359772, -111.584173)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OHIO,2017,1,19,,8,,32,,19,,8,,1,,1,,13,,1,,1,,"OHIO
(40.056807, -82.405897)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2017,1,,-,1,,3,,,-,,-,2,,0,,3,,2,,,-,"OREGON
(44.567912, -120.156945)",
COLORADO,2017,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2017,1,,-,0,,6,,,-,1,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH CAROLINA,2017,1,,-,1,,4,,,-,,-,,-,0,,3,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2017,1,,-,1,,6,,,-,,-,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2017,1,2,,7,,26,,2,,7,,,-,1,,8,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
FLORIDA,2017,1,5,,5,,13,,5,,4,,,-,1,,4,,,-,3,,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
DELAWARE,2017,1,,-,0,,2,,,-,2,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2017,1,,-,2,,7,,,-,,-,,-,1,,4,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
RHODE ISLAND,2017,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2017,1,3,,2,,7,,3,,3,,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,1,,-,4,,8,,,-,7,,,-,1,,4,,,-,3,,"NORTH CAROLINA
(35.47995, -79.180571)",
PENNSYLVANIA,2017,1,,-,6,,18,,,-,9,,1,,1,,5,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WEST VIRGINIA,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2017,1,,-,0,,20,,,-,,-,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARIZONA,2017,1,1,,1,,3,,1,,1,,1,,0,,4,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
GEORGIA,2017,1,,-,2,,6,,,-,3,,,-,1,,5,,,-,3,,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,1,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEBRASKA,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MISSOURI,2017,1,1,,2,,13,,1,,1,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,1,,-,9,,18,,,-,10,,,-,2,,7,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2017,1,,-,4,,17,,,-,3,,,-,1,,5,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2017,1,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2017,1,,-,0,,4,,,-,1,,1,,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
LOUISIANA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2017,1,,-,2,,7,,,-,3,,,-,1,,7,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,1,1,,1,,6,,1,,1,,,-,0,,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2017,1,,-,3,,23,,,-,5,,,-,0,,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ALABAMA,2017,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
NEVADA,2017,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,1,,-,3,,6,,,-,4,,,-,3,,10,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VERMONT,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALASKA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
IOWA,2017,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"IOWA
(42.46942, -93.815856)",
INDIANA,2017,1,,-,2,,12,,,-,5,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,1,,-,0,,6,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
PUERTO RICO,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2017,1,,-,2,,11,,,-,2,,,-,1,,6,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
UNITED STATES,2017,2,41,,97,,210,,87,,161,,11,,32,,85,,27,,39,,,
NEW ENGLAND,2017,2,,-,4,,21,,1,,5,,,-,2,,7,,,-,4,,,
MID. ATLANTIC,2017,2,9,,20,,64,,24,,33,,4,,8,,24,,11,,11,,,
NEW YORK CITY,2017,2,7,,4,,31,,18,,8,,4,,4,,17,,8,,7,,,
E.N. CENTRAL,2017,2,9,,17,,71,,28,,34,,1,,3,,25,,2,,4,,,
W.N. CENTRAL,2017,2,2,,5,,19,,4,,3,,,-,1,,5,,1,,1,,,
S. ATLANTIC,2017,2,11,,19,,34,,16,,44,,3,,8,,26,,7,,14,,,
E.S. CENTRAL,2017,2,6,,5,,13,,9,,7,,,-,1,,3,,,-,3,,,
W.S. CENTRAL,2017,2,3,,6,,27,,3,,3,,1,,2,,11,,1,,1,,,
MOUNTAIN,2017,2,1,,3,,10,,2,,6,,2,,1,,5,,3,,,-,,
PACIFIC,2017,2,,-,10,,20,,,-,26,,,-,3,,9,,2,,1,,,
AMER. SAMOA,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
NEW MEXICO,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2017,2,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALASKA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2017,2,,-,2,,6,,,-,8,,,-,1,,5,,1,,3,,"GEORGIA
(32.836038, -83.631709)",
IOWA,2017,2,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2017,2,1,,0,,3,,1,,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2017,2,2,,1,,4,,2,,1,,,-,0,,1,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
PUERTO RICO,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CONNECTICUT,2017,2,,-,1,,6,,1,,1,,,-,0,,1,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2017,2,2,,2,,6,,2,,6,,2,,3,,10,,5,,2,,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2017,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WYOMING,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2017,2,2,,2,,7,,5,,6,,,-,0,,2,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2017,2,2,,1,,6,,2,,,-,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2017,2,,-,9,,18,,,-,25,,,-,2,,7,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OKLAHOMA,2017,2,,-,0,,20,,,-,,-,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK,2017,2,,-,6,,26,,2,,11,,,-,1,,8,,,-,1,,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2017,2,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
UTAH,2017,2,,-,0,,3,,,-,2,,1,,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
SOUTH CAROLINA,2017,2,2,,1,,4,,2,,1,,,-,0,,3,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST VIRGINIA,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
