Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,2,8,2
2014,9,0,9,2
2014,10,1,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,1,17,4
2014,18,2,18,6
2014,19,0,19,6
2014,20,0,20,6
2014,21,1,21,7
2014,22,0,22,7
2014,23,1,23,8
2014,24,3,24,11
2014,25,7,25,18
2014,26,2,26,20
2014,27,4,27,24
2014,28,14,28,38
2014,29,9,29,47
2014,30,28,30,75
2014,31,49,31,124
2014,32,34,32,158
2014,33,35,33,193
2014,34,33,34,226
2014,35,16,35,242
2014,36,25,36,267
2014,37,16,37,283
2014,38,20,38,303
2014,39,13,39,316
2014,40,14,40,330
2014,41,4,41,334
2014,42,4,42,338
2014,43,3,43,341
2014,44,1,44,342
2014,45,6,45,348
2014,46,12,46,360
2014,47,4,47,364
2014,48,5,48,369
2014,49,0,49,369
2014,50,3,50,372
2014,51,1,51,373
2014,52,0,52,373
2014,53,0,53,373
2015,1,0,54,373
2015,2,0,55,373
2015,3,1,56,374
2015,4,0,57,374
2015,5,1,58,375
2015,6,1,59,376
2015,7,0,60,376
2015,8,0,61,376
2015,9,1,62,377
2015,10,1,63,378
2015,11,0,64,378
2015,12,0,65,378
2015,13,0,66,378
2015,14,0,67,378
2015,15,0,68,378
2015,16,0,69,378
2015,17,0,70,378
2015,18,0,71,378
2015,19,1,72,379
2015,20,0,73,379
2015,21,1,74,380
2015,22,1,75,381
2015,23,0,76,381
2015,24,1,77,382
2015,25,4,78,386
2015,26,3,79,389
2015,27,5,80,394
2015,28,2,81,396
2015,29,20,82,416
2015,30,20,83,436
2015,31,32,84,468
2015,32,25,85,493
2015,33,18,86,511
2015,34,26,87,537
2015,35,13,88,550
2015,36,8,89,558
2015,37,9,90,567
2015,38,12,91,579
2015,39,7,92,586
2015,40,28,93,614
2015,41,25,94,639
2015,42,27,95,666
2015,43,9,96,675
2015,44,3,97,678
2015,45,2,98,680
2015,46,1,99,681
2015,47,1,100,682
2015,48,11,101,693
2015,49,4,102,697
2015,50,4,103,701
2015,51,6,104,707
2015,52,2,105,709
2016,1,1,106,710
2016,2,0,107,710
2016,3,0,108,710
2016,4,2,109,712
2016,5,1,110,713
2016,6,0,111,713
2016,7,1,112,714
2016,8,0,113,714
2016,9,0,114,714
2016,10,0,115,714
2016,11,4,116,718
2016,12,0,117,718
2016,13,4,118,722
2016,14,1,119,723
2016,15,0,120,723
2016,16,1,121,724
2016,17,1,122,725
2016,18,1,123,726
2016,19,0,124,726
2016,20,2,125,728
2016,21,0,126,728
2016,22,0,127,728
2016,23,5,128,733
2016,24,3,129,736
2016,25,6,130,742
2016,26,5,131,747
2016,27,2,132,749
2016,28,13,133,762
2016,29,19,134,781
2016,30,15,135,796
2016,31,22,136,818
2016,32,22,137,840
2016,33,9,138,849
2016,34,18,139,867
2016,35,0,140,867
2016,36,12,141,879
2016,37,4,142,883
2016,38,12,143,895
2016,39,11,144,906
2016,40,5,145,911
2016,41,4,146,915
2016,42,18,147,933
2016,43,14,148,947
2016,44,3,149,950
2016,45,2,150,952
2016,46,2,151,954
2016,47,2,152,956
2016,48,11,153,967
2016,49,4,154,971
2016,50,1,155,972
2016,51,2,156,974
2016,52,1,157,975
2017,1,1,158,976
2017,2,0,159,976
2017,3,0,160,976
2017,4,0,161,976
2017,5,0,162,976
2017,6,1,163,977
2017,7,2,164,979
2017,8,0,165,979
2017,9,0,166,979
2017,10,0,167,979
2017,11,0,168,979
2017,12,0,169,979
2017,13,1,170,980
2017,14,0,171,980
2017,15,1,172,981
