Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,3,55,3
2015,3,3,56,6
2015,4,1,57,7
2015,5,6,58,13
2015,6,0,59,13
2015,7,4,60,17
2015,8,13,61,30
2015,9,5,62,35
2015,10,12,63,47
2015,11,6,64,53
2015,12,22,65,75
2015,13,23,66,98
2015,14,10,67,108
2015,15,17,68,125
2015,16,11,69,136
2015,17,38,70,174
2015,18,41,71,215
2015,19,25,72,240
2015,20,22,73,262
2015,21,37,74,299
2015,22,34,75,333
2015,23,43,76,376
2015,24,43,77,419
2015,25,29,78,448
2015,26,34,79,482
2015,27,33,80,515
2015,28,23,81,538
2015,29,29,82,567
2015,30,26,83,593
2015,31,25,84,618
2015,32,22,85,640
2015,33,23,86,663
2015,34,17,87,680
2015,35,15,88,695
2015,36,19,89,714
2015,37,22,90,736
2015,38,20,91,756
2015,39,24,92,780
2015,40,15,93,795
2015,41,26,94,821
2015,42,17,95,838
2015,43,13,96,851
2015,44,17,97,868
2015,45,16,98,884
2015,46,11,99,895
2015,47,12,100,907
2015,48,15,101,922
2015,49,16,102,938
2015,50,13,103,951
2015,51,12,104,963
2015,52,7,105,970
2016,1,13,106,983
2016,2,20,107,1003
2016,3,16,108,1019
2016,4,12,109,1031
2016,5,17,110,1048
2016,6,8,111,1056
2016,7,13,112,1069
2016,8,8,113,1077
2016,9,12,114,1089
2016,10,5,115,1094
2016,11,8,116,1102
2016,12,9,117,1111
2016,13,10,118,1121
2016,14,20,119,1141
2016,15,19,120,1160
2016,16,17,121,1177
2016,17,0,122,1177
2016,18,23,123,1200
2016,19,21,124,1221
2016,20,17,125,1238
2016,21,21,126,1259
2016,22,22,127,1281
2016,23,19,128,1300
2016,24,14,129,1314
2016,25,15,130,1329
2016,26,14,131,1343
2016,27,14,132,1357
2016,28,10,133,1367
2016,29,12,134,1379
2016,30,8,135,1387
2016,31,7,136,1394
2016,32,8,137,1402
2016,33,7,138,1409
2016,34,5,139,1414
2016,35,6,140,1420
2016,36,8,141,1428
2016,37,9,142,1437
2016,38,15,143,1452
2016,39,8,144,1460
2016,40,10,145,1470
2016,41,8,146,1478
2016,42,13,147,1491
2016,43,14,148,1505
2016,44,20,149,1525
2016,45,8,150,1533
2016,46,11,151,1544
2016,47,11,152,1555
2016,48,18,153,1573
2016,49,14,154,1587
2016,50,14,155,1601
2016,51,12,156,1613
2016,52,4,157,1617
2017,1,14,158,1631
2017,2,8,159,1639
2017,3,11,160,1650
2017,4,12,161,1662
2017,5,5,162,1667
2017,6,15,163,1682
2017,7,11,164,1693
2017,8,8,165,1701
2017,9,10,166,1711
2017,10,15,167,1726
2017,11,0,168,1726
2017,12,15,169,1741
2017,13,12,170,1753
2017,14,14,171,1767
2017,15,10,172,1777
