Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,1,55,1
2015,3,0,56,1
2015,4,0,57,1
2015,5,0,58,1
2015,6,0,59,1
2015,7,0,60,1
2015,8,0,61,1
2015,9,1,62,2
2015,10,0,63,2
2015,11,1,64,3
2015,12,0,65,3
2015,13,1,66,4
2015,14,0,67,4
2015,15,0,68,4
2015,16,0,69,4
2015,17,0,70,4
2015,18,0,71,4
2015,19,0,72,4
2015,20,0,73,4
2015,21,0,74,4
2015,22,0,75,4
2015,23,0,76,4
2015,24,1,77,5
2015,25,0,78,5
2015,26,0,79,5
2015,27,0,80,5
2015,28,0,81,5
2015,29,1,82,6
2015,30,0,83,6
2015,31,2,84,8
2015,32,0,85,8
2015,33,0,86,8
2015,34,0,87,8
2015,35,0,88,8
2015,36,0,89,8
2015,37,1,90,9
2015,38,0,91,9
2015,39,1,92,10
2015,40,0,93,10
2015,41,0,94,10
2015,42,0,95,10
2015,43,0,96,10
2015,44,2,97,12
2015,45,0,98,12
2015,46,0,99,12
2015,47,2,100,14
2015,48,1,101,15
2015,49,0,102,15
2015,50,0,103,15
2015,51,0,104,15
2015,52,0,105,15
2016,1,0,106,15
2016,2,0,107,15
2016,3,1,108,16
2016,4,1,109,17
2016,5,3,110,20
2016,6,0,111,20
2016,7,0,112,20
2016,8,0,113,20
2016,9,3,114,23
2016,10,0,115,23
2016,11,0,116,23
2016,12,0,117,23
2016,13,1,118,24
2016,14,0,119,24
2016,15,2,120,26
2016,16,0,121,26
2016,17,1,122,27
2016,18,0,123,27
2016,19,1,124,28
2016,20,2,125,30
2016,21,0,126,30
2016,22,4,127,34
2016,23,1,128,35
2016,24,1,129,36
2016,25,0,130,36
2016,26,0,131,36
2016,27,0,132,36
2016,28,0,133,36
2016,29,4,134,40
2016,30,0,135,40
2016,31,2,136,42
2016,32,0,137,42
2016,33,0,138,42
2016,34,0,139,42
2016,35,0,140,42
2016,36,0,141,42
2016,37,0,142,42
2016,38,0,143,42
2016,39,0,144,42
2016,40,0,145,42
2016,41,0,146,42
2016,42,0,147,42
2016,43,0,148,42
2016,44,0,149,42
2016,45,0,150,42
2016,46,1,151,43
2016,47,0,152,43
2016,48,0,153,43
2016,49,0,154,43
2016,50,0,155,43
2016,51,0,156,43
2016,52,0,157,43
2017,1,1,158,44
2017,2,0,159,44
2017,3,0,160,44
2017,4,0,161,44
2017,5,0,162,44
2017,6,0,163,44
2017,7,1,164,45
2017,8,0,165,45
2017,9,0,166,45
2017,10,2,167,47
2017,11,0,168,47
2017,12,1,169,48
2017,13,0,170,48
2017,14,0,171,48
2017,15,0,172,48
