Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,5,55,5
2015,3,5,56,10
2015,4,7,57,17
2015,5,2,58,19
2015,6,5,59,24
2015,7,0,60,24
2015,8,6,61,30
2015,9,2,62,32
2015,10,5,63,37
2015,11,7,64,44
2015,12,3,65,47
2015,13,5,66,52
2015,14,7,67,59
2015,15,6,68,65
2015,16,5,69,70
2015,17,2,70,72
2015,18,5,71,77
2015,19,6,72,83
2015,20,7,73,90
2015,21,10,74,100
2015,22,5,75,105
2015,23,8,76,113
2015,24,11,77,124
2015,25,14,78,138
2015,26,7,79,145
2015,27,7,80,152
2015,28,14,81,166
2015,29,12,82,178
2015,30,13,83,191
2015,31,14,84,205
2015,32,14,85,219
2015,33,6,86,225
2015,34,8,87,233
2015,35,8,88,241
2015,36,11,89,252
2015,37,7,90,259
2015,38,7,91,266
2015,39,1,92,267
2015,40,6,93,273
2015,41,10,94,283
2015,42,8,95,291
2015,43,4,96,295
2015,44,1,97,296
2015,45,5,98,301
2015,46,5,99,306
2015,47,4,100,310
2015,48,8,101,318
2015,49,6,102,324
2015,50,9,103,333
2015,51,0,104,333
2015,52,2,105,335
2016,1,5,106,340
2016,2,2,107,342
2016,3,6,108,348
2016,4,3,109,351
2016,5,4,110,355
2016,6,6,111,361
2016,7,10,112,371
2016,8,4,113,375
2016,9,2,114,377
2016,10,12,115,389
2016,11,4,116,393
2016,12,3,117,396
2016,13,0,118,396
2016,14,2,119,398
2016,15,5,120,403
2016,16,5,121,408
2016,17,8,122,416
2016,18,7,123,423
2016,19,5,124,428
2016,20,0,125,428
2016,21,6,126,434
2016,22,4,127,438
2016,23,12,128,450
2016,24,13,129,463
2016,25,19,130,482
2016,26,0,131,482
2016,27,13,132,495
2016,28,14,133,509
2016,29,13,134,522
2016,30,17,135,539
2016,31,7,136,546
2016,32,16,137,562
2016,33,16,138,578
2016,34,14,139,592
2016,35,13,140,605
2016,36,12,141,617
2016,37,15,142,632
2016,38,9,143,641
2016,39,12,144,653
2016,40,10,145,663
2016,41,9,146,672
2016,42,6,147,678
2016,43,9,148,687
2016,44,7,149,694
2016,45,12,150,706
2016,46,9,151,715
2016,47,5,152,720
2016,48,2,153,722
2016,49,3,154,725
2016,50,3,155,728
2016,51,0,156,728
2016,52,0,157,728
2017,1,0,158,728
2017,2,0,159,728
2017,3,0,160,728
2017,4,1,161,729
2017,5,0,162,729
2017,6,0,163,729
2017,7,0,164,729
2017,8,0,165,729
2017,9,4,166,733
2017,10,0,167,733
2017,11,0,168,733
2017,12,0,169,733
2017,13,0,170,733
2017,14,0,171,733
2017,15,0,172,733
