Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,1,55,1
2015,3,0,56,1
2015,4,5,57,6
2015,5,1,58,7
2015,6,1,59,8
2015,7,1,60,9
2015,8,6,61,15
2015,9,3,62,18
2015,10,2,63,20
2015,11,1,64,21
2015,12,0,65,21
2015,13,0,66,21
2015,14,4,67,25
2015,15,3,68,28
2015,16,3,69,31
2015,17,2,70,33
2015,18,4,71,37
2015,19,4,72,41
2015,20,1,73,42
2015,21,11,74,53
2015,22,2,75,55
2015,23,5,76,60
2015,24,5,77,65
2015,25,4,78,69
2015,26,2,79,71
2015,27,9,80,80
2015,28,6,81,86
2015,29,3,82,89
2015,30,5,83,94
2015,31,6,84,100
2015,32,4,85,104
2015,33,9,86,113
2015,34,3,87,116
2015,35,4,88,120
2015,36,1,89,121
2015,37,3,90,124
2015,38,9,91,133
2015,39,4,92,137
2015,40,1,93,138
2015,41,4,94,142
2015,42,1,95,143
2015,43,4,96,147
2015,44,4,97,151
2015,45,3,98,154
2015,46,6,99,160
2015,47,0,100,160
2015,48,3,101,163
2015,49,3,102,166
2015,50,1,103,167
2015,51,3,104,170
2015,52,1,105,171
2016,1,2,106,173
2016,2,1,107,174
2016,3,0,108,174
2016,4,4,109,178
2016,5,3,110,181
2016,6,1,111,182
2016,7,2,112,184
2016,8,5,113,189
2016,9,6,114,195
2016,10,3,115,198
2016,11,3,116,201
2016,12,1,117,202
2016,13,0,118,202
2016,14,6,119,208
2016,15,4,120,212
2016,16,0,121,212
2016,17,1,122,213
2016,18,4,123,217
2016,19,1,124,218
2016,20,7,125,225
2016,21,2,126,227
2016,22,0,127,227
2016,23,4,128,231
2016,24,4,129,235
2016,25,3,130,238
2016,26,3,131,241
2016,27,4,132,245
2016,28,9,133,254
2016,29,0,134,254
2016,30,0,135,254
2016,31,0,136,254
2016,32,0,137,254
2016,33,3,138,257
2016,34,2,139,259
2016,35,2,140,261
2016,36,1,141,262
2016,37,0,142,262
2016,38,5,143,267
2016,39,1,144,268
2016,40,0,145,268
2016,41,2,146,270
2016,42,1,147,271
2016,43,4,148,275
2016,44,5,149,280
2016,45,0,150,280
2016,46,2,151,282
2016,47,1,152,283
2016,48,1,153,284
2016,49,1,154,285
2016,50,0,155,285
2016,51,0,156,285
2016,52,0,157,285
2017,1,0,158,285
2017,2,2,159,287
2017,3,0,160,287
2017,4,2,161,289
2017,5,2,162,291
2017,6,0,163,291
2017,7,1,164,292
2017,8,2,165,294
2017,9,3,166,297
2017,10,0,167,297
2017,11,0,168,297
2017,12,0,169,297
2017,13,0,170,297
2017,14,0,171,297
2017,15,1,172,298
