Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,0,55,0
2015,3,0,56,0
2015,4,0,57,0
2015,5,0,58,0
2015,6,0,59,0
2015,7,4,60,4
2015,8,0,61,4
2015,9,0,62,4
2015,10,0,63,4
2015,11,0,64,4
2015,12,0,65,4
2015,13,1,66,5
2015,14,0,67,5
2015,15,0,68,5
2015,16,2,69,7
2015,17,1,70,8
2015,18,0,71,8
2015,19,2,72,10
2015,20,1,73,11
2015,21,2,74,13
2015,22,2,75,15
2015,23,2,76,17
2015,24,5,77,22
2015,25,0,78,22
2015,26,0,79,22
2015,27,5,80,27
2015,28,3,81,30
2015,29,2,82,32
2015,30,3,83,35
2015,31,3,84,38
2015,32,0,85,38
2015,33,2,86,40
2015,34,0,87,40
2015,35,0,88,40
2015,36,0,89,40
2015,37,0,90,40
2015,38,0,91,40
2015,39,0,92,40
2015,40,0,93,40
2015,41,0,94,40
2015,42,1,95,41
2015,43,1,96,42
2015,44,0,97,42
2015,45,0,98,42
2015,46,0,99,42
2015,47,0,100,42
2015,48,1,101,43
2015,49,0,102,43
2015,50,0,103,43
2015,51,0,104,43
2015,52,0,105,43
2016,1,2,106,45
2016,2,2,107,47
2016,3,4,108,51
2016,4,1,109,52
2016,5,1,110,53
2016,6,2,111,55
2016,7,0,112,55
2016,8,2,113,57
2016,9,0,114,57
2016,10,1,115,58
2016,11,0,116,58
2016,12,0,117,58
2016,13,0,118,58
2016,14,1,119,59
2016,15,3,120,62
2016,16,4,121,66
2016,17,4,122,70
2016,18,1,123,71
2016,19,1,124,72
2016,20,1,125,73
2016,21,3,126,76
2016,22,3,127,79
2016,23,4,128,83
2016,24,1,129,84
2016,25,2,130,86
2016,26,0,131,86
2016,27,1,132,87
2016,28,2,133,89
2016,29,0,134,89
2016,30,0,135,89
2016,31,1,136,90
2016,32,0,137,90
2016,33,0,138,90
2016,34,0,139,90
2016,35,2,140,92
2016,36,0,141,92
2016,37,0,142,92
2016,38,3,143,95
2016,39,0,144,95
2016,40,4,145,99
2016,41,0,146,99
2016,42,2,147,101
2016,43,2,148,103
2016,44,1,149,104
2016,45,0,150,104
2016,46,0,151,104
2016,47,1,152,105
2016,48,2,153,107
2016,49,0,154,107
2016,50,0,155,107
2016,51,0,156,107
2016,52,0,157,107
2017,1,0,158,107
2017,2,0,159,107
2017,3,3,160,110
2017,4,0,161,110
2017,5,0,162,110
2017,6,0,163,110
2017,7,0,164,110
2017,8,0,165,110
2017,9,0,166,110
2017,10,2,167,112
2017,11,1,168,113
2017,12,0,169,113
2017,13,1,170,114
2017,14,0,171,114
2017,15,1,172,115
