Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,0,55,0
2015,3,0,56,0
2015,4,0,57,0
2015,5,0,58,0
2015,6,0,59,0
2015,7,0,60,0
2015,8,0,61,0
2015,9,0,62,0
2015,10,0,63,0
2015,11,0,64,0
2015,12,0,65,0
2015,13,0,66,0
2015,14,0,67,0
2015,15,0,68,0
2015,16,0,69,0
2015,17,0,70,0
2015,18,0,71,0
2015,19,0,72,0
2015,20,0,73,0
2015,21,0,74,0
2015,22,0,75,0
2015,23,0,76,0
2015,24,0,77,0
2015,25,0,78,0
2015,26,0,79,0
2015,27,0,80,0
2015,28,0,81,0
2015,29,0,82,0
2015,30,0,83,0
2015,31,0,84,0
2015,32,0,85,0
2015,33,54,86,54
2015,34,53,87,107
2015,35,13,88,120
2015,36,50,89,170
2015,37,47,90,217
2015,38,40,91,257
2015,39,18,92,275
2015,40,30,93,305
2015,41,25,94,330
2015,42,66,95,396
2015,43,31,96,427
2015,44,33,97,460
2015,45,39,98,499
2015,46,45,99,544
2015,47,20,100,564
2015,48,37,101,601
2015,49,28,102,629
2015,50,41,103,670
2015,51,30,104,700
2015,52,2,105,702
2016,1,3,106,705
2016,2,8,107,713
2016,3,23,108,736
2016,4,20,109,756
2016,5,19,110,775
2016,6,11,111,786
2016,7,21,112,807
2016,8,23,113,830
2016,9,23,114,853
2016,10,18,115,871
2016,11,15,116,886
2016,12,21,117,907
2016,13,22,118,929
2016,14,25,119,954
2016,15,13,120,967
2016,16,22,121,989
2016,17,35,122,1024
2016,18,26,123,1050
2016,19,31,124,1081
2016,20,22,125,1103
2016,21,6,126,1109
2016,22,0,127,1109
2016,23,40,128,1149
2016,24,45,129,1194
2016,25,53,130,1247
2016,26,24,131,1271
2016,27,7,132,1278
2016,28,52,133,1330
2016,29,44,134,1374
2016,30,39,135,1413
2016,31,43,136,1456
2016,32,57,137,1513
2016,33,37,138,1550
2016,34,47,139,1597
2016,35,0,140,1597
2016,36,22,141,1619
2016,37,34,142,1653
2016,38,41,143,1694
2016,39,45,144,1739
2016,40,27,145,1766
2016,41,37,146,1803
2016,42,25,147,1828
2016,43,22,148,1850
2016,44,37,149,1887
2016,45,22,150,1909
2016,46,53,151,1962
2016,47,19,152,1981
2016,48,27,153,2008
2016,49,37,154,2045
2016,50,8,155,2053
2016,51,21,156,2074
2016,52,22,157,2096
2017,1,9,158,2105
2017,2,0,159,2105
2017,3,0,160,2105
2017,4,0,161,2105
2017,5,0,162,2105
2017,6,19,163,2124
2017,7,20,164,2144
2017,8,22,165,2166
2017,9,22,166,2188
2017,10,0,167,2188
2017,11,0,168,2188
2017,12,0,169,2188
2017,13,28,170,2216
2017,14,19,171,2235
2017,15,17,172,2252
