Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,21,55,21
2015,3,19,56,40
2015,4,20,57,60
2015,5,20,58,80
2015,6,17,59,97
2015,7,20,60,117
2015,8,21,61,138
2015,9,12,62,150
2015,10,16,63,166
2015,11,0,64,166
2015,12,23,65,189
2015,13,10,66,199
2015,14,4,67,203
2015,15,8,68,211
2015,16,11,69,222
2015,17,13,70,235
2015,18,21,71,256
2015,19,15,72,271
2015,20,25,73,296
2015,21,2,74,298
2015,22,9,75,307
2015,23,1,76,308
2015,24,24,77,332
2015,25,18,78,350
2015,26,32,79,382
2015,27,71,80,453
2015,28,23,81,476
2015,29,48,82,524
2015,30,10,83,534
2015,31,35,84,569
2015,32,26,85,595
2015,33,17,86,612
2015,34,12,87,624
2015,35,13,88,637
2015,36,34,89,671
2015,37,26,90,697
2015,38,41,91,738
2015,39,35,92,773
2015,40,54,93,827
2015,41,15,94,842
2015,42,10,95,852
2015,43,42,96,894
2015,44,31,97,925
2015,45,1,98,926
2015,46,0,99,926
2015,47,7,100,933
2015,48,17,101,950
2015,49,9,102,959
2015,50,0,103,959
2015,51,9,104,968
2015,52,66,105,1034
2016,1,0,106,1034
2016,2,0,107,1034
2016,3,0,108,1034
2016,4,0,109,1034
2016,5,0,110,1034
2016,6,0,111,1034
2016,7,0,112,1034
2016,8,0,113,1034
2016,9,0,114,1034
2016,10,0,115,1034
2016,11,0,116,1034
2016,12,0,117,1034
2016,13,0,118,1034
2016,14,0,119,1034
2016,15,0,120,1034
2016,16,0,121,1034
2016,17,0,122,1034
2016,18,0,123,1034
2016,19,0,124,1034
2016,20,0,125,1034
2016,21,0,126,1034
2016,22,0,127,1034
2016,23,0,128,1034
2016,24,0,129,1034
2016,25,0,130,1034
2016,26,0,131,1034
2016,27,0,132,1034
2016,28,0,133,1034
2016,29,0,134,1034
2016,30,0,135,1034
2016,31,0,136,1034
2016,32,0,137,1034
2016,33,0,138,1034
2016,34,0,139,1034
2016,35,0,140,1034
2016,36,0,141,1034
2016,37,0,142,1034
2016,38,0,143,1034
2016,39,0,144,1034
2016,40,0,145,1034
2016,41,0,146,1034
2016,42,0,147,1034
2016,43,0,148,1034
2016,44,0,149,1034
2016,45,0,150,1034
2016,46,0,151,1034
2016,47,0,152,1034
2016,48,0,153,1034
2016,49,0,154,1034
2016,50,0,155,1034
2016,51,0,156,1034
2016,52,0,157,1034
2017,1,0,158,1034
2017,2,0,159,1034
2017,3,0,160,1034
2017,4,0,161,1034
2017,5,0,162,1034
2017,6,0,163,1034
2017,7,0,164,1034
2017,8,0,165,1034
2017,9,0,166,1034
2017,10,0,167,1034
2017,11,0,168,1034
2017,12,0,169,1034
2017,13,0,170,1034
2017,14,0,171,1034
2017,15,0,172,1034
