Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,4,55,4
2015,3,12,56,16
2015,4,4,57,20
2015,5,8,58,28
2015,6,13,59,41
2015,7,0,60,41
2015,8,13,61,54
2015,9,5,62,59
2015,10,15,63,74
2015,11,14,64,88
2015,12,9,65,97
2015,13,12,66,109
2015,14,17,67,126
2015,15,10,68,136
2015,16,16,69,152
2015,17,20,70,172
2015,18,20,71,192
2015,19,17,72,209
2015,20,9,73,218
2015,21,26,74,244
2015,22,21,75,265
2015,23,12,76,277
2015,24,16,77,293
2015,25,7,78,300
2015,26,27,79,327
2015,27,14,80,341
2015,28,18,81,359
2015,29,30,82,389
2015,30,16,83,405
2015,31,24,84,429
2015,32,14,85,443
2015,33,13,86,456
2015,34,14,87,470
2015,35,20,88,490
2015,36,23,89,513
2015,37,19,90,532
2015,38,18,91,550
2015,39,12,92,562
2015,40,13,93,575
2015,41,11,94,586
2015,42,9,95,595
2015,43,15,96,610
2015,44,21,97,631
2015,45,9,98,640
2015,46,23,99,663
2015,47,15,100,678
2015,48,9,101,687
2015,49,20,102,707
2015,50,15,103,722
2015,51,11,104,733
2015,52,21,105,754
2016,1,2,106,756
2016,2,7,107,763
2016,3,11,108,774
2016,4,11,109,785
2016,5,9,110,794
2016,6,9,111,803
2016,7,9,112,812
2016,8,16,113,828
2016,9,13,114,841
2016,10,12,115,853
2016,11,18,116,871
2016,12,12,117,883
2016,13,9,118,892
2016,14,8,119,900
2016,15,13,120,913
2016,16,12,121,925
2016,17,9,122,934
2016,18,14,123,948
2016,19,11,124,959
2016,20,14,125,973
2016,21,13,126,986
2016,22,20,127,1006
2016,23,21,128,1027
2016,24,21,129,1048
2016,25,22,130,1070
2016,26,21,131,1091
2016,27,28,132,1119
2016,28,11,133,1130
2016,29,26,134,1156
2016,30,25,135,1181
2016,31,13,136,1194
2016,32,15,137,1209
2016,33,15,138,1224
2016,34,4,139,1228
2016,35,10,140,1238
2016,36,0,141,1238
2016,37,20,142,1258
2016,38,3,143,1261
2016,39,17,144,1278
2016,40,0,145,1278
2016,41,14,146,1292
2016,42,12,147,1304
2016,43,17,148,1321
2016,44,7,149,1328
2016,45,8,150,1336
2016,46,15,151,1351
2016,47,10,152,1361
2016,48,12,153,1373
2016,49,18,154,1391
2016,50,16,155,1407
2016,51,6,156,1413
2016,52,11,157,1424
2017,1,3,158,1427
2017,2,6,159,1433
2017,3,7,160,1440
2017,4,6,161,1446
2017,5,7,162,1453
2017,6,6,163,1459
2017,7,12,164,1471
2017,8,4,165,1475
2017,9,9,166,1484
2017,10,7,167,1491
2017,11,8,168,1499
2017,12,9,169,1508
2017,13,9,170,1517
2017,14,13,171,1530
2017,15,11,172,1541
