Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,172,1,172
2014,2,190,2,362
2014,3,0,3,362
2014,4,0,4,362
2014,5,0,5,362
2014,6,421,6,783
2014,7,347,7,1130
2014,8,263,8,1393
2014,9,0,9,1393
2014,10,225,10,1618
2014,11,407,11,2025
2014,12,377,12,2402
2014,13,268,13,2670
2014,14,230,14,2900
2014,15,360,15,3260
2014,16,383,16,3643
2014,17,358,17,4001
2014,18,63,18,4064
2014,19,0,19,4064
2014,20,368,20,4432
2014,21,225,21,4657
2014,22,298,22,4955
2014,23,239,23,5194
2014,24,396,24,5590
2014,25,382,25,5972
2014,26,322,26,6294
2014,27,240,27,6534
2014,28,262,28,6796
2014,29,306,29,7102
2014,30,0,30,7102
2014,31,316,31,7418
2014,32,324,32,7742
2014,33,300,33,8042
2014,34,283,34,8325
2014,35,367,35,8692
2014,36,255,36,8947
2014,37,348,37,9295
2014,38,335,38,9630
2014,39,320,39,9950
2014,40,348,40,10298
2014,41,301,41,10599
2014,42,312,42,10911
2014,43,331,43,11242
2014,44,0,44,11242
2014,45,406,45,11648
2014,46,0,46,11648
2014,47,358,47,12006
2014,48,133,48,12139
2014,49,273,49,12412
2014,50,0,50,12412
2014,51,325,51,12737
2014,52,22,52,12759
2014,53,155,53,12914
2015,1,178,54,13092
2015,2,309,55,13401
2015,3,362,56,13763
2015,4,439,57,14202
2015,5,314,58,14516
2015,6,0,59,14516
2015,7,198,60,14714
2015,8,209,61,14923
2015,9,272,62,15195
2015,10,170,63,15365
2015,11,0,64,15365
2015,12,279,65,15644
2015,13,261,66,15905
2015,14,278,67,16183
2015,15,72,68,16255
2015,16,0,69,16255
2015,17,0,70,16255
2015,18,0,71,16255
2015,19,0,72,16255
2015,20,0,73,16255
2015,21,0,74,16255
2015,22,0,75,16255
2015,23,0,76,16255
2015,24,0,77,16255
2015,25,0,78,16255
2015,26,0,79,16255
2015,27,0,80,16255
2015,28,0,81,16255
2015,29,0,82,16255
2015,30,0,83,16255
2015,31,599,84,16854
2015,32,650,85,17504
2015,33,390,86,17894
2015,34,653,87,18547
2015,35,624,88,19171
2015,36,520,89,19691
2015,37,597,90,20288
2015,38,910,91,21198
2015,39,764,92,21962
2015,40,794,93,22756
2015,41,636,94,23392
2015,42,546,95,23938
2015,43,452,96,24390
2015,44,347,97,24737
2015,45,423,98,25160
2015,46,432,99,25592
2015,47,384,100,25976
2015,48,99,101,26075
2015,49,79,102,26154
2015,50,110,103,26264
2015,51,8,104,26272
2015,52,94,105,26366
2016,1,7,106,26373
2016,2,78,107,26451
2016,3,60,108,26511
2016,4,159,109,26670
2016,5,163,110,26833
2016,6,0,111,26833
2016,7,57,112,26890
2016,8,172,113,27062
2016,9,125,114,27187
2016,10,0,115,27187
2016,11,50,116,27237
2016,12,144,117,27381
2016,13,38,118,27419
2016,14,154,119,27573
2016,15,152,120,27725
2016,16,229,121,27954
2016,17,178,122,28132
2016,18,151,123,28283
2016,19,264,124,28547
2016,20,119,125,28666
2016,21,0,126,28666
2016,22,105,127,28771
2016,23,177,128,28948
2016,24,69,129,29017
2016,25,196,130,29213
2016,26,0,131,29213
2016,27,53,132,29266
2016,28,172,133,29438
2016,29,135,134,29573
2016,30,103,135,29676
2016,31,203,136,29879
2016,32,156,137,30035
2016,33,243,138,30278
2016,34,0,139,30278
2016,35,334,140,30612
2016,36,101,141,30713
2016,37,235,142,30948
2016,38,0,143,30948
2016,39,111,144,31059
2016,40,242,145,31301
2016,41,262,146,31563
2016,42,192,147,31755
2016,43,212,148,31967
2016,44,53,149,32020
2016,45,62,150,32082
2016,46,0,151,32082
2016,47,33,152,32115
2016,48,92,153,32207
2016,49,101,154,32308
2016,50,70,155,32378
2016,51,0,156,32378
2016,52,21,157,32399
2017,1,0,158,32399
2017,2,0,159,32399
2017,3,30,160,32429
2017,4,0,161,32429
2017,5,50,162,32479
2017,6,82,163,32561
2017,7,123,164,32684
2017,8,104,165,32788
2017,9,189,166,32977
2017,10,193,167,33170
2017,11,215,168,33385
2017,12,0,169,33385
2017,13,101,170,33486
2017,14,219,171,33705
2017,15,168,172,33873
