Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,26,1,26
2014,2,67,2,93
2014,3,0,3,93
2014,4,29,4,122
2014,5,51,5,173
2014,6,34,6,207
2014,7,47,7,254
2014,8,33,8,287
2014,9,16,9,303
2014,10,0,10,303
2014,11,0,11,303
2014,12,0,12,303
2014,13,0,13,303
2014,14,0,14,303
2014,15,0,15,303
2014,16,0,16,303
2014,17,0,17,303
2014,18,0,18,303
2014,19,0,19,303
2014,20,51,20,354
2014,21,48,21,402
2014,22,17,22,419
2014,23,57,23,476
2014,24,47,24,523
2014,25,55,25,578
2014,26,75,26,653
2014,27,24,27,677
2014,28,59,28,736
2014,29,58,29,794
2014,30,62,30,856
2014,31,73,31,929
2014,32,7,32,936
2014,33,64,33,1000
2014,34,74,34,1074
2014,35,63,35,1137
2014,36,44,36,1181
2014,37,55,37,1236
2014,38,61,38,1297
2014,39,48,39,1345
2014,40,58,40,1403
2014,41,67,41,1470
2014,42,45,42,1515
2014,43,60,43,1575
2014,44,50,44,1625
2014,45,57,45,1682
2014,46,42,46,1724
2014,47,50,47,1774
2014,48,21,48,1795
2014,49,68,49,1863
2014,50,64,50,1927
2014,51,11,51,1938
2014,52,23,52,1961
2014,53,23,53,1984
2015,1,32,54,2016
2015,2,65,55,2081
2015,3,50,56,2131
2015,4,57,57,2188
2015,5,69,58,2257
2015,6,69,59,2326
2015,7,33,60,2359
2015,8,28,61,2387
2015,9,44,62,2431
2015,10,59,63,2490
2015,11,59,64,2549
2015,12,61,65,2610
2015,13,54,66,2664
2015,14,62,67,2726
2015,15,55,68,2781
2015,16,66,69,2847
2015,17,62,70,2909
2015,18,59,71,2968
2015,19,56,72,3024
2015,20,50,73,3074
2015,21,40,74,3114
2015,22,53,75,3167
2015,23,0,76,3167
2015,24,49,77,3216
2015,25,54,78,3270
2015,26,25,79,3295
2015,27,50,80,3345
2015,28,60,81,3405
2015,29,54,82,3459
2015,30,65,83,3524
2015,31,65,84,3589
2015,32,57,85,3646
2015,33,43,86,3689
2015,34,59,87,3748
2015,35,60,88,3808
2015,36,31,89,3839
2015,37,65,90,3904
2015,38,54,91,3958
2015,39,57,92,4015
2015,40,59,93,4074
2015,41,47,94,4121
2015,42,47,95,4168
2015,43,49,96,4217
2015,44,57,97,4274
2015,45,32,98,4306
2015,46,68,99,4374
2015,47,18,100,4392
2015,48,60,101,4452
2015,49,56,102,4508
2015,50,63,103,4571
2015,51,21,104,4592
2015,52,27,105,4619
2016,1,0,106,4619
2016,2,73,107,4692
2016,3,48,108,4740
2016,4,61,109,4801
2016,5,58,110,4859
2016,6,66,111,4925
2016,7,45,112,4970
2016,8,70,113,5040
2016,9,68,114,5108
2016,10,65,115,5173
2016,11,40,116,5213
2016,12,63,117,5276
2016,13,51,118,5327
2016,14,0,119,5327
2016,15,0,120,5327
2016,16,55,121,5382
2016,17,54,122,5436
2016,18,64,123,5500
2016,19,66,124,5566
2016,20,68,125,5634
2016,21,61,126,5695
2016,22,38,127,5733
2016,23,50,128,5783
2016,24,54,129,5837
2016,25,49,130,5886
2016,26,62,131,5948
2016,27,35,132,5983
2016,28,48,133,6031
2016,29,69,134,6100
2016,30,48,135,6148
2016,31,0,136,6148
2016,32,64,137,6212
2016,33,73,138,6285
2016,34,64,139,6349
2016,35,64,140,6413
2016,36,38,141,6451
2016,37,57,142,6508
2016,38,56,143,6564
2016,39,53,144,6617
2016,40,76,145,6693
2016,41,35,146,6728
2016,42,49,147,6777
2016,43,44,148,6821
2016,44,63,149,6884
2016,45,37,150,6921
2016,46,42,151,6963
2016,47,15,152,6978
2016,48,56,153,7034
2016,49,59,154,7093
2016,50,41,155,7134
2016,51,0,156,7134
2016,52,0,157,7134
2017,1,40,158,7174
2017,2,47,159,7221
2017,3,42,160,7263
2017,4,43,161,7306
2017,5,75,162,7381
2017,6,43,163,7424
2017,7,47,164,7471
2017,8,30,165,7501
2017,9,65,166,7566
2017,10,53,167,7619
2017,11,50,168,7669
2017,12,48,169,7717
2017,13,78,170,7795
2017,14,50,171,7845
2017,15,52,172,7897
