Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,579,1,579
2014,2,864,2,1443
2014,3,1099,3,2542
2014,4,897,4,3439
2014,5,1000,5,4439
2014,6,902,6,5341
2014,7,738,7,6079
2014,8,839,8,6918
2014,9,797,9,7715
2014,10,819,10,8534
2014,11,878,11,9412
2014,12,780,12,10192
2014,13,871,13,11063
2014,14,720,14,11783
2014,15,398,15,12181
2014,16,682,16,12863
2014,17,0,17,12863
2014,18,703,18,13566
2014,19,795,19,14361
2014,20,723,20,15084
2014,21,708,21,15792
2014,22,917,22,16709
2014,23,1069,23,17778
2014,24,686,24,18464
2014,25,1043,25,19507
2014,26,788,26,20295
2014,27,417,27,20712
2014,28,837,28,21549
2014,29,574,29,22123
2014,30,958,30,23081
2014,31,852,31,23933
2014,32,1023,32,24956
2014,33,962,33,25918
2014,34,923,34,26841
2014,35,977,35,27818
2014,36,794,36,28612
2014,37,831,37,29443
2014,38,717,38,30160
2014,39,1153,39,31313
2014,40,1043,40,32356
2014,41,868,41,33224
2014,42,798,42,34022
2014,43,648,43,34670
2014,44,1247,44,35917
2014,45,912,45,36829
2014,46,947,46,37776
2014,47,960,47,38736
2014,48,733,48,39469
2014,49,759,49,40228
2014,50,918,50,41146
2014,51,863,51,42009
2014,52,603,52,42612
2014,53,534,53,43146
2015,1,749,54,43895
2015,2,912,55,44807
2015,3,1035,56,45842
2015,4,918,57,46760
2015,5,1034,58,47794
2015,6,986,59,48780
2015,7,872,60,49652
2015,8,888,61,50540
2015,9,754,62,51294
2015,10,991,63,52285
2015,11,926,64,53211
2015,12,995,65,54206
2015,13,961,66,55167
2015,14,1103,67,56270
2015,15,844,68,57114
2015,16,911,69,58025
2015,17,827,70,58852
2015,18,957,71,59809
2015,19,531,72,60340
2015,20,447,73,60787
2015,21,469,74,61256
2015,22,416,75,61672
2015,23,466,76,62138
2015,24,496,77,62634
2015,25,694,78,63328
2015,26,347,79,63675
2015,27,486,80,64161
2015,28,591,81,64752
2015,29,726,82,65478
2015,30,732,83,66210
2015,31,766,84,66976
2015,32,1151,85,68127
2015,33,753,86,68880
2015,34,771,87,69651
2015,35,800,88,70451
2015,36,776,89,71227
2015,37,775,90,72002
2015,38,611,91,72613
2015,39,788,92,73401
2015,40,668,93,74069
2015,41,901,94,74970
2015,42,857,95,75827
2015,43,753,96,76580
2015,44,828,97,77408
2015,45,861,98,78269
2015,46,765,99,79034
2015,47,570,100,79604
2015,48,762,101,80366
2015,49,876,102,81242
2015,50,858,103,82100
2015,51,612,104,82712
2015,52,477,105,83189
2016,1,1009,106,84198
2016,2,1034,107,85232
2016,3,776,108,86008
2016,4,772,109,86780
2016,5,1027,110,87807
2016,6,793,111,88600
2016,7,809,112,89409
2016,8,857,113,90266
2016,9,903,114,91169
2016,10,847,115,92016
2016,11,885,116,92901
2016,12,755,117,93656
2016,13,639,118,94295
2016,14,797,119,95092
2016,15,981,120,96073
2016,16,867,121,96940
2016,17,748,122,97688
2016,18,845,123,98533
2016,19,911,124,99444
2016,20,871,125,100315
2016,21,760,126,101075
2016,22,648,127,101723
2016,23,774,128,102497
2016,24,708,129,103205
2016,25,807,130,104012
2016,26,715,131,104727
2016,27,474,132,105201
2016,28,792,133,105993
2016,29,822,134,106815
2016,30,876,135,107691
2016,31,738,136,108429
2016,32,798,137,109227
2016,33,912,138,110139
2016,34,830,139,110969
2016,35,850,140,111819
2016,36,564,141,112383
2016,37,817,142,113200
2016,38,851,143,114051
2016,39,796,144,114847
2016,40,712,145,115559
2016,41,645,146,116204
2016,42,811,147,117015
2016,43,797,148,117812
2016,44,773,149,118585
2016,45,745,150,119330
2016,46,848,151,120178
2016,47,727,152,120905
2016,48,697,153,121602
2016,49,841,154,122443
2016,50,844,155,123287
2016,51,722,156,124009
2016,52,674,157,124683
2017,1,668,158,125351
2017,2,871,159,126222
2017,3,956,160,127178
2017,4,848,161,128026
2017,5,989,162,129015
2017,6,876,163,129891
2017,7,896,164,130787
2017,8,706,165,131493
2017,9,867,166,132360
2017,10,122,167,132482
2017,11,761,168,133243
2017,12,858,169,134101
2017,13,270,170,134371
2017,14,848,171,135219
2017,15,796,172,136015
