Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,20,1,20
2014,2,38,2,58
2014,3,31,3,89
2014,4,34,4,123
2014,5,29,5,152
2014,6,32,6,184
2014,7,29,7,213
2014,8,25,8,238
2014,9,37,9,275
2014,10,2,10,277
2014,11,4,11,281
2014,12,10,12,291
2014,13,30,13,321
2014,14,22,14,343
2014,15,0,15,343
2014,16,8,16,351
2014,17,0,17,351
2014,18,0,18,351
2014,19,0,19,351
2014,20,0,20,351
2014,21,0,21,351
2014,22,0,22,351
2014,23,0,23,351
2014,24,0,24,351
2014,25,0,25,351
2014,26,0,26,351
2014,27,0,27,351
2014,28,0,28,351
2014,29,0,29,351
2014,30,0,30,351
2014,31,0,31,351
2014,32,0,32,351
2014,33,0,33,351
2014,34,0,34,351
2014,35,0,35,351
2014,36,0,36,351
2014,37,0,37,351
2014,38,0,38,351
2014,39,0,39,351
2014,40,0,40,351
2014,41,0,41,351
2014,42,0,42,351
2014,43,0,43,351
2014,44,35,44,386
2014,45,0,45,386
2014,46,23,46,409
2014,47,0,47,409
2014,48,31,48,440
2014,49,37,49,477
2014,50,57,50,534
2014,51,29,51,563
2014,52,0,52,563
2014,53,16,53,579
2015,1,30,54,609
2015,2,14,55,623
2015,3,31,56,654
2015,4,41,57,695
2015,5,20,58,715
2015,6,19,59,734
2015,7,25,60,759
2015,8,47,61,806
2015,9,22,62,828
2015,10,20,63,848
2015,11,0,64,848
2015,12,8,65,856
2015,13,5,66,861
2015,14,31,67,892
2015,15,23,68,915
2015,16,28,69,943
2015,17,21,70,964
2015,18,47,71,1011
2015,19,25,72,1036
2015,20,15,73,1051
2015,21,18,74,1069
2015,22,19,75,1088
2015,23,20,76,1108
2015,24,0,77,1108
2015,25,3,78,1111
2015,26,11,79,1122
2015,27,15,80,1137
2015,28,42,81,1179
2015,29,23,82,1202
2015,30,19,83,1221
2015,31,1,84,1222
2015,32,0,85,1222
2015,33,0,86,1222
2015,34,41,87,1263
2015,35,31,88,1294
2015,36,35,89,1329
2015,37,43,90,1372
2015,38,0,91,1372
2015,39,3,92,1375
2015,40,0,93,1375
2015,41,3,94,1378
2015,42,1,95,1379
2015,43,0,96,1379
2015,44,0,97,1379
2015,45,0,98,1379
2015,46,0,99,1379
2015,47,0,100,1379
2015,48,43,101,1422
2015,49,47,102,1469
2015,50,25,103,1494
2015,51,20,104,1514
2015,52,0,105,1514
2016,1,10,106,1524
2016,2,0,107,1524
2016,3,2,108,1526
2016,4,12,109,1538
2016,5,0,110,1538
2016,6,0,111,1538
2016,7,3,112,1541
2016,8,0,113,1541
2016,9,1,114,1542
2016,10,2,115,1544
2016,11,6,116,1550
2016,12,5,117,1555
2016,13,1,118,1556
2016,14,4,119,1560
2016,15,8,120,1568
2016,16,29,121,1597
2016,17,2,122,1599
2016,18,0,123,1599
2016,19,0,124,1599
2016,20,3,125,1602
2016,21,0,126,1602
2016,22,0,127,1602
2016,23,2,128,1604
2016,24,1,129,1605
2016,25,8,130,1613
2016,26,0,131,1613
2016,27,0,132,1613
2016,28,0,133,1613
2016,29,0,134,1613
2016,30,0,135,1613
2016,31,0,136,1613
2016,32,1,137,1614
2016,33,0,138,1614
2016,34,0,139,1614
2016,35,0,140,1614
2016,36,1,141,1615
2016,37,0,142,1615
2016,38,0,143,1615
2016,39,1,144,1616
2016,40,0,145,1616
2016,41,1,146,1617
2016,42,51,147,1668
2016,43,43,148,1711
2016,44,11,149,1722
2016,45,13,150,1735
2016,46,0,151,1735
2016,47,0,152,1735
2016,48,9,153,1744
2016,49,0,154,1744
2016,50,1,155,1745
2016,51,0,156,1745
2016,52,0,157,1745
2017,1,0,158,1745
2017,2,0,159,1745
2017,3,0,160,1745
2017,4,10,161,1755
2017,5,8,162,1763
2017,6,13,163,1776
2017,7,3,164,1779
2017,8,0,165,1779
2017,9,0,166,1779
2017,10,0,167,1779
2017,11,1,168,1780
2017,12,4,169,1784
2017,13,2,170,1786
2017,14,0,171,1786
2017,15,0,172,1786
