Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,1,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,0,39,1
2014,40,0,40,1
2014,41,1,41,2
2014,42,0,42,2
2014,43,0,43,2
2014,44,0,44,2
2014,45,0,45,2
2014,46,0,46,2
2014,47,0,47,2
2014,48,0,48,2
2014,49,0,49,2
2014,50,0,50,2
2014,51,0,51,2
2014,52,0,52,2
2014,53,0,53,2
2015,1,0,54,2
2015,2,0,55,2
2015,3,0,56,2
2015,4,0,57,2
2015,5,0,58,2
2015,6,1,59,3
2015,7,0,60,3
2015,8,0,61,3
2015,9,0,62,3
2015,10,0,63,3
2015,11,0,64,3
2015,12,1,65,4
2015,13,0,66,4
2015,14,1,67,5
2015,15,0,68,5
2015,16,0,69,5
2015,17,0,70,5
2015,18,0,71,5
2015,19,0,72,5
2015,20,0,73,5
2015,21,1,74,6
2015,22,0,75,6
2015,23,1,76,7
2015,24,0,77,7
2015,25,0,78,7
2015,26,0,79,7
2015,27,0,80,7
2015,28,0,81,7
2015,29,0,82,7
2015,30,0,83,7
2015,31,1,84,8
2015,32,0,85,8
2015,33,0,86,8
2015,34,0,87,8
2015,35,0,88,8
2015,36,0,89,8
2015,37,0,90,8
2015,38,0,91,8
2015,39,0,92,8
2015,40,0,93,8
2015,41,0,94,8
2015,42,0,95,8
2015,43,0,96,8
2015,44,0,97,8
2015,45,0,98,8
2015,46,0,99,8
2015,47,0,100,8
2015,48,0,101,8
2015,49,0,102,8
2015,50,0,103,8
2015,51,0,104,8
2015,52,0,105,8
2016,1,0,106,8
2016,2,0,107,8
2016,3,0,108,8
2016,4,0,109,8
2016,5,0,110,8
2016,6,0,111,8
2016,7,2,112,10
2016,8,1,113,11
2016,9,0,114,11
2016,10,1,115,12
2016,11,0,116,12
2016,12,0,117,12
2016,13,0,118,12
2016,14,1,119,13
2016,15,0,120,13
2016,16,0,121,13
2016,17,0,122,13
2016,18,1,123,14
2016,19,0,124,14
2016,20,0,125,14
2016,21,0,126,14
2016,22,3,127,17
2016,23,0,128,17
2016,24,0,129,17
2016,25,0,130,17
2016,26,0,131,17
2016,27,1,132,18
2016,28,0,133,18
2016,29,0,134,18
2016,30,0,135,18
2016,31,0,136,18
2016,32,0,137,18
2016,33,0,138,18
2016,34,0,139,18
2016,35,0,140,18
2016,36,0,141,18
2016,37,0,142,18
2016,38,1,143,19
2016,39,0,144,19
2016,40,0,145,19
2016,41,0,146,19
2016,42,0,147,19
2016,43,0,148,19
2016,44,0,149,19
2016,45,0,150,19
2016,46,0,151,19
2016,47,0,152,19
2016,48,0,153,19
2016,49,0,154,19
2016,50,0,155,19
2016,51,0,156,19
2016,52,0,157,19
2017,1,0,158,19
2017,2,0,159,19
2017,3,0,160,19
2017,4,0,161,19
2017,5,1,162,20
2017,6,0,163,20
2017,7,0,164,20
2017,8,0,165,20
2017,9,0,166,20
2017,10,0,167,20
2017,11,0,168,20
2017,12,1,169,21
2017,13,0,170,21
2017,14,0,171,21
2017,15,0,172,21
