Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,8,1,8
2014,2,8,2,16
2014,3,9,3,25
2014,4,3,4,28
2014,5,14,5,42
2014,6,12,6,54
2014,7,12,7,66
2014,8,11,8,77
2014,9,11,9,88
2014,10,8,10,96
2014,11,5,11,101
2014,12,4,12,105
2014,13,4,13,109
2014,14,7,14,116
2014,15,0,15,116
2014,16,10,16,126
2014,17,8,17,134
2014,18,6,18,140
2014,19,10,19,150
2014,20,6,20,156
2014,21,8,21,164
2014,22,7,22,171
2014,23,4,23,175
2014,24,33,24,208
2014,25,18,25,226
2014,26,21,26,247
2014,27,8,27,255
2014,28,31,28,286
2014,29,28,29,314
2014,30,48,30,362
2014,31,64,31,426
2014,32,90,32,516
2014,33,117,33,633
2014,34,96,34,729
2014,35,113,35,842
2014,36,129,36,971
2014,37,106,37,1077
2014,38,95,38,1172
2014,39,115,39,1287
2014,40,122,40,1409
2014,41,85,41,1494
2014,42,81,42,1575
2014,43,61,43,1636
2014,44,49,44,1685
2014,45,50,45,1735
2014,46,29,46,1764
2014,47,17,47,1781
2014,48,11,48,1792
2014,49,20,49,1812
2014,50,12,50,1824
2014,51,28,51,1852
2014,52,23,52,1875
2014,53,42,53,1917
2015,1,9,54,1926
2015,2,11,55,1937
2015,3,13,56,1950
2015,4,11,57,1961
2015,5,17,58,1978
2015,6,9,59,1987
2015,7,8,60,1995
2015,8,7,61,2002
2015,9,12,62,2014
2015,10,16,63,2030
2015,11,10,64,2040
2015,12,13,65,2053
2015,13,10,66,2063
2015,14,16,67,2079
2015,15,7,68,2086
2015,16,6,69,2092
2015,17,8,70,2100
2015,18,10,71,2110
2015,19,14,72,2124
2015,20,7,73,2131
2015,21,11,74,2142
2015,22,10,75,2152
2015,23,9,76,2161
2015,24,13,77,2174
2015,25,25,78,2199
2015,26,11,79,2210
2015,27,12,80,2222
2015,28,18,81,2240
2015,29,18,82,2258
2015,30,21,83,2279
2015,31,35,84,2314
2015,32,29,85,2343
2015,33,57,86,2400
2015,34,36,87,2436
2015,35,40,88,2476
2015,36,42,89,2518
2015,37,22,90,2540
2015,38,45,91,2585
2015,39,34,92,2619
2015,40,21,93,2640
2015,41,21,94,2661
2015,42,13,95,2674
2015,43,14,96,2688
2015,44,18,97,2706
2015,45,13,98,2719
2015,46,13,99,2732
2015,47,9,100,2741
2015,48,13,101,2754
2015,49,7,102,2761
2015,50,13,103,2774
2015,51,5,104,2779
2015,52,10,105,2789
2016,1,4,106,2793
2016,2,12,107,2805
2016,2,12,107,2817
2016,3,18,108,2835
2016,4,9,109,2844
2016,5,12,110,2856
2016,6,7,111,2863
2016,7,7,112,2870
2016,8,13,113,2883
2016,9,12,114,2895
2016,10,8,115,2903
2016,11,12,116,2915
2016,12,7,117,2922
2016,13,1,118,2923
2016,14,4,119,2927
2016,15,3,120,2930
2016,16,12,121,2942
2016,17,2,122,2944
2016,18,14,123,2958
2016,19,7,124,2965
2016,20,7,125,2972
2016,21,10,126,2982
2016,22,2,127,2984
2016,23,6,128,2990
2016,24,5,129,2995
2016,25,5,130,3000
2016,26,13,131,3013
2016,27,9,132,3022
2016,28,13,133,3035
2016,29,16,134,3051
2016,30,9,135,3060
2016,31,0,136,3060
2016,32,18,137,3078
2016,33,12,138,3090
2016,34,13,139,3103
2016,35,16,140,3119
2016,36,14,141,3133
2016,37,13,142,3146
2016,38,30,143,3176
2016,39,30,144,3206
2016,40,13,145,3219
2016,41,32,146,3251
2016,42,21,147,3272
2016,43,14,148,3286
2016,44,12,149,3298
2016,45,8,150,3306
2016,46,0,151,3306
2016,47,16,152,3322
2016,48,8,153,3330
2016,49,6,154,3336
2016,50,11,155,3347
2016,51,15,156,3362
2016,52,5,157,3367
2017,1,1,158,3368
2017,2,7,159,3375
2017,3,11,160,3386
2017,4,4,161,3390
2017,5,6,162,3396
2017,6,6,163,3402
2017,7,6,164,3408
2017,8,3,165,3411
2017,9,4,166,3415
2017,10,6,167,3421
2017,11,4,168,3425
2017,12,6,169,3431
2017,13,12,170,3443
2017,14,10,171,3453
2017,15,0,172,3453
