Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,1,2,2
2014,3,1,3,3
2014,4,2,4,5
2014,5,0,5,5
2014,6,1,6,6
2014,7,2,7,8
2014,8,0,8,8
2014,9,1,9,9
2014,10,0,10,9
2014,11,2,11,11
2014,12,0,12,11
2014,13,1,13,12
2014,14,0,14,12
2014,15,1,15,13
2014,16,1,16,14
2014,17,2,17,16
2014,18,1,18,17
2014,19,2,19,19
2014,20,0,20,19
2014,21,1,21,20
2014,22,1,22,21
2014,23,2,23,23
2014,24,1,24,24
2014,25,1,25,25
2014,26,1,26,26
2014,27,0,27,26
2014,28,1,28,27
2014,29,3,29,30
2014,30,3,30,33
2014,31,1,31,34
2014,32,3,32,37
2014,33,1,33,38
2014,34,2,34,40
2014,35,5,35,45
2014,36,6,36,51
2014,37,14,37,65
2014,38,3,38,68
2014,39,5,39,73
2014,40,3,40,76
2014,41,0,41,76
2014,42,3,42,79
2014,43,0,43,79
2014,44,1,44,80
2014,45,5,45,85
2014,46,0,46,85
2014,47,1,47,86
2014,48,1,48,87
2014,49,0,49,87
2014,50,0,50,87
2014,51,0,51,87
2014,52,2,52,89
2014,53,0,53,89
2015,1,0,54,89
2015,2,1,55,90
2015,3,0,56,90
2015,4,3,57,93
2015,5,1,58,94
2015,6,0,59,94
2015,7,0,60,94
2015,8,0,61,94
2015,9,1,62,95
2015,10,0,63,95
2015,11,2,64,97
2015,12,0,65,97
2015,13,0,66,97
2015,14,2,67,99
2015,15,2,68,101
2015,16,0,69,101
2015,17,3,70,104
2015,18,1,71,105
2015,19,4,72,109
2015,20,0,73,109
2015,21,1,74,110
2015,22,0,75,110
2015,23,1,76,111
2015,24,0,77,111
2015,25,2,78,113
2015,26,2,79,115
2015,27,3,80,118
2015,28,0,81,118
2015,29,2,82,120
2015,30,2,83,122
2015,31,1,84,123
2015,32,0,85,123
2015,33,8,86,131
2015,34,3,87,134
2015,35,3,88,137
2015,36,3,89,140
2015,37,1,90,141
2015,38,5,91,146
2015,39,1,92,147
2015,40,3,93,150
2015,41,2,94,152
2015,42,1,95,153
2015,43,1,96,154
2015,44,2,97,156
2015,45,3,98,159
2015,46,2,99,161
2015,47,0,100,161
2015,48,0,101,161
2015,49,2,102,163
2015,50,0,103,163
2015,51,0,104,163
2015,52,0,105,163
2016,1,3,106,166
2016,2,1,107,167
2016,2,1,107,168
2016,3,2,108,170
2016,4,1,109,171
2016,5,2,110,173
2016,6,1,111,174
2016,7,2,112,176
2016,8,4,113,180
2016,9,1,114,181
2016,10,2,115,183
2016,11,0,116,183
2016,12,1,117,184
2016,13,4,118,188
2016,14,2,119,190
2016,15,0,120,190
2016,16,1,121,191
2016,17,0,122,191
2016,18,2,123,193
2016,19,1,124,194
2016,20,4,125,198
2016,21,0,126,198
2016,22,1,127,199
2016,23,3,128,202
2016,24,5,129,207
2016,25,1,130,208
2016,26,0,131,208
2016,27,1,132,209
2016,28,0,133,209
2016,29,3,134,212
2016,30,1,135,213
2016,31,5,136,218
2016,32,3,137,221
2016,33,1,138,222
2016,34,2,139,224
2016,35,2,140,226
2016,36,1,141,227
2016,37,6,142,233
2016,38,3,143,236
2016,39,1,144,237
2016,40,0,145,237
2016,41,0,146,237
2016,42,2,147,239
2016,43,0,148,239
2016,44,4,149,243
2016,45,6,150,249
2016,46,3,151,252
2016,47,1,152,253
2016,48,1,153,254
2016,49,1,154,255
2016,50,1,155,256
2016,51,4,156,260
2016,52,0,157,260
2017,1,0,158,260
2017,2,0,159,260
2017,3,1,160,261
2017,4,1,161,262
2017,5,1,162,263
2017,6,0,163,263
2017,7,4,164,267
2017,8,0,165,267
2017,9,2,166,269
2017,10,1,167,270
2017,11,2,168,272
2017,12,0,169,272
2017,13,0,170,272
2017,14,2,171,274
2017,15,2,172,276
