Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,2,9,2
2014,10,1,10,3
2014,11,1,11,4
2014,12,1,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,1,16,6
2014,17,0,17,6
2014,18,1,18,7
2014,19,0,19,7
2014,20,0,20,7
2014,21,0,21,7
2014,22,0,22,7
2014,23,0,23,7
2014,24,1,24,8
2014,25,1,25,9
2014,26,0,26,9
2014,27,0,27,9
2014,28,1,28,10
2014,29,0,29,10
2014,30,0,30,10
2014,31,2,31,12
2014,32,1,32,13
2014,33,0,33,13
2014,34,0,34,13
2014,35,2,35,15
2014,36,1,36,16
2014,37,1,37,17
2014,38,0,38,17
2014,39,0,39,17
2014,40,0,40,17
2014,41,0,41,17
2014,42,0,42,17
2014,43,0,43,17
2014,44,0,44,17
2014,45,0,45,17
2014,46,0,46,17
2014,47,0,47,17
2014,48,0,48,17
2014,49,0,49,17
2014,50,0,50,17
2014,51,1,51,18
2014,52,1,52,19
2014,53,0,53,19
2015,1,2,54,21
2015,2,0,55,21
2015,3,3,56,24
2015,4,0,57,24
2015,5,4,58,28
2015,6,0,59,28
2015,7,2,60,30
2015,8,0,61,30
2015,9,1,62,31
2015,10,0,63,31
2015,11,2,64,33
2015,12,0,65,33
2015,13,0,66,33
2015,14,0,67,33
2015,15,0,68,33
2015,16,0,69,33
2015,17,3,70,36
2015,18,0,71,36
2015,19,1,72,37
2015,20,1,73,38
2015,21,1,74,39
2015,22,1,75,40
2015,23,1,76,41
2015,24,0,77,41
2015,25,0,78,41
2015,26,2,79,43
2015,27,1,80,44
2015,28,0,81,44
2015,29,0,82,44
2015,30,0,83,44
2015,31,3,84,47
2015,32,4,85,51
2015,33,5,86,56
2015,34,2,87,58
2015,35,2,88,60
2015,36,2,89,62
2015,37,0,90,62
2015,38,0,91,62
2015,39,0,92,62
2015,40,1,93,63
2015,41,0,94,63
2015,42,0,95,63
2015,43,0,96,63
2015,44,0,97,63
2015,45,0,98,63
2015,46,0,99,63
2015,47,1,100,64
2015,48,4,101,68
2015,49,3,102,71
2015,50,0,103,71
2015,51,0,104,71
2015,52,1,105,72
2016,1,0,106,72
2016,2,0,107,72
2016,2,0,107,72
2016,3,0,108,72
2016,4,1,109,73
2016,5,0,110,73
2016,6,0,111,73
2016,7,1,112,74
2016,8,0,113,74
2016,9,0,114,74
2016,10,0,115,74
2016,11,0,116,74
2016,12,0,117,74
2016,13,2,118,76
2016,14,3,119,79
2016,15,0,120,79
2016,16,0,121,79
2016,17,0,122,79
2016,18,0,123,79
2016,19,1,124,80
2016,20,0,125,80
2016,21,0,126,80
2016,22,0,127,80
2016,23,0,128,80
2016,24,0,129,80
2016,25,0,130,80
2016,26,0,131,80
2016,27,0,132,80
2016,28,0,133,80
2016,29,0,134,80
2016,30,0,135,80
2016,31,0,136,80
2016,32,2,137,82
2016,33,0,138,82
2016,34,0,139,82
2016,35,0,140,82
2016,36,0,141,82
2016,37,0,142,82
2016,38,0,143,82
2016,39,0,144,82
2016,40,0,145,82
2016,41,0,146,82
2016,42,0,147,82
2016,43,0,148,82
2016,44,0,149,82
2016,45,0,150,82
2016,46,0,151,82
2016,47,0,152,82
2016,48,0,153,82
2016,49,0,154,82
2016,50,0,155,82
2016,51,0,156,82
2016,52,0,157,82
2017,1,0,158,82
2017,2,0,159,82
2017,3,0,160,82
2017,4,0,161,82
2017,5,4,162,86
2017,6,0,163,86
2017,7,1,164,87
2017,8,0,165,87
2017,9,0,166,87
2017,10,0,167,87
2017,11,0,168,87
2017,12,0,169,87
2017,13,0,170,87
2017,14,0,171,87
2017,15,0,172,87
