Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,1,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,1,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,0,20,2
2014,21,0,21,2
2014,22,0,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,0,25,2
2014,26,0,26,2
2014,27,0,27,2
2014,28,0,28,2
2014,29,0,29,2
2014,30,0,30,2
2014,31,0,31,2
2014,32,0,32,2
2014,33,1,33,3
2014,34,0,34,3
2014,35,0,35,3
2014,36,0,36,3
2014,37,0,37,3
2014,38,0,38,3
2014,39,1,39,4
2014,40,0,40,4
2014,41,3,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,0,45,7
2014,46,0,46,7
2014,47,0,47,7
2014,48,0,48,7
2014,49,0,49,7
2014,50,0,50,7
2014,51,0,51,7
2014,52,0,52,7
2014,53,0,53,7
2015,1,0,54,7
2015,2,0,55,7
2015,3,0,56,7
2015,4,0,57,7
2015,5,0,58,7
2015,6,0,59,7
2015,7,1,60,8
2015,8,0,61,8
2015,9,1,62,9
2015,10,0,63,9
2015,11,0,64,9
2015,12,0,65,9
2015,13,0,66,9
2015,14,0,67,9
2015,15,0,68,9
2015,16,0,69,9
2015,17,0,70,9
2015,18,0,71,9
2015,19,0,72,9
2015,20,0,73,9
2015,21,0,74,9
2015,22,0,75,9
2015,23,0,76,9
2015,24,0,77,9
2015,25,0,78,9
2015,26,0,79,9
2015,27,0,80,9
2015,28,1,81,10
2015,29,0,82,10
2015,30,0,83,10
2015,31,0,84,10
2015,32,0,85,10
2015,33,0,86,10
2015,34,0,87,10
2015,35,0,88,10
2015,36,0,89,10
2015,37,0,90,10
2015,38,0,91,10
2015,39,0,92,10
2015,40,0,93,10
2015,41,0,94,10
2015,42,1,95,11
2015,43,0,96,11
2015,44,1,97,12
2015,45,1,98,13
2015,46,0,99,13
2015,47,0,100,13
2015,48,0,101,13
2015,49,0,102,13
2015,50,0,103,13
2015,51,0,104,13
2015,52,0,105,13
2016,1,1,106,14
2016,2,0,107,14
2016,2,0,107,14
2016,3,1,108,15
2016,4,0,109,15
2016,5,0,110,15
2016,6,0,111,15
2016,7,0,112,15
2016,8,0,113,15
2016,9,0,114,15
2016,10,0,115,15
2016,11,0,116,15
2016,12,0,117,15
2016,13,0,118,15
2016,14,0,119,15
2016,15,0,120,15
2016,16,0,121,15
2016,17,0,122,15
2016,18,0,123,15
2016,19,0,124,15
2016,20,1,125,16
2016,21,0,126,16
2016,22,0,127,16
2016,23,0,128,16
2016,24,3,129,19
2016,25,0,130,19
2016,26,0,131,19
2016,27,0,132,19
2016,28,0,133,19
2016,29,0,134,19
2016,30,0,135,19
2016,31,1,136,20
2016,32,0,137,20
2016,33,0,138,20
2016,34,0,139,20
2016,35,0,140,20
2016,36,1,141,21
2016,37,0,142,21
2016,38,0,143,21
2016,39,0,144,21
2016,40,0,145,21
2016,41,0,146,21
2016,42,0,147,21
2016,43,0,148,21
2016,44,0,149,21
2016,45,0,150,21
2016,46,1,151,22
2016,47,0,152,22
2016,48,0,153,22
2016,49,0,154,22
2016,50,0,155,22
2016,51,1,156,23
2016,52,0,157,23
2017,1,0,158,23
2017,2,0,159,23
2017,3,0,160,23
2017,4,1,161,24
2017,5,0,162,24
2017,6,1,163,25
2017,7,0,164,25
2017,8,1,165,26
2017,9,1,166,27
2017,10,1,167,28
2017,11,1,168,29
2017,12,2,169,31
2017,13,0,170,31
2017,14,0,171,31
2017,15,1,172,32
