Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,2,3,3
2014,4,2,4,5
2014,5,2,5,7
2014,6,2,6,9
2014,7,2,7,11
2014,8,2,8,13
2014,9,2,9,15
2014,10,0,10,15
2014,11,1,11,16
2014,12,0,12,16
2014,13,2,13,18
2014,14,1,14,19
2014,15,2,15,21
2014,16,0,16,21
2014,17,0,17,21
2014,18,0,18,21
2014,19,2,19,23
2014,20,1,20,24
2014,21,1,21,25
2014,22,0,22,25
2014,23,3,23,28
2014,24,0,24,28
2014,25,0,25,28
2014,26,3,26,31
2014,27,1,27,32
2014,28,8,28,40
2014,29,4,29,44
2014,30,5,30,49
2014,31,1,31,50
2014,32,2,32,52
2014,33,0,33,52
2014,34,5,34,57
2014,35,2,35,59
2014,36,0,36,59
2014,37,0,37,59
2014,38,0,38,59
2014,39,0,39,59
2014,40,0,40,59
2014,41,3,41,62
2014,42,0,42,62
2014,43,2,43,64
2014,44,0,44,64
2014,45,3,45,67
2014,46,1,46,68
2014,47,0,47,68
2014,48,0,48,68
2014,49,3,49,71
2014,50,4,50,75
2014,51,0,51,75
2014,52,0,52,75
2014,53,0,53,75
2015,1,4,54,79
2015,2,2,55,81
2015,3,4,56,85
2015,4,1,57,86
2015,5,3,58,89
2015,6,0,59,89
2015,7,0,60,89
2015,8,1,61,90
2015,9,0,62,90
2015,10,0,63,90
2015,11,0,64,90
2015,12,0,65,90
2015,13,0,66,90
2015,14,0,67,90
2015,15,0,68,90
2015,16,0,69,90
2015,17,0,70,90
2015,18,0,71,90
2015,19,0,72,90
2015,20,0,73,90
2015,21,0,74,90
2015,22,0,75,90
2015,23,0,76,90
2015,24,0,77,90
2015,25,0,78,90
2015,26,0,79,90
2015,27,0,80,90
2015,28,0,81,90
2015,29,0,82,90
2015,30,0,83,90
2015,31,0,84,90
2015,32,0,85,90
2015,33,0,86,90
2015,34,0,87,90
2015,35,0,88,90
2015,36,0,89,90
2015,37,0,90,90
2015,38,0,91,90
2015,39,0,92,90
2015,40,0,93,90
2015,41,0,94,90
2015,42,0,95,90
2015,43,0,96,90
2015,44,0,97,90
2015,45,0,98,90
2015,46,0,99,90
2015,47,0,100,90
2015,48,0,101,90
2015,49,0,102,90
2015,50,0,103,90
2015,51,0,104,90
2015,52,0,105,90
2016,1,0,106,90
2016,2,0,107,90
2016,2,0,107,90
2016,3,0,108,90
2016,4,0,109,90
2016,5,0,110,90
2016,6,0,111,90
2016,7,0,112,90
2016,8,0,113,90
2016,9,0,114,90
2016,10,0,115,90
2016,11,0,116,90
2016,12,0,117,90
2016,13,0,118,90
2016,14,0,119,90
2016,15,0,120,90
2016,16,0,121,90
2016,17,0,122,90
2016,18,0,123,90
2016,19,0,124,90
2016,20,0,125,90
2016,21,0,126,90
2016,22,0,127,90
2016,23,0,128,90
2016,24,0,129,90
2016,25,0,130,90
2016,26,0,131,90
2016,27,0,132,90
2016,28,0,133,90
2016,29,0,134,90
2016,30,0,135,90
2016,31,0,136,90
2016,32,0,137,90
2016,33,0,138,90
2016,34,0,139,90
2016,35,0,140,90
2016,36,0,141,90
2016,37,0,142,90
2016,38,0,143,90
2016,39,0,144,90
2016,40,0,145,90
2016,41,0,146,90
2016,42,0,147,90
2016,43,0,148,90
2016,44,0,149,90
2016,45,0,150,90
2016,46,0,151,90
2016,47,0,152,90
2016,48,3,153,93
2016,49,0,154,93
2016,50,0,155,93
2016,51,0,156,93
2016,52,0,157,93
2017,1,0,158,93
2017,2,0,159,93
2017,3,0,160,93
2017,4,2,161,95
2017,5,0,162,95
2017,6,1,163,96
2017,7,2,164,98
2017,8,2,165,100
2017,9,0,166,100
2017,10,0,167,100
2017,11,3,168,103
2017,12,0,169,103
2017,13,3,170,106
2017,14,2,171,108
2017,15,1,172,109
