Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,1,4,2
2014,5,0,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,1,14,3
2014,15,3,15,6
2014,16,0,16,6
2014,17,0,17,6
2014,18,2,18,8
2014,19,1,19,9
2014,20,3,20,12
2014,21,0,21,12
2014,22,0,22,12
2014,23,1,23,13
2014,24,2,24,15
2014,25,1,25,16
2014,26,3,26,19
2014,27,0,27,19
2014,28,0,28,19
2014,29,0,29,19
2014,30,0,30,19
2014,31,4,31,23
2014,32,2,32,25
2014,33,1,33,26
2014,34,2,34,28
2014,35,3,35,31
2014,36,0,36,31
2014,37,2,37,33
2014,38,1,38,34
2014,39,1,39,35
2014,40,0,40,35
2014,41,0,41,35
2014,42,0,42,35
2014,43,0,43,35
2014,44,0,44,35
2014,45,0,45,35
2014,46,1,46,36
2014,47,0,47,36
2014,48,0,48,36
2014,49,0,49,36
2014,50,1,50,37
2014,51,0,51,37
2014,52,1,52,38
2014,53,1,53,39
2015,1,0,54,39
2015,2,0,55,39
2015,3,1,56,40
2015,4,1,57,41
2015,5,0,58,41
2015,6,0,59,41
2015,7,0,60,41
2015,8,0,61,41
2015,9,0,62,41
2015,10,0,63,41
2015,11,0,64,41
2015,12,0,65,41
2015,13,0,66,41
2015,14,1,67,42
2015,15,0,68,42
2015,16,0,69,42
2015,17,0,70,42
2015,18,0,71,42
2015,19,1,72,43
2015,20,0,73,43
2015,21,2,74,45
2015,22,2,75,47
2015,23,0,76,47
2015,24,0,77,47
2015,25,0,78,47
2015,26,1,79,48
2015,27,1,80,49
2015,28,1,81,50
2015,29,1,82,51
2015,30,1,83,52
2015,31,2,84,54
2015,32,1,85,55
2015,33,1,86,56
2015,34,0,87,56
2015,35,0,88,56
2015,36,0,89,56
2015,37,0,90,56
2015,38,0,91,56
2015,39,1,92,57
2015,40,1,93,58
2015,41,0,94,58
2015,42,0,95,58
2015,43,1,96,59
2015,44,0,97,59
2015,45,0,98,59
2015,46,0,99,59
2015,47,0,100,59
2015,48,1,101,60
2015,49,0,102,60
2015,50,2,103,62
2015,51,1,104,63
2015,52,1,105,64
2016,1,0,106,64
2016,2,1,107,65
2016,2,1,107,66
2016,3,0,108,66
2016,4,0,109,66
2016,5,1,110,67
2016,6,0,111,67
2016,7,0,112,67
2016,8,1,113,68
2016,9,0,114,68
2016,10,0,115,68
2016,11,0,116,68
2016,12,1,117,69
2016,13,0,118,69
2016,14,0,119,69
2016,15,1,120,70
2016,16,0,121,70
2016,17,0,122,70
2016,18,2,123,72
2016,19,3,124,75
2016,20,5,125,80
2016,21,1,126,81
2016,22,0,127,81
2016,23,1,128,82
2016,24,1,129,83
2016,25,0,130,83
2016,26,0,131,83
2016,27,0,132,83
2016,28,1,133,84
2016,29,0,134,84
2016,30,0,135,84
2016,31,0,136,84
2016,32,0,137,84
2016,33,0,138,84
2016,34,0,139,84
2016,35,2,140,86
2016,36,0,141,86
2016,37,0,142,86
2016,38,0,143,86
2016,39,0,144,86
2016,40,0,145,86
2016,41,1,146,87
2016,42,0,147,87
2016,43,1,148,88
2016,44,2,149,90
2016,45,0,150,90
2016,46,0,151,90
2016,47,0,152,90
2016,48,0,153,90
2016,49,0,154,90
2016,50,0,155,90
2016,51,0,156,90
2016,52,0,157,90
2017,1,0,158,90
2017,2,0,159,90
2017,3,0,160,90
2017,4,0,161,90
2017,5,0,162,90
2017,6,0,163,90
2017,7,0,164,90
2017,8,0,165,90
2017,9,0,166,90
2017,10,0,167,90
2017,11,0,168,90
2017,12,0,169,90
2017,13,1,170,91
2017,14,2,171,93
2017,15,2,172,95
