Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,1,2,3
2014,3,0,3,3
2014,4,2,4,5
2014,5,0,5,5
2014,6,0,6,5
2014,7,0,7,5
2014,8,0,8,5
2014,9,0,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,0,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,1,17,6
2014,18,0,18,6
2014,19,0,19,6
2014,20,0,20,6
2014,21,0,21,6
2014,22,0,22,6
2014,23,0,23,6
2014,24,0,24,6
2014,25,0,25,6
2014,26,0,26,6
2014,27,0,27,6
2014,28,0,28,6
2014,29,0,29,6
2014,30,0,30,6
2014,31,0,31,6
2014,32,3,32,9
2014,33,2,33,11
2014,34,0,34,11
2014,35,0,35,11
2014,36,0,36,11
2014,37,0,37,11
2014,38,0,38,11
2014,39,0,39,11
2014,40,1,40,12
2014,41,1,41,13
2014,42,0,42,13
2014,43,4,43,17
2014,44,2,44,19
2014,45,2,45,21
2014,46,0,46,21
2014,47,0,47,21
2014,48,0,48,21
2014,49,1,49,22
2014,50,1,50,23
2014,51,0,51,23
2014,52,1,52,24
2014,53,3,53,27
2015,1,0,54,27
2015,2,2,55,29
2015,3,1,56,30
2015,4,1,57,31
2015,5,3,58,34
2015,6,1,59,35
2015,7,1,60,36
2015,8,3,61,39
2015,9,2,62,41
2015,10,2,63,43
2015,11,1,64,44
2015,12,1,65,45
2015,13,2,66,47
2015,14,0,67,47
2015,15,1,68,48
2015,16,0,69,48
2015,17,1,70,49
2015,18,3,71,52
2015,19,2,72,54
2015,20,1,73,55
2015,21,2,74,57
2015,22,1,75,58
2015,23,6,76,64
2015,24,4,77,68
2015,25,2,78,70
2015,26,1,79,71
2015,27,3,80,74
2015,28,2,81,76
2015,29,5,82,81
2015,30,7,83,88
2015,31,4,84,92
2015,32,6,85,98
2015,33,10,86,108
2015,34,13,87,121
2015,35,19,88,140
2015,36,3,89,143
2015,37,15,90,158
2015,38,16,91,174
2015,39,0,92,174
2015,40,0,93,174
2015,41,0,94,174
2015,42,0,95,174
2015,43,0,96,174
2015,44,0,97,174
2015,45,0,98,174
2015,46,0,99,174
2015,47,0,100,174
2015,48,0,101,174
2015,49,0,102,174
2015,50,0,103,174
2015,51,0,104,174
2015,52,2,105,176
2016,1,4,106,180
2016,2,2,107,182
2016,2,2,107,184
2016,3,1,108,185
2016,4,1,109,186
2016,5,1,110,187
2016,6,3,111,190
2016,7,2,112,192
2016,8,1,113,193
2016,9,3,114,196
2016,10,2,115,198
2016,11,2,116,200
2016,12,3,117,203
2016,13,2,118,205
2016,14,1,119,206
2016,15,0,120,206
2016,16,4,121,210
2016,17,1,122,211
2016,18,3,123,214
2016,19,0,124,214
2016,20,0,125,214
2016,21,1,126,215
2016,22,4,127,219
2016,23,5,128,224
2016,24,7,129,231
2016,25,4,130,235
2016,26,1,131,236
2016,27,2,132,238
2016,28,3,133,241
2016,29,3,134,244
2016,30,2,135,246
2016,31,9,136,255
2016,32,5,137,260
2016,33,14,138,274
2016,34,12,139,286
2016,35,10,140,296
2016,36,6,141,302
2016,37,8,142,310
2016,38,15,143,325
2016,39,7,144,332
2016,40,6,145,338
2016,41,9,146,347
2016,42,3,147,350
2016,43,4,148,354
2016,44,4,149,358
2016,45,5,150,363
2016,46,2,151,365
2016,47,0,152,365
2016,48,6,153,371
2016,49,1,154,372
2016,50,3,155,375
2016,51,2,156,377
2016,52,1,157,378
2017,1,1,158,379
2017,2,2,159,381
2017,3,2,160,383
2017,4,1,161,384
2017,5,1,162,385
2017,6,4,163,389
2017,7,1,164,390
2017,8,1,165,391
2017,9,2,166,393
2017,10,1,167,394
2017,11,3,168,397
2017,12,1,169,398
2017,13,0,170,398
2017,14,1,171,399
2017,15,3,172,402
