Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,3,3,3
2014,4,0,4,3
2014,5,0,5,3
2014,6,28,6,31
2014,7,2,7,33
2014,8,4,8,37
2014,9,0,9,37
2014,10,2,10,39
2014,11,0,11,39
2014,12,5,12,44
2014,13,4,13,48
2014,14,0,14,48
2014,15,0,15,48
2014,16,0,16,48
2014,17,6,17,54
2014,18,0,18,54
2014,19,0,19,54
2014,20,0,20,54
2014,21,1,21,55
2014,22,0,22,55
2014,23,16,23,71
2014,24,0,24,71
2014,25,5,25,76
2014,26,3,26,79
2014,27,0,27,79
2014,28,3,28,82
2014,29,0,29,82
2014,30,3,30,85
2014,31,6,31,91
2014,32,0,32,91
2014,33,0,33,91
2014,34,0,34,91
2014,35,12,35,103
2014,36,9,36,112
2014,37,0,37,112
2014,38,0,38,112
2014,39,0,39,112
2014,40,0,40,112
2014,41,0,41,112
2014,42,0,42,112
2014,43,0,43,112
2014,44,0,44,112
2014,45,0,45,112
2014,46,0,46,112
2014,47,0,47,112
2014,48,0,48,112
2014,49,0,49,112
2014,50,42,50,154
2014,51,0,51,154
2014,52,0,52,154
2014,53,0,53,154
2015,1,24,54,178
2015,2,0,55,178
2015,3,0,56,178
2015,4,0,57,178
2015,5,1,58,179
2015,6,0,59,179
2015,7,0,60,179
2015,8,0,61,179
2015,9,0,62,179
2015,10,0,63,179
2015,11,0,64,179
2015,12,0,65,179
2015,13,0,66,179
2015,14,0,67,179
2015,15,0,68,179
2015,16,0,69,179
2015,17,0,70,179
2015,18,0,71,179
2015,19,2,72,181
2015,20,0,73,181
2015,21,0,74,181
2015,22,0,75,181
2015,23,0,76,181
2015,24,0,77,181
2015,25,62,78,243
2015,26,10,79,253
2015,27,2,80,255
2015,28,0,81,255
2015,29,6,82,261
2015,30,0,83,261
2015,31,1,84,262
2015,32,0,85,262
2015,33,4,86,266
2015,34,1,87,267
2015,35,0,88,267
2015,36,15,89,282
2015,37,3,90,285
2015,38,5,91,290
2015,39,6,92,296
2015,40,6,93,302
2015,41,21,94,323
2015,42,25,95,348
2015,43,5,96,353
2015,44,1,97,354
2015,45,2,98,356
2015,46,0,99,356
2015,47,0,100,356
2015,48,9,101,365
2015,49,5,102,370
2015,50,0,103,370
2015,51,0,104,370
2015,52,8,105,378
2016,1,0,106,378
2016,2,0,107,378
2016,2,0,107,378
2016,3,0,108,378
2016,4,0,109,378
2016,5,0,110,378
2016,6,0,111,378
2016,7,0,112,378
2016,8,0,113,378
2016,9,0,114,378
2016,10,0,115,378
2016,11,0,116,378
2016,12,0,117,378
2016,13,0,118,378
2016,14,0,119,378
2016,15,0,120,378
2016,16,0,121,378
2016,17,0,122,378
2016,18,0,123,378
2016,19,0,124,378
2016,20,0,125,378
2016,21,0,126,378
2016,22,0,127,378
2016,23,0,128,378
2016,24,0,129,378
2016,25,0,130,378
2016,26,0,131,378
2016,27,0,132,378
2016,28,0,133,378
2016,29,0,134,378
2016,30,0,135,378
2016,31,0,136,378
2016,32,0,137,378
2016,33,0,138,378
2016,34,0,139,378
2016,35,0,140,378
2016,36,0,141,378
2016,37,0,142,378
2016,38,0,143,378
2016,39,0,144,378
2016,40,0,145,378
2016,41,0,146,378
2016,42,0,147,378
2016,43,0,148,378
2016,44,0,149,378
2016,45,0,150,378
2016,46,0,151,378
2016,47,0,152,378
2016,48,0,153,378
2016,49,0,154,378
2016,50,0,155,378
2016,51,0,156,378
2016,52,0,157,378
2017,1,0,158,378
2017,2,0,159,378
2017,3,0,160,378
2017,4,0,161,378
2017,5,0,162,378
2017,6,0,163,378
2017,7,0,164,378
2017,8,0,165,378
2017,9,0,166,378
2017,10,0,167,378
2017,11,0,168,378
2017,12,0,169,378
2017,13,0,170,378
2017,14,0,171,378
2017,15,0,172,378
