Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,2,6,2
2014,7,1,7,3
2014,8,1,8,4
2014,9,1,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,0,12,5
2014,13,0,13,5
2014,14,4,14,9
2014,15,1,15,10
2014,16,0,16,10
2014,17,0,17,10
2014,18,0,18,10
2014,19,0,19,10
2014,20,2,20,12
2014,21,3,21,15
2014,22,1,22,16
2014,23,1,23,17
2014,24,0,24,17
2014,25,1,25,18
2014,26,1,26,19
2014,27,1,27,20
2014,28,1,28,21
2014,29,1,29,22
2014,30,0,30,22
2014,31,1,31,23
2014,32,1,32,24
2014,33,1,33,25
2014,34,0,34,25
2014,35,0,35,25
2014,36,0,36,25
2014,37,0,37,25
2014,38,0,38,25
2014,39,0,39,25
2014,40,0,40,25
2014,41,2,41,27
2014,42,2,42,29
2014,43,4,43,33
2014,44,2,44,35
2014,45,2,45,37
2014,46,0,46,37
2014,47,0,47,37
2014,48,0,48,37
2014,49,0,49,37
2014,50,3,50,40
2014,51,2,51,42
2014,52,1,52,43
2014,53,0,53,43
2015,1,0,54,43
2015,2,0,55,43
2015,3,1,56,44
2015,4,1,57,45
2015,5,1,58,46
2015,6,5,59,51
2015,7,0,60,51
2015,8,1,61,52
2015,9,2,62,54
2015,10,2,63,56
2015,11,0,64,56
2015,12,1,65,57
2015,13,0,66,57
2015,14,1,67,58
2015,15,4,68,62
2015,16,1,69,63
2015,17,2,70,65
2015,18,2,71,67
2015,19,1,72,68
2015,20,2,73,70
2015,21,4,74,74
2015,22,1,75,75
2015,23,1,76,76
2015,24,0,77,76
2015,25,2,78,78
2015,26,3,79,81
2015,27,0,80,81
2015,28,0,81,81
2015,29,1,82,82
2015,30,1,83,83
2015,31,2,84,85
2015,32,2,85,87
2015,33,3,86,90
2015,34,6,87,96
2015,35,1,88,97
2015,36,4,89,101
2015,37,1,90,102
2015,38,2,91,104
2015,39,4,92,108
2015,40,2,93,110
2015,41,2,94,112
2015,42,2,95,114
2015,43,5,96,119
2015,44,1,97,120
2015,45,3,98,123
2015,46,3,99,126
2015,47,1,100,127
2015,48,1,101,128
2015,49,1,102,129
2015,50,2,103,131
2015,51,2,104,133
2015,52,2,105,135
2016,1,6,106,141
2016,2,1,107,142
2016,2,1,107,143
2016,3,1,108,144
2016,4,2,109,146
2016,5,2,110,148
2016,6,5,111,153
2016,7,2,112,155
2016,8,4,113,159
2016,9,3,114,162
2016,10,3,115,165
2016,11,2,116,167
2016,12,0,117,167
2016,13,1,118,168
2016,14,1,119,169
2016,15,5,120,174
2016,16,2,121,176
2016,17,3,122,179
2016,18,4,123,183
2016,19,4,124,187
2016,20,4,125,191
2016,21,4,126,195
2016,22,1,127,196
2016,23,4,128,200
2016,24,3,129,203
2016,25,5,130,208
2016,26,6,131,214
2016,27,2,132,216
2016,28,2,133,218
2016,29,0,134,218
2016,30,1,135,219
2016,31,5,136,224
2016,32,1,137,225
2016,33,1,138,226
2016,34,1,139,227
2016,35,0,140,227
2016,36,2,141,229
2016,37,2,142,231
2016,38,6,143,237
2016,39,2,144,239
2016,40,1,145,240
2016,41,1,146,241
2016,42,1,147,242
2016,43,2,148,244
2016,44,3,149,247
2016,45,2,150,249
2016,46,0,151,249
2016,47,4,152,253
2016,48,0,153,253
2016,49,1,154,254
2016,50,1,155,255
2016,51,1,156,256
2016,52,0,157,256
2017,1,1,158,257
2017,2,1,159,258
2017,3,1,160,259
2017,4,0,161,259
2017,5,1,162,260
2017,6,0,163,260
2017,7,3,164,263
2017,8,1,165,264
2017,9,1,166,265
2017,10,0,167,265
2017,11,0,168,265
2017,12,0,169,265
2017,13,2,170,267
2017,14,2,171,269
2017,15,3,172,272
