Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,1,26,2
2014,27,1,27,3
2014,28,0,28,3
2014,29,2,29,5
2014,30,1,30,6
2014,31,0,31,6
2014,32,0,32,6
2014,33,0,33,6
2014,34,0,34,6
2014,35,0,35,6
2014,36,0,36,6
2014,37,1,37,7
2014,38,0,38,7
2014,39,0,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,0,45,7
2014,46,0,46,7
2014,47,0,47,7
2014,48,0,48,7
2014,49,0,49,7
2014,50,1,50,8
2014,51,0,51,8
2014,52,0,52,8
2014,53,0,53,8
2015,1,0,54,8
2015,2,0,55,8
2015,3,0,56,8
2015,4,0,57,8
2015,5,0,58,8
2015,6,0,59,8
2015,7,1,60,9
2015,8,0,61,9
2015,9,0,62,9
2015,10,0,63,9
2015,11,0,64,9
2015,12,0,65,9
2015,13,0,66,9
2015,14,0,67,9
2015,15,0,68,9
2015,16,0,69,9
2015,17,0,70,9
2015,18,1,71,10
2015,19,0,72,10
2015,20,0,73,10
2015,21,0,74,10
2015,22,0,75,10
2015,23,2,76,12
2015,24,0,77,12
2015,25,0,78,12
2015,26,0,79,12
2015,27,0,80,12
2015,28,0,81,12
2015,29,0,82,12
2015,30,0,83,12
2015,31,0,84,12
2015,32,0,85,12
2015,33,0,86,12
2015,34,0,87,12
2015,35,0,88,12
2015,36,0,89,12
2015,37,2,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,1,94,15
2015,42,0,95,15
2015,43,1,96,16
2015,44,0,97,16
2015,45,0,98,16
2015,46,0,99,16
2015,47,0,100,16
2015,48,0,101,16
2015,49,0,102,16
2015,50,0,103,16
2015,51,0,104,16
2015,52,0,105,16
2016,1,0,106,16
2016,2,0,107,16
2016,2,0,107,16
2016,3,0,108,16
2016,4,0,109,16
2016,5,0,110,16
2016,6,0,111,16
2016,7,0,112,16
2016,8,0,113,16
2016,9,0,114,16
2016,10,0,115,16
2016,11,0,116,16
2016,12,0,117,16
2016,13,0,118,16
2016,14,0,119,16
2016,15,1,120,17
2016,16,0,121,17
2016,17,0,122,17
2016,18,0,123,17
2016,19,0,124,17
2016,20,0,125,17
2016,21,0,126,17
2016,22,0,127,17
2016,23,0,128,17
2016,24,0,129,17
2016,25,0,130,17
2016,26,0,131,17
2016,27,0,132,17
2016,28,0,133,17
2016,29,1,134,18
2016,30,0,135,18
2016,31,0,136,18
2016,32,1,137,19
2016,33,0,138,19
2016,34,0,139,19
2016,35,0,140,19
2016,36,0,141,19
2016,37,0,142,19
2016,38,0,143,19
2016,39,0,144,19
2016,40,0,145,19
2016,41,1,146,20
2016,42,0,147,20
2016,43,0,148,20
2016,44,0,149,20
2016,45,0,150,20
2016,46,0,151,20
2016,47,0,152,20
2016,48,0,153,20
2016,49,0,154,20
2016,50,0,155,20
2016,51,0,156,20
2016,52,0,157,20
2017,1,0,158,20
2017,2,0,159,20
2017,3,0,160,20
2017,4,0,161,20
2017,5,0,162,20
2017,6,0,163,20
2017,7,0,164,20
2017,8,0,165,20
2017,9,0,166,20
2017,10,0,167,20
2017,11,0,168,20
2017,12,0,169,20
2017,13,0,170,20
2017,14,0,171,20
2017,15,0,172,20
