Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,1,4,2
2014,5,1,5,3
2014,6,2,6,5
2014,7,1,7,6
2014,8,1,8,7
2014,9,2,9,9
2014,10,3,10,12
2014,11,2,11,14
2014,12,1,12,15
2014,13,2,13,17
2014,14,2,14,19
2014,15,6,15,25
2014,16,1,16,26
2014,17,1,17,27
2014,18,1,18,28
2014,19,2,19,30
2014,20,4,20,34
2014,21,2,21,36
2014,22,4,22,40
2014,23,10,23,50
2014,24,1,24,51
2014,25,1,25,52
2014,26,7,26,59
2014,27,3,27,62
2014,28,3,28,65
2014,29,3,29,68
2014,30,3,30,71
2014,31,2,31,73
2014,32,4,32,77
2014,33,5,33,82
2014,34,1,34,83
2014,35,6,35,89
2014,36,8,36,97
2014,37,8,37,105
2014,38,6,38,111
2014,39,4,39,115
2014,40,7,40,122
2014,41,6,41,128
2014,42,5,42,133
2014,43,4,43,137
2014,44,16,44,153
2014,45,5,45,158
2014,46,3,46,161
2014,47,4,47,165
2014,48,6,48,171
2014,49,1,49,172
2014,50,5,50,177
2014,51,0,51,177
2014,52,1,52,178
2014,53,3,53,181
2015,1,0,54,181
2015,2,1,55,182
2015,3,1,56,183
2015,4,0,57,183
2015,5,1,58,184
2015,6,1,59,185
2015,7,1,60,186
2015,8,0,61,186
2015,9,3,62,189
2015,10,1,63,190
2015,11,4,64,194
2015,12,3,65,197
2015,13,2,66,199
2015,14,6,67,205
2015,15,5,68,210
2015,16,8,69,218
2015,17,3,70,221
2015,18,6,71,227
2015,19,4,72,231
2015,20,1,73,232
2015,21,2,74,234
2015,22,4,75,238
2015,23,10,76,248
2015,24,4,77,252
2015,25,6,78,258
2015,26,10,79,268
2015,27,8,80,276
2015,28,10,81,286
2015,29,9,82,295
2015,30,5,83,300
2015,31,9,84,309
2015,32,10,85,319
2015,33,24,86,343
2015,34,20,87,363
2015,35,11,88,374
2015,36,9,89,383
2015,37,19,90,402
2015,38,20,91,422
2015,39,15,92,437
2015,40,21,93,458
2015,41,20,94,478
2015,42,17,95,495
2015,43,8,96,503
2015,44,8,97,511
2015,45,7,98,518
2015,46,6,99,524
2015,47,4,100,528
2015,48,7,101,535
2015,49,8,102,543
2015,50,16,103,559
2015,51,12,104,571
2015,52,3,105,574
2016,1,2,106,576
2016,2,2,107,578
2016,2,2,107,580
2016,3,1,108,581
2016,4,4,109,585
2016,5,4,110,589
2016,6,7,111,596
2016,7,0,112,596
2016,8,3,113,599
2016,9,0,114,599
2016,10,4,115,603
2016,11,2,116,605
2016,12,0,117,605
2016,13,8,118,613
2016,14,3,119,616
2016,15,4,120,620
2016,16,10,121,630
2016,17,3,122,633
2016,18,6,123,639
2016,19,3,124,642
2016,20,9,125,651
2016,21,1,126,652
2016,22,7,127,659
2016,23,0,128,659
2016,24,5,129,664
2016,25,13,130,677
2016,26,6,131,683
2016,27,6,132,689
2016,28,9,133,698
2016,29,15,134,713
2016,30,10,135,723
2016,31,9,136,732
2016,32,12,137,744
2016,33,15,138,759
2016,34,8,139,767
2016,35,10,140,777
2016,36,5,141,782
2016,37,18,142,800
2016,38,12,143,812
2016,39,26,144,838
2016,40,0,145,838
2016,41,10,146,848
2016,42,11,147,859
2016,43,15,148,874
2016,44,14,149,888
2016,45,8,150,896
2016,46,11,151,907
2016,47,8,152,915
2016,48,6,153,921
2016,49,10,154,931
2016,50,7,155,938
2016,51,1,156,939
2016,52,4,157,943
2017,1,0,158,943
2017,2,4,159,947
2017,3,3,160,950
2017,4,4,161,954
2017,5,3,162,957
2017,6,11,163,968
2017,7,1,164,969
2017,8,1,165,970
2017,9,2,166,972
2017,10,12,167,984
2017,11,5,168,989
2017,12,2,169,991
2017,13,3,170,994
2017,14,3,171,997
2017,15,1,172,998
