Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,0,23,0
2014,24,0,24,0
2014,25,0,25,0
2014,26,0,26,0
2014,27,0,27,0
2014,28,0,28,0
2014,29,0,29,0
2014,30,0,30,0
2014,31,0,31,0
2014,32,0,32,0
2014,33,0,33,0
2014,34,0,34,0
2014,35,0,35,0
2014,36,0,36,0
2014,37,0,37,0
2014,38,0,38,0
2014,39,0,39,0
2014,40,0,40,0
2014,41,0,41,0
2014,42,0,42,0
2014,43,0,43,0
2014,44,0,44,0
2014,45,0,45,0
2014,46,0,46,0
2014,47,0,47,0
2014,48,0,48,0
2014,49,0,49,0
2014,50,0,50,0
2014,51,0,51,0
2014,52,0,52,0
2014,53,0,53,0
