Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,1,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,4,20,5
2014,21,1,21,6
2014,22,3,22,9
2014,23,2,23,11
2014,24,2,24,13
2014,25,4,25,17
2014,26,1,26,18
2014,27,2,27,20
2014,28,4,28,24
2014,29,5,29,29
2014,30,4,30,33
2014,31,2,31,35
2014,32,2,32,37
2014,33,0,33,37
2014,34,4,34,41
2014,35,3,35,44
2014,36,1,36,45
2014,37,1,37,46
2014,38,2,38,48
2014,39,0,39,48
2014,40,3,40,51
2014,41,0,41,51
2014,42,1,42,52
2014,43,4,43,56
2014,44,3,44,59
2014,45,1,45,60
2014,46,1,46,61
2014,47,4,47,65
2014,48,3,48,68
2014,49,3,49,71
2014,50,1,50,72
2014,51,2,51,74
2014,52,1,52,75
2014,53,0,53,75
2015,1,0,54,75
2015,2,0,55,75
2015,3,0,56,75
2015,4,0,57,75
2015,5,0,58,75
2015,6,0,59,75
2015,7,0,60,75
2015,8,0,61,75
2015,9,0,62,75
2015,10,0,63,75
2015,11,1,64,76
2015,12,0,65,76
2015,13,0,66,76
2015,14,0,67,76
2015,15,0,68,76
2015,16,0,69,76
2015,17,1,70,77
2015,18,2,71,79
2015,19,1,72,80
2015,20,1,73,81
2015,21,3,74,84
2015,22,3,75,87
2015,23,4,76,91
2015,24,12,77,103
2015,25,10,78,113
2015,26,5,79,118
2015,27,11,80,129
2015,28,13,81,142
2015,29,5,82,147
2015,30,3,83,150
2015,31,5,84,155
2015,32,7,85,162
2015,33,2,86,164
2015,34,2,87,166
2015,35,0,88,166
2015,36,1,89,167
2015,37,2,90,169
2015,38,0,91,169
2015,39,1,92,170
2015,40,1,93,171
2015,41,0,94,171
2015,42,4,95,175
2015,43,9,96,184
2015,44,7,97,191
2015,45,0,98,191
2015,46,0,99,191
2015,47,0,100,191
2015,48,9,101,200
2015,49,3,102,203
2015,50,1,103,204
2015,51,0,104,204
2015,52,0,105,204
2016,1,1,106,205
2016,2,1,107,206
2016,3,1,108,207
2016,4,0,109,207
2016,5,0,110,207
2016,6,0,111,207
2016,7,0,112,207
2016,8,0,113,207
2016,9,0,114,207
2016,10,0,115,207
2016,11,0,116,207
2016,12,0,117,207
2016,13,1,118,208
2016,14,1,119,209
2016,15,2,120,211
2016,16,0,121,211
2016,17,2,122,213
2016,18,2,123,215
2016,19,5,124,220
2016,20,1,125,221
2016,21,5,126,226
2016,22,2,127,228
2016,23,6,128,234
2016,24,11,129,245
2016,25,11,130,256
2016,26,6,131,262
2016,27,11,132,273
2016,28,13,133,286
2016,29,17,134,303
2016,30,18,135,321
2016,31,9,136,330
2016,32,20,137,350
2016,33,12,138,362
2016,34,5,139,367
2016,35,7,140,374
2016,36,2,141,376
2016,37,2,142,378
2016,38,0,143,378
2016,39,2,144,380
2016,40,0,145,380
2016,41,1,146,381
2016,42,8,147,389
2016,43,11,148,400
2016,44,10,149,410
2016,45,2,150,412
2016,46,9,151,421
2016,47,5,152,426
2016,48,13,153,439
2016,49,5,154,444
2016,50,0,155,444
2016,51,1,156,445
2016,52,0,157,445
2017,1,0,158,445
2017,2,1,159,446
2017,3,1,160,447
2017,4,0,161,447
2017,5,0,162,447
2017,6,0,163,447
2017,7,0,164,447
2017,8,1,165,448
2017,9,0,166,448
2017,10,0,167,448
2017,11,0,168,448
2017,12,1,169,449
2017,13,0,170,449
2017,14,0,171,449
2017,15,0,172,449
