Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,1,4,2
2014,5,0,5,2
2014,6,1,6,3
2014,7,1,7,4
2014,8,1,8,5
2014,9,0,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,0,12,5
2014,13,2,13,7
2014,14,1,14,8
2014,15,0,15,8
2014,16,2,16,10
2014,17,3,17,13
2014,18,2,18,15
2014,19,3,19,18
2014,20,5,20,23
2014,21,8,21,31
2014,22,8,22,39
2014,23,18,23,57
2014,24,19,24,76
2014,25,15,25,91
2014,26,13,26,104
2014,27,15,27,119
2014,28,35,28,154
2014,29,19,29,173
2014,30,21,30,194
2014,31,17,31,211
2014,32,15,32,226
2014,33,11,33,237
2014,34,16,34,253
2014,35,7,35,260
2014,36,7,36,267
2014,37,4,37,271
2014,38,13,38,284
2014,39,7,39,291
2014,40,8,40,299
2014,41,3,41,302
2014,42,3,42,305
2014,43,6,43,311
2014,44,6,44,317
2014,45,9,45,326
2014,46,10,46,336
2014,47,10,47,346
2014,48,15,48,361
2014,49,0,49,361
2014,50,9,50,370
2014,51,6,51,376
2014,52,8,52,384
2014,53,0,53,384
2015,1,0,54,384
2015,2,0,55,384
2015,3,0,56,384
2015,4,0,57,384
2015,5,0,58,384
2015,6,1,59,385
2015,7,0,60,385
2015,8,2,61,387
2015,9,1,62,388
2015,10,0,63,388
2015,11,1,64,389
2015,12,0,65,389
2015,13,0,66,389
2015,14,0,67,389
2015,15,0,68,389
2015,16,1,69,390
2015,17,1,70,391
2015,18,5,71,396
2015,19,9,72,405
2015,20,10,73,415
2015,21,18,74,433
2015,22,20,75,453
2015,23,25,76,478
2015,24,49,77,527
2015,25,29,78,556
2015,26,32,79,588
2015,27,39,80,627
2015,28,7,81,634
2015,29,33,82,667
2015,30,23,83,690
2015,31,20,84,710
2015,32,31,85,741
2015,33,22,86,763
2015,34,16,87,779
2015,35,7,88,786
2015,36,12,89,798
2015,37,12,90,810
2015,38,18,91,828
2015,39,8,92,836
2015,40,14,93,850
2015,41,17,94,867
2015,42,4,95,871
2015,43,13,96,884
2015,44,18,97,902
2015,45,10,98,912
2015,46,13,99,925
2015,47,18,100,943
2015,48,24,101,967
2015,49,10,102,977
2015,50,17,103,994
2015,51,8,104,1002
2015,52,6,105,1008
2016,1,0,106,1008
2016,2,0,107,1008
2016,3,3,108,1011
2016,4,2,109,1013
2016,5,1,110,1014
2016,6,1,111,1015
2016,7,1,112,1016
2016,8,0,113,1016
2016,9,0,114,1016
2016,10,3,115,1019
2016,11,1,116,1020
2016,12,0,117,1020
2016,13,4,118,1024
2016,14,1,119,1025
2016,15,3,120,1028
2016,16,8,121,1036
2016,17,7,122,1043
2016,18,10,123,1053
2016,19,9,124,1062
2016,20,13,125,1075
2016,21,1,126,1076
2016,22,0,127,1076
2016,23,15,128,1091
2016,24,35,129,1126
2016,25,39,130,1165
2016,26,26,131,1191
2016,27,8,132,1199
2016,28,50,133,1249
2016,29,36,134,1285
2016,30,20,135,1305
2016,31,34,136,1339
2016,32,33,137,1372
2016,33,31,138,1403
2016,34,24,139,1427
2016,35,0,140,1427
2016,36,17,141,1444
2016,37,12,142,1456
2016,38,14,143,1470
2016,39,11,144,1481
2016,40,4,145,1485
2016,41,3,146,1488
2016,42,11,147,1499
2016,43,15,148,1514
2016,44,9,149,1523
2016,45,9,150,1532
2016,46,18,151,1550
2016,47,18,152,1568
2016,48,17,153,1585
2016,49,8,154,1593
2016,50,3,155,1596
2016,51,7,156,1603
2016,52,8,157,1611
2017,1,0,158,1611
2017,2,0,159,1611
2017,3,0,160,1611
2017,4,0,161,1611
2017,5,0,162,1611
2017,6,1,163,1612
2017,7,2,164,1614
2017,8,3,165,1617
2017,9,0,166,1617
2017,10,0,167,1617
2017,11,0,168,1617
2017,12,0,169,1617
2017,13,1,170,1618
2017,14,1,171,1619
2017,15,5,172,1624
