Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,1,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,2,21,3
2014,22,3,22,6
2014,23,3,23,9
2014,24,2,24,11
2014,25,1,25,12
2014,26,5,26,17
2014,27,3,27,20
2014,28,12,28,32
2014,29,6,29,38
2014,30,4,30,42
2014,31,8,31,50
2014,32,3,32,53
2014,33,1,33,54
2014,34,3,34,57
2014,35,0,35,57
2014,36,3,36,60
2014,37,0,37,60
2014,38,0,38,60
2014,39,2,39,62
2014,40,1,40,63
2014,41,0,41,63
2014,42,0,42,63
2014,43,0,43,63
2014,44,0,44,63
2014,45,2,45,65
2014,46,2,46,67
2014,47,1,47,68
2014,48,3,48,71
2014,49,0,49,71
2014,50,0,50,71
2014,51,0,51,71
2014,52,0,52,71
2014,53,0,53,71
2015,1,0,54,71
2015,2,0,55,71
2015,3,0,56,71
2015,4,0,57,71
2015,5,0,58,71
2015,6,0,59,71
2015,7,0,60,71
2015,8,1,61,72
2015,9,0,62,72
2015,10,0,63,72
2015,11,0,64,72
2015,12,0,65,72
2015,13,0,66,72
2015,14,1,67,73
2015,15,0,68,73
2015,16,0,69,73
2015,17,0,70,73
2015,18,3,71,76
2015,19,2,72,78
2015,20,2,73,80
2015,21,3,74,83
2015,22,2,75,85
2015,23,0,76,85
2015,24,3,77,88
2015,25,7,78,95
2015,26,1,79,96
2015,27,6,80,102
2015,28,4,81,106
2015,29,1,82,107
2015,30,5,83,112
2015,31,3,84,115
2015,32,4,85,119
2015,33,1,86,120
2015,34,2,87,122
2015,35,4,88,126
2015,36,0,89,126
2015,37,5,90,131
2015,38,4,91,135
2015,39,0,92,135
2015,40,3,93,138
2015,41,1,94,139
2015,42,1,95,140
2015,43,1,96,141
2015,44,0,97,141
2015,45,0,98,141
2015,46,1,99,142
2015,47,0,100,142
2015,48,0,101,142
2015,49,1,102,143
2015,50,1,103,144
2015,51,0,104,144
2015,52,3,105,147
2016,1,0,106,147
2016,2,0,107,147
2016,3,0,108,147
2016,4,0,109,147
2016,5,0,110,147
2016,6,0,111,147
2016,7,1,112,148
2016,8,0,113,148
2016,9,1,114,149
2016,10,0,115,149
2016,11,0,116,149
2016,12,0,117,149
2016,13,1,118,150
2016,14,0,119,150
2016,15,0,120,150
2016,16,1,121,151
2016,17,2,122,153
2016,18,0,123,153
2016,19,2,124,155
2016,20,5,125,160
2016,21,0,126,160
2016,22,1,127,161
2016,23,7,128,168
2016,24,5,129,173
2016,25,5,130,178
2016,26,6,131,184
2016,27,2,132,186
2016,28,9,133,195
2016,29,2,134,197
2016,30,7,135,204
2016,31,0,136,204
2016,32,1,137,205
2016,33,2,138,207
2016,34,3,139,210
2016,35,1,140,211
2016,36,1,141,212
2016,37,0,142,212
2016,38,0,143,212
2016,39,1,144,213
2016,40,1,145,214
2016,41,4,146,218
2016,42,0,147,218
2016,43,0,148,218
2016,44,0,149,218
2016,45,0,150,218
2016,46,0,151,218
2016,47,2,152,220
2016,48,0,153,220
2016,49,0,154,220
2016,50,1,155,221
2016,51,2,156,223
2016,52,0,157,223
2017,1,0,158,223
2017,2,0,159,223
2017,3,0,160,223
2017,4,0,161,223
2017,5,0,162,223
2017,6,2,163,225
2017,7,0,164,225
2017,8,0,165,225
2017,9,0,166,225
2017,10,0,167,225
2017,11,0,168,225
2017,12,0,169,225
2017,13,2,170,227
2017,14,2,171,229
2017,15,2,172,231
