Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,1,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,1,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,1,22,4
2014,23,0,23,4
2014,24,1,24,5
2014,25,1,25,6
2014,26,4,26,10
2014,27,2,27,12
2014,28,1,28,13
2014,29,1,29,14
2014,30,0,30,14
2014,31,0,31,14
2014,32,3,32,17
2014,33,0,33,17
2014,34,0,34,17
2014,35,1,35,18
2014,36,0,36,18
2014,37,3,37,21
2014,38,0,38,21
2014,39,1,39,22
2014,40,1,40,23
2014,41,0,41,23
2014,42,0,42,23
2014,43,1,43,24
2014,44,0,44,24
2014,45,0,45,24
2014,46,0,46,24
2014,47,0,47,24
2014,48,0,48,24
2014,49,0,49,24
2014,50,0,50,24
2014,51,0,51,24
2014,52,0,52,24
2014,53,0,53,24
2015,1,0,54,24
2015,2,0,55,24
2015,3,0,56,24
2015,4,0,57,24
2015,5,0,58,24
2015,6,0,59,24
2015,7,0,60,24
2015,8,0,61,24
2015,9,0,62,24
2015,10,0,63,24
2015,11,1,64,25
2015,12,0,65,25
2015,13,0,66,25
2015,14,0,67,25
2015,15,0,68,25
2015,16,0,69,25
2015,17,0,70,25
2015,18,1,71,26
2015,19,0,72,26
2015,20,0,73,26
2015,21,0,74,26
2015,22,1,75,27
2015,23,0,76,27
2015,24,0,77,27
2015,25,1,78,28
2015,26,0,79,28
2015,27,3,80,31
2015,28,4,81,35
2015,29,2,82,37
2015,30,1,83,38
2015,31,0,84,38
2015,32,1,85,39
2015,33,0,86,39
2015,34,0,87,39
2015,35,0,88,39
2015,36,1,89,40
2015,37,0,90,40
2015,38,0,91,40
2015,39,0,92,40
2015,40,0,93,40
2015,41,0,94,40
2015,42,0,95,40
2015,43,0,96,40
2015,44,0,97,40
2015,45,0,98,40
2015,46,0,99,40
2015,47,0,100,40
2015,48,0,101,40
2015,49,0,102,40
2015,50,0,103,40
2015,51,0,104,40
2015,52,0,105,40
2016,1,0,106,40
2016,2,0,107,40
2016,3,0,108,40
2016,4,0,109,40
2016,5,1,110,41
2016,6,0,111,41
2016,7,0,112,41
2016,8,0,113,41
2016,9,0,114,41
2016,10,0,115,41
2016,11,0,116,41
2016,12,0,117,41
2016,13,0,118,41
2016,14,0,119,41
2016,15,0,120,41
2016,16,1,121,42
2016,17,0,122,42
2016,18,0,123,42
2016,19,0,124,42
2016,20,1,125,43
2016,21,0,126,43
2016,22,0,127,43
2016,23,0,128,43
2016,24,1,129,44
2016,25,2,130,46
2016,26,1,131,47
2016,27,1,132,48
2016,28,2,133,50
2016,29,2,134,52
2016,30,1,135,53
2016,31,0,136,53
2016,32,2,137,55
2016,33,0,138,55
2016,34,0,139,55
2016,35,0,140,55
2016,36,0,141,55
2016,37,0,142,55
2016,38,0,143,55
2016,39,0,144,55
2016,40,0,145,55
2016,41,0,146,55
2016,42,0,147,55
2016,43,0,148,55
2016,44,0,149,55
2016,45,1,150,56
2016,46,1,151,57
2016,47,0,152,57
2016,48,0,153,57
2016,49,0,154,57
2016,50,0,155,57
2016,51,0,156,57
2016,52,0,157,57
2017,1,0,158,57
2017,2,0,159,57
2017,3,0,160,57
2017,4,0,161,57
2017,5,1,162,58
2017,6,0,163,58
2017,7,0,164,58
2017,8,0,165,58
2017,9,0,166,58
2017,10,0,167,58
2017,11,0,168,58
2017,12,0,169,58
2017,13,0,170,58
2017,14,0,171,58
2017,15,0,172,58
