Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,1,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,9,26,10
2014,27,0,27,10
2014,28,1,28,11
2014,29,0,29,11
2014,30,16,30,27
2014,31,0,31,27
2014,32,0,32,27
2014,33,0,33,27
2014,34,10,34,37
2014,35,0,35,37
2014,36,0,36,37
2014,37,0,37,37
2014,38,0,38,37
2014,39,0,39,37
2014,40,0,40,37
2014,41,0,41,37
2014,42,0,42,37
2014,43,0,43,37
2014,44,0,44,37
2014,45,0,45,37
2014,46,0,46,37
2014,47,16,47,53
2014,48,0,48,53
2014,49,0,49,53
2014,50,0,50,53
2014,51,0,51,53
2014,52,0,52,53
2014,53,0,53,53
2015,1,0,54,53
2015,2,0,55,53
2015,3,0,56,53
2015,4,0,57,53
2015,5,0,58,53
2015,6,0,59,53
2015,7,0,60,53
2015,8,0,61,53
2015,9,0,62,53
2015,10,0,63,53
2015,11,0,64,53
2015,12,1,65,54
2015,13,0,66,54
2015,14,1,67,55
2015,15,0,68,55
2015,16,0,69,55
2015,17,0,70,55
2015,18,0,71,55
2015,19,0,72,55
2015,20,0,73,55
2015,21,0,74,55
2015,22,0,75,55
2015,23,0,76,55
2015,24,0,77,55
2015,25,0,78,55
2015,26,0,79,55
2015,27,0,80,55
2015,28,0,81,55
2015,29,0,82,55
2015,30,0,83,55
2015,31,0,84,55
2015,32,0,85,55
2015,33,0,86,55
2015,34,0,87,55
2015,35,0,88,55
2015,36,0,89,55
2015,37,0,90,55
2015,38,0,91,55
2015,39,0,92,55
2015,40,0,93,55
2015,41,0,94,55
2015,42,0,95,55
2015,43,0,96,55
2015,44,0,97,55
2015,45,0,98,55
2015,46,0,99,55
2015,47,0,100,55
2015,48,0,101,55
2015,49,0,102,55
2015,50,0,103,55
2015,51,0,104,55
2015,52,0,105,55
2016,1,0,106,55
2016,2,0,107,55
2016,3,0,108,55
2016,4,0,109,55
2016,5,0,110,55
2016,6,0,111,55
2016,7,0,112,55
2016,8,0,113,55
2016,9,0,114,55
2016,10,0,115,55
2016,11,0,116,55
2016,12,0,117,55
2016,13,0,118,55
2016,14,0,119,55
2016,15,0,120,55
2016,16,0,121,55
2016,17,0,122,55
2016,18,0,123,55
2016,19,0,124,55
2016,20,0,125,55
2016,21,0,126,55
2016,22,0,127,55
2016,23,0,128,55
2016,24,0,129,55
2016,25,1,130,56
2016,26,0,131,56
2016,27,0,132,56
2016,28,0,133,56
2016,29,0,134,56
2016,30,0,135,56
2016,31,0,136,56
2016,32,0,137,56
2016,33,0,138,56
2016,34,0,139,56
2016,35,0,140,56
2016,36,0,141,56
2016,37,0,142,56
2016,38,0,143,56
2016,39,0,144,56
2016,40,0,145,56
2016,41,0,146,56
2016,42,0,147,56
2016,43,0,148,56
2016,44,0,149,56
2016,45,0,150,56
2016,46,0,151,56
2016,47,0,152,56
2016,48,0,153,56
2016,49,0,154,56
2016,50,0,155,56
2016,51,0,156,56
2016,52,0,157,56
2017,1,0,158,56
2017,2,0,159,56
2017,3,0,160,56
2017,4,0,161,56
2017,5,0,162,56
2017,6,0,163,56
2017,7,0,164,56
2017,8,0,165,56
2017,9,0,166,56
2017,10,0,167,56
2017,11,0,168,56
2017,12,0,169,56
2017,13,0,170,56
2017,14,0,171,56
2017,15,0,172,56
