Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,1,18,1
2014,19,1,19,2
2014,20,1,20,3
2014,21,1,21,4
2014,22,2,22,6
2014,23,1,23,7
2014,24,2,24,9
2014,25,0,25,9
2014,26,4,26,13
2014,27,1,27,14
2014,28,2,28,16
2014,29,4,29,20
2014,30,1,30,21
2014,31,1,31,22
2014,32,0,32,22
2014,33,3,33,25
2014,34,5,34,30
2014,35,1,35,31
2014,36,1,36,32
2014,37,0,37,32
2014,38,2,38,34
2014,39,2,39,36
2014,40,0,40,36
2014,41,0,41,36
2014,42,0,42,36
2014,43,0,43,36
2014,44,0,44,36
2014,45,0,45,36
2014,46,0,46,36
2014,47,0,47,36
2014,48,0,48,36
2014,49,0,49,36
2014,50,0,50,36
2014,51,0,51,36
2014,52,1,52,37
2014,53,0,53,37
2015,1,0,54,37
2015,2,0,55,37
2015,3,0,56,37
2015,4,1,57,38
2015,5,0,58,38
2015,6,0,59,38
2015,7,0,60,38
2015,8,0,61,38
2015,9,0,62,38
2015,10,0,63,38
2015,11,0,64,38
2015,12,0,65,38
2015,13,0,66,38
2015,14,0,67,38
2015,15,0,68,38
2015,16,1,69,39
2015,17,0,70,39
2015,18,1,71,40
2015,19,0,72,40
2015,20,0,73,40
2015,21,1,74,41
2015,22,2,75,43
2015,23,0,76,43
2015,24,0,77,43
2015,25,1,78,44
2015,26,5,79,49
2015,27,1,80,50
2015,28,4,81,54
2015,29,1,82,55
2015,30,2,83,57
2015,31,4,84,61
2015,32,1,85,62
2015,33,0,86,62
2015,34,0,87,62
2015,35,0,88,62
2015,36,0,89,62
2015,37,1,90,63
2015,38,0,91,63
2015,39,1,92,64
2015,40,0,93,64
2015,41,0,94,64
2015,42,0,95,64
2015,43,0,96,64
2015,44,0,97,64
2015,45,0,98,64
2015,46,0,99,64
2015,47,0,100,64
2015,48,0,101,64
2015,49,0,102,64
2015,50,1,103,65
2015,51,0,104,65
2015,52,0,105,65
2016,1,0,106,65
2016,2,0,107,65
2016,3,0,108,65
2016,4,0,109,65
2016,5,0,110,65
2016,6,0,111,65
2016,7,0,112,65
2016,8,0,113,65
2016,9,0,114,65
2016,10,0,115,65
2016,11,0,116,65
2016,12,0,117,65
2016,13,0,118,65
2016,14,1,119,66
2016,15,1,120,67
2016,16,0,121,67
2016,17,0,122,67
2016,18,0,123,67
2016,19,0,124,67
2016,20,2,125,69
2016,21,0,126,69
2016,22,2,127,71
2016,23,1,128,72
2016,24,2,129,74
2016,25,2,130,76
2016,26,2,131,78
2016,27,1,132,79
2016,28,3,133,82
2016,29,2,134,84
2016,30,1,135,85
2016,31,2,136,87
2016,32,4,137,91
2016,33,0,138,91
2016,34,0,139,91
2016,35,3,140,94
2016,36,1,141,95
2016,37,0,142,95
2016,38,0,143,95
2016,39,1,144,96
2016,40,0,145,96
2016,41,1,146,97
2016,42,0,147,97
2016,43,0,148,97
2016,44,0,149,97
2016,45,0,150,97
2016,46,0,151,97
2016,47,0,152,97
2016,48,0,153,97
2016,49,0,154,97
2016,50,0,155,97
2016,51,0,156,97
2016,52,0,157,97
2017,1,0,158,97
2017,2,0,159,97
2017,3,0,160,97
2017,4,0,161,97
2017,5,0,162,97
2017,6,0,163,97
2017,7,0,164,97
2017,8,0,165,97
2017,9,0,166,97
2017,10,0,167,97
2017,11,0,168,97
2017,12,0,169,97
2017,13,0,170,97
2017,14,0,171,97
2017,15,0,172,97
