Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,1,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,1,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,1,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,1,18,4
2014,19,6,19,10
2014,20,0,20,10
2014,21,0,21,10
2014,22,0,22,10
2014,23,1,23,11
2014,24,0,24,11
2014,25,0,25,11
2014,26,1,26,12
2014,27,1,27,13
2014,28,1,28,14
2014,29,0,29,14
2014,30,2,30,16
2014,31,0,31,16
2014,32,0,32,16
2014,33,0,33,16
2014,34,2,34,18
2014,35,4,35,22
2014,36,1,36,23
2014,37,0,37,23
2014,38,3,38,26
2014,39,3,39,29
2014,40,1,40,30
2014,41,2,41,32
2014,42,0,42,32
2014,43,2,43,34
2014,44,0,44,34
2014,45,1,45,35
2014,46,0,46,35
2014,47,1,47,36
2014,48,1,48,37
2014,49,0,49,37
2014,50,0,50,37
2014,51,1,51,38
2014,52,0,52,38
2014,53,1,53,39
2014,53,1,53,40
2015,1,0,54,40
2015,2,1,55,41
2015,3,0,56,41
2015,4,0,57,41
2015,5,5,58,46
2015,6,1,59,47
2015,7,0,60,47
2015,8,2,61,49
2015,9,5,62,54
2015,10,1,63,55
2015,11,2,64,57
2015,12,1,65,58
2015,13,5,66,63
2015,14,1,67,64
2015,15,2,68,66
2015,16,0,69,66
2015,17,1,70,67
2015,18,0,71,67
2015,19,1,72,68
2015,20,0,73,68
2015,21,2,74,70
2015,22,3,75,73
2015,23,2,76,75
2015,24,3,77,78
2015,25,4,78,82
2015,26,0,79,82
2015,27,2,80,84
2015,28,3,81,87
2015,29,3,82,90
2015,30,2,83,92
2015,31,7,84,99
2015,32,3,85,102
2015,33,6,86,108
2015,34,5,87,113
2015,35,5,88,118
2015,36,2,89,120
2015,37,3,90,123
2015,38,1,91,124
2015,39,5,92,129
2015,40,6,93,135
2015,41,4,94,139
2015,42,3,95,142
2015,43,1,96,143
2015,44,0,97,143
2015,45,0,98,143
2015,46,0,99,143
2015,47,1,100,144
2015,48,4,101,148
2015,49,1,102,149
2015,50,3,103,152
2015,51,1,104,153
2015,52,0,105,153
2016,1,2,106,155
2016,2,0,107,155
2016,3,3,108,158
2016,4,3,109,161
2016,5,7,110,168
2016,6,3,111,171
2016,7,2,112,173
2016,8,3,113,176
2016,9,3,114,179
2016,10,1,115,180
2016,11,4,116,184
2016,12,2,117,186
2016,13,0,118,186
2016,14,2,119,188
2016,15,1,120,189
2016,16,1,121,190
2016,17,0,122,190
2016,18,3,123,193
2016,19,1,124,194
2016,20,1,125,195
2016,21,1,126,196
2016,22,2,127,198
2016,23,1,128,199
2016,24,1,129,200
2016,25,3,130,203
2016,26,1,131,204
2016,27,0,132,204
2016,28,2,133,206
2016,29,1,134,207
2016,30,0,135,207
2016,31,3,136,210
2016,32,3,137,213
2016,33,2,138,215
2016,34,5,139,220
2016,35,1,140,221
2016,36,1,141,222
2016,37,1,142,223
2016,38,3,143,226
2016,39,2,144,228
2016,40,0,145,228
2016,41,0,146,228
2016,42,3,147,231
2016,43,1,148,232
2016,44,4,149,236
2016,45,1,150,237
2016,46,0,151,237
2016,47,0,152,237
2016,48,1,153,238
2016,49,1,154,239
2016,50,1,155,240
2016,51,1,156,241
2016,52,2,157,243
2017,1,1,158,244
2017,2,1,159,245
2017,3,3,160,248
2017,4,3,161,251
2017,5,1,162,252
2017,6,0,163,252
2017,7,1,164,253
2017,8,2,165,255
2017,9,1,166,256
2017,10,0,167,256
2017,11,0,168,256
2017,12,0,169,256
2017,13,2,170,258
2017,14,0,171,258
2017,15,4,172,262
