Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,1,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,1,21,2
2014,22,0,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,2,25,4
2014,26,0,26,4
2014,27,0,27,4
2014,28,0,28,4
2014,29,0,29,4
2014,30,1,30,5
2014,31,0,31,5
2014,32,0,32,5
2014,33,0,33,5
2014,34,0,34,5
2014,35,0,35,5
2014,36,0,36,5
2014,37,0,37,5
2014,38,0,38,5
2014,39,0,39,5
2014,40,0,40,5
2014,41,0,41,5
2014,42,0,42,5
2014,43,0,43,5
2014,44,0,44,5
2014,45,0,45,5
2014,46,0,46,5
2014,47,0,47,5
2014,48,0,48,5
2014,49,0,49,5
2014,50,0,50,5
2014,51,0,51,5
2014,52,0,52,5
2014,53,0,53,5
2014,53,0,53,5
2015,1,0,54,5
2015,2,0,55,5
2015,3,0,56,5
2015,4,0,57,5
2015,5,0,58,5
2015,6,0,59,5
2015,7,0,60,5
2015,8,1,61,6
2015,9,0,62,6
2015,10,0,63,6
2015,11,0,64,6
2015,12,0,65,6
2015,13,0,66,6
2015,14,0,67,6
2015,15,0,68,6
2015,16,0,69,6
2015,17,0,70,6
2015,18,1,71,7
2015,19,0,72,7
2015,20,0,73,7
2015,21,0,74,7
2015,22,0,75,7
2015,23,0,76,7
2015,24,0,77,7
2015,25,0,78,7
2015,26,0,79,7
2015,27,0,80,7
2015,28,0,81,7
2015,29,0,82,7
2015,30,0,83,7
2015,31,0,84,7
2015,32,0,85,7
2015,33,0,86,7
2015,34,0,87,7
2015,35,0,88,7
2015,36,0,89,7
2015,37,1,90,8
2015,38,1,91,9
2015,39,0,92,9
2015,40,1,93,10
2015,41,0,94,10
2015,42,0,95,10
2015,43,0,96,10
2015,44,0,97,10
2015,45,0,98,10
2015,46,0,99,10
2015,47,0,100,10
2015,48,1,101,11
2015,49,0,102,11
2015,50,0,103,11
2015,51,0,104,11
2015,52,0,105,11
2016,1,0,106,11
2016,2,0,107,11
2016,3,0,108,11
2016,4,0,109,11
2016,5,0,110,11
2016,6,0,111,11
2016,7,0,112,11
2016,8,0,113,11
2016,9,0,114,11
2016,10,0,115,11
2016,11,0,116,11
2016,12,0,117,11
2016,13,0,118,11
2016,14,0,119,11
2016,15,0,120,11
2016,16,0,121,11
2016,17,0,122,11
2016,18,0,123,11
2016,19,0,124,11
2016,20,0,125,11
2016,21,0,126,11
2016,22,0,127,11
2016,23,0,128,11
2016,24,0,129,11
2016,25,0,130,11
2016,26,0,131,11
2016,27,1,132,12
2016,28,0,133,12
2016,29,0,134,12
2016,30,0,135,12
2016,31,3,136,15
2016,32,1,137,16
2016,33,0,138,16
2016,34,0,139,16
2016,35,0,140,16
2016,36,0,141,16
2016,37,0,142,16
2016,38,0,143,16
2016,39,0,144,16
2016,40,0,145,16
2016,41,0,146,16
2016,42,0,147,16
2016,43,0,148,16
2016,44,0,149,16
2016,45,0,150,16
2016,46,0,151,16
2016,47,1,152,17
2016,48,1,153,18
2016,49,0,154,18
2016,50,2,155,20
2016,51,0,156,20
2016,52,0,157,20
2017,1,0,158,20
2017,2,1,159,21
2017,3,0,160,21
2017,4,0,161,21
2017,5,0,162,21
2017,6,0,163,21
2017,7,0,164,21
2017,8,0,165,21
2017,9,0,166,21
2017,10,0,167,21
2017,11,0,168,21
2017,12,0,169,21
2017,13,1,170,22
2017,14,0,171,22
2017,15,0,172,22
