Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,0,23,0
2014,24,0,24,0
2014,25,0,25,0
2014,26,0,26,0
2014,27,0,27,0
2014,28,0,28,0
2014,29,0,29,0
2014,30,0,30,0
2014,31,0,31,0
2014,32,0,32,0
2014,33,0,33,0
2014,34,0,34,0
2014,35,0,35,0
2014,36,0,36,0
2014,37,0,37,0
2014,38,0,38,0
2014,39,0,39,0
2014,40,0,40,0
2014,41,1,41,1
2014,42,0,42,1
2014,43,0,43,1
2014,44,0,44,1
2014,45,0,45,1
2014,46,0,46,1
2014,47,0,47,1
2014,48,0,48,1
2014,49,0,49,1
2014,50,0,50,1
2014,51,0,51,1
2014,52,0,52,1
2014,53,0,53,1
2014,53,0,53,1
2015,1,0,54,1
2015,2,1,55,2
2015,3,0,56,2
2015,4,0,57,2
2015,5,0,58,2
2015,6,1,59,3
2015,7,0,60,3
2015,8,0,61,3
2015,9,0,62,3
2015,10,0,63,3
2015,11,0,64,3
2015,12,0,65,3
2015,13,0,66,3
2015,14,1,67,4
2015,15,0,68,4
2015,16,0,69,4
2015,17,0,70,4
2015,18,0,71,4
2015,19,0,72,4
2015,20,0,73,4
2015,21,0,74,4
2015,22,0,75,4
2015,23,0,76,4
2015,24,0,77,4
2015,25,1,78,5
2015,26,0,79,5
2015,27,0,80,5
2015,28,0,81,5
2015,29,0,82,5
2015,30,0,83,5
2015,31,0,84,5
2015,32,1,85,6
2015,33,0,86,6
2015,34,1,87,7
2015,35,0,88,7
2015,36,0,89,7
2015,37,0,90,7
2015,38,1,91,8
2015,39,0,92,8
2015,40,1,93,9
2015,41,0,94,9
2015,42,0,95,9
2015,43,0,96,9
2015,44,0,97,9
2015,45,0,98,9
2015,46,0,99,9
2015,47,0,100,9
2015,48,0,101,9
2015,49,0,102,9
2015,50,0,103,9
2015,51,0,104,9
2015,52,0,105,9
2016,1,0,106,9
2016,2,0,107,9
2016,3,0,108,9
2016,4,0,109,9
2016,5,0,110,9
2016,6,0,111,9
2016,7,0,112,9
2016,8,0,113,9
2016,9,2,114,11
2016,10,0,115,11
2016,11,1,116,12
2016,12,0,117,12
2016,13,0,118,12
2016,14,0,119,12
2016,15,0,120,12
2016,16,1,121,13
2016,17,0,122,13
2016,18,0,123,13
2016,19,0,124,13
2016,20,0,125,13
2016,21,0,126,13
2016,22,0,127,13
2016,23,0,128,13
2016,24,0,129,13
2016,25,0,130,13
2016,26,0,131,13
2016,27,0,132,13
2016,28,0,133,13
2016,29,0,134,13
2016,30,0,135,13
2016,31,0,136,13
2016,32,0,137,13
2016,33,0,138,13
2016,34,0,139,13
2016,35,0,140,13
2016,36,0,141,13
2016,37,0,142,13
2016,38,0,143,13
2016,39,0,144,13
2016,40,0,145,13
2016,41,0,146,13
2016,42,0,147,13
2016,43,0,148,13
2016,44,0,149,13
2016,45,0,150,13
2016,46,0,151,13
2016,47,0,152,13
2016,48,0,153,13
2016,49,1,154,14
2016,50,2,155,16
2016,51,0,156,16
2016,52,0,157,16
2017,1,0,158,16
2017,2,0,159,16
2017,3,0,160,16
2017,4,0,161,16
2017,5,0,162,16
2017,6,0,163,16
2017,7,0,164,16
2017,8,0,165,16
2017,9,0,166,16
2017,10,0,167,16
2017,11,0,168,16
2017,12,0,169,16
2017,13,0,170,16
2017,14,0,171,16
2017,15,0,172,16
