Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,14,1,14
2014,2,21,2,35
2014,3,22,3,57
2014,4,22,4,79
2014,5,15,5,94
2014,6,14,6,108
2014,7,17,7,125
2014,8,18,8,143
2014,9,17,9,160
2014,10,13,10,173
2014,11,17,11,190
2014,12,27,12,217
2014,13,21,13,238
2014,14,24,14,262
2014,15,0,15,262
2014,16,25,16,287
2014,17,21,17,308
2014,18,24,18,332
2014,19,21,19,353
2014,20,20,20,373
2014,21,20,21,393
2014,22,24,22,417
2014,23,26,23,443
2014,24,23,24,466
2014,25,26,25,492
2014,26,20,26,512
2014,27,15,27,527
2014,28,18,28,545
2014,29,26,29,571
2014,30,29,30,600
2014,31,33,31,633
2014,32,28,32,661
2014,33,25,33,686
2014,34,36,34,722
2014,35,55,35,777
2014,36,24,36,801
2014,37,17,37,818
2014,38,16,38,834
2014,39,41,39,875
2014,40,36,40,911
2014,41,28,41,939
2014,42,23,42,962
2014,43,31,43,993
2014,44,35,44,1028
2014,45,25,45,1053
2014,46,19,46,1072
2014,47,27,47,1099
2014,48,8,48,1107
2014,49,21,49,1128
2014,50,7,50,1135
2014,51,20,51,1155
2014,52,15,52,1170
2014,53,31,53,1201
2014,53,31,53,1232
2015,1,13,54,1245
2015,2,10,55,1255
2015,3,22,56,1277
2015,4,20,57,1297
2015,5,21,58,1318
2015,6,26,59,1344
2015,7,19,60,1363
2015,8,27,61,1390
2015,9,17,62,1407
2015,10,27,63,1434
2015,11,19,64,1453
2015,12,19,65,1472
2015,13,21,66,1493
2015,14,14,67,1507
2015,15,17,68,1524
2015,16,20,69,1544
2015,17,7,70,1551
2015,18,15,71,1566
2015,19,26,72,1592
2015,20,26,73,1618
2015,21,16,74,1634
2015,22,11,75,1645
2015,23,25,76,1670
2015,24,22,77,1692
2015,25,34,78,1726
2015,26,21,79,1747
2015,27,17,80,1764
2015,28,26,81,1790
2015,29,14,82,1804
2015,30,32,83,1836
2015,31,33,84,1869
2015,32,20,85,1889
2015,33,25,86,1914
2015,34,31,87,1945
2015,35,32,88,1977
2015,36,28,89,2005
2015,37,25,90,2030
2015,38,27,91,2057
2015,39,30,92,2087
2015,40,15,93,2102
2015,41,29,94,2131
2015,42,33,95,2164
2015,43,16,96,2180
2015,44,30,97,2210
2015,45,12,98,2222
2015,46,30,99,2252
2015,47,14,100,2266
2015,48,17,101,2283
2015,49,14,102,2297
2015,50,17,103,2314
2015,51,17,104,2331
2015,52,27,105,2358
2016,1,10,106,2368
2016,2,22,107,2390
2016,3,15,108,2405
2016,4,24,109,2429
2016,5,18,110,2447
2016,6,14,111,2461
2016,7,15,112,2476
2016,8,29,113,2505
2016,9,17,114,2522
2016,10,16,115,2538
2016,11,21,116,2559
2016,12,25,117,2584
2016,13,18,118,2602
2016,14,23,119,2625
2016,15,28,120,2653
2016,16,23,121,2676
2016,17,45,122,2721
2016,18,53,123,2774
2016,19,18,124,2792
2016,20,21,125,2813
2016,21,27,126,2840
2016,22,21,127,2861
2016,23,33,128,2894
2016,24,27,129,2921
2016,25,15,130,2936
2016,26,28,131,2964
2016,27,20,132,2984
2016,28,14,133,2998
2016,29,24,134,3022
2016,30,27,135,3049
2016,31,0,136,3049
2016,32,20,137,3069
2016,33,25,138,3094
2016,34,31,139,3125
2016,35,24,140,3149
2016,36,23,141,3172
2016,37,18,142,3190
2016,38,13,143,3203
2016,39,30,144,3233
2016,40,21,145,3254
2016,41,27,146,3281
2016,42,15,147,3296
2016,43,12,148,3308
2016,44,27,149,3335
2016,45,20,150,3355
2016,46,0,151,3355
2016,47,15,152,3370
2016,48,10,153,3380
2016,49,20,154,3400
2016,50,21,155,3421
2016,51,25,156,3446
2016,52,31,157,3477
2017,1,9,158,3486
2017,2,30,159,3516
2017,3,21,160,3537
2017,4,26,161,3563
2017,5,17,162,3580
2017,6,19,163,3599
2017,7,14,164,3613
2017,8,18,165,3631
2017,9,20,166,3651
2017,10,17,167,3668
2017,11,32,168,3700
2017,12,13,169,3713
2017,13,16,170,3729
2017,14,20,171,3749
2017,15,0,172,3749
