Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,1,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,1,21,2
2014,22,0,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,0,25,2
2014,26,0,26,2
2014,27,0,27,2
2014,28,0,28,2
2014,29,0,29,2
2014,30,0,30,2
2014,31,0,31,2
2014,32,0,32,2
2014,33,1,33,3
2014,34,0,34,3
2014,35,0,35,3
2014,36,0,36,3
2014,37,0,37,3
2014,38,1,38,4
2014,39,0,39,4
2014,40,0,40,4
2014,41,0,41,4
2014,42,0,42,4
2014,43,0,43,4
2014,44,0,44,4
2014,45,0,45,4
2014,46,0,46,4
2014,47,0,47,4
2014,48,2,48,6
2014,49,0,49,6
2014,50,0,50,6
2014,51,0,51,6
2014,52,0,52,6
2014,53,0,53,6
2014,53,0,53,6
2015,1,0,54,6
2015,2,0,55,6
2015,3,0,56,6
2015,4,0,57,6
2015,5,0,58,6
2015,6,0,59,6
2015,7,0,60,6
2015,8,1,61,7
2015,9,0,62,7
2015,10,0,63,7
2015,11,0,64,7
2015,12,0,65,7
2015,13,0,66,7
2015,14,0,67,7
2015,15,0,68,7
2015,16,0,69,7
2015,17,0,70,7
2015,18,0,71,7
2015,19,0,72,7
2015,20,0,73,7
2015,21,0,74,7
2015,22,0,75,7
2015,23,0,76,7
2015,24,1,77,8
2015,25,0,78,8
2015,26,0,79,8
2015,27,0,80,8
2015,28,0,81,8
2015,29,0,82,8
2015,30,1,83,9
2015,31,0,84,9
2015,32,0,85,9
2015,33,0,86,9
2015,34,0,87,9
2015,35,0,88,9
2015,36,2,89,11
2015,37,0,90,11
2015,38,0,91,11
2015,39,0,92,11
2015,40,0,93,11
2015,41,0,94,11
2015,42,0,95,11
2015,43,0,96,11
2015,44,0,97,11
2015,45,0,98,11
2015,46,0,99,11
2015,47,0,100,11
2015,48,0,101,11
2015,49,0,102,11
2015,50,0,103,11
2015,51,0,104,11
2015,52,0,105,11
2016,1,0,106,11
2016,2,0,107,11
2016,3,0,108,11
2016,4,1,109,12
2016,5,0,110,12
2016,6,0,111,12
2016,7,1,112,13
2016,8,0,113,13
2016,9,1,114,14
2016,10,1,115,15
2016,11,0,116,15
2016,12,0,117,15
2016,13,0,118,15
2016,14,0,119,15
2016,15,0,120,15
2016,16,0,121,15
2016,17,0,122,15
2016,18,0,123,15
2016,19,0,124,15
2016,20,0,125,15
2016,21,0,126,15
2016,22,0,127,15
2016,23,0,128,15
2016,24,0,129,15
2016,25,0,130,15
2016,26,0,131,15
2016,27,0,132,15
2016,28,0,133,15
2016,29,0,134,15
2016,30,0,135,15
2016,31,0,136,15
2016,32,0,137,15
2016,33,0,138,15
2016,34,0,139,15
2016,35,0,140,15
2016,36,0,141,15
2016,37,0,142,15
2016,38,0,143,15
2016,39,0,144,15
2016,40,0,145,15
2016,41,0,146,15
2016,42,0,147,15
2016,43,0,148,15
2016,44,0,149,15
2016,45,0,150,15
2016,46,0,151,15
2016,47,0,152,15
2016,48,0,153,15
2016,49,0,154,15
2016,50,0,155,15
2016,51,0,156,15
2016,52,0,157,15
2017,1,0,158,15
2017,2,0,159,15
2017,3,1,160,16
2017,4,0,161,16
2017,5,0,162,16
2017,6,0,163,16
2017,7,0,164,16
2017,8,0,165,16
2017,9,0,166,16
2017,10,0,167,16
2017,11,0,168,16
2017,12,1,169,17
2017,13,0,170,17
2017,14,0,171,17
2017,15,0,172,17
