Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,1,2,3
2014,3,0,3,3
2014,4,0,4,3
2014,5,1,5,4
2014,6,1,6,5
2014,7,0,7,5
2014,8,2,8,7
2014,9,1,9,8
2014,10,1,10,9
2014,11,0,11,9
2014,12,1,12,10
2014,13,2,13,12
2014,14,2,14,14
2014,15,2,15,16
2014,16,0,16,16
2014,17,1,17,17
2014,18,4,18,21
2014,19,4,19,25
2014,20,2,20,27
2014,21,2,21,29
2014,22,4,22,33
2014,23,1,23,34
2014,24,5,24,39
2014,25,0,25,39
2014,26,1,26,40
2014,27,1,27,41
2014,28,2,28,43
2014,29,3,29,46
2014,30,2,30,48
2014,31,4,31,52
2014,32,2,32,54
2014,33,2,33,56
2014,34,7,34,63
2014,35,8,35,71
2014,36,5,36,76
2014,37,4,37,80
2014,38,4,38,84
2014,39,5,39,89
2014,40,6,40,95
2014,41,2,41,97
2014,42,1,42,98
2014,43,4,43,102
2014,44,3,44,105
2014,45,4,45,109
2014,46,2,46,111
2014,47,0,47,111
2014,48,3,48,114
2014,49,2,49,116
2014,50,1,50,117
2014,51,1,51,118
2014,52,1,52,119
2014,53,1,53,120
2014,53,1,53,121
2015,1,1,54,122
2015,2,1,55,123
2015,3,0,56,123
2015,4,2,57,125
2015,5,3,58,128
2015,6,3,59,131
2015,7,1,60,132
2015,8,1,61,133
2015,9,2,62,135
2015,10,1,63,136
2015,11,4,64,140
2015,12,2,65,142
2015,13,3,66,145
2015,14,0,67,145
2015,15,1,68,146
2015,16,2,69,148
2015,17,4,70,152
2015,18,2,71,154
2015,19,1,72,155
2015,20,2,73,157
2015,21,2,74,159
2015,22,7,75,166
2015,23,2,76,168
2015,24,1,77,169
2015,25,2,78,171
2015,26,2,79,173
2015,27,4,80,177
2015,28,4,81,181
2015,29,3,82,184
2015,30,4,83,188
2015,31,6,84,194
2015,32,1,85,195
2015,33,7,86,202
2015,34,2,87,204
2015,35,1,88,205
2015,36,3,89,208
2015,37,2,90,210
2015,38,5,91,215
2015,39,4,92,219
2015,40,3,93,222
2015,41,2,94,224
2015,42,2,95,226
2015,43,3,96,229
2015,44,6,97,235
2015,45,3,98,238
2015,46,5,99,243
2015,47,2,100,245
2015,48,0,101,245
2015,49,0,102,245
2015,50,2,103,247
2015,51,1,104,248
2015,52,2,105,250
2016,1,1,106,251
2016,2,4,107,255
2016,3,3,108,258
2016,4,0,109,258
2016,5,2,110,260
2016,6,4,111,264
2016,7,1,112,265
2016,8,2,113,267
2016,9,3,114,270
2016,10,1,115,271
2016,11,3,116,274
2016,12,2,117,276
2016,13,3,118,279
2016,14,4,119,283
2016,15,2,120,285
2016,16,1,121,286
2016,17,0,122,286
2016,18,1,123,287
2016,19,0,124,287
2016,20,0,125,287
2016,21,2,126,289
2016,22,0,127,289
2016,23,4,128,293
2016,24,4,129,297
2016,25,2,130,299
2016,26,6,131,305
2016,27,4,132,309
2016,28,12,133,321
2016,29,7,134,328
2016,30,8,135,336
2016,31,7,136,343
2016,32,4,137,347
2016,33,3,138,350
2016,34,4,139,354
2016,35,4,140,358
2016,36,1,141,359
2016,37,3,142,362
2016,38,3,143,365
2016,39,2,144,367
2016,40,1,145,368
2016,41,3,146,371
2016,42,2,147,373
2016,43,4,148,377
2016,44,5,149,382
2016,45,2,150,384
2016,46,3,151,387
2016,47,2,152,389
2016,48,2,153,391
2016,49,3,154,394
2016,50,3,155,397
2016,51,0,156,397
2016,52,3,157,400
2017,1,1,158,401
2017,2,2,159,403
2017,3,2,160,405
2017,4,1,161,406
2017,5,3,162,409
2017,6,1,163,410
2017,7,0,164,410
2017,8,2,165,412
2017,9,3,166,415
2017,10,1,167,416
2017,11,2,168,418
2017,12,0,169,418
2017,13,3,170,421
2017,14,2,171,423
2017,15,2,172,425
