Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,2,2,4
2014,3,2,3,6
2014,4,1,4,7
2014,5,3,5,10
2014,6,0,6,10
2014,7,0,7,10
2014,8,0,8,10
2014,9,1,9,11
2014,10,1,10,12
2014,11,0,11,12
2014,12,0,12,12
2014,13,0,13,12
2014,14,2,14,14
2014,15,4,15,18
2014,16,0,16,18
2014,17,0,17,18
2014,18,0,18,18
2014,19,1,19,19
2014,20,0,20,19
2014,21,1,21,20
2014,22,0,22,20
2014,23,1,23,21
2014,24,0,24,21
2014,25,0,25,21
2014,26,1,26,22
2014,27,2,27,24
2014,28,2,28,26
2014,29,7,29,33
2014,30,1,30,34
2014,31,2,31,36
2014,32,4,32,40
2014,33,0,33,40
2014,34,3,34,43
2014,35,3,35,46
2014,36,1,36,47
2014,37,0,37,47
2014,38,0,38,47
2014,39,1,39,48
2014,40,0,40,48
2014,41,2,41,50
2014,42,1,42,51
2014,43,1,43,52
2014,44,2,44,54
2014,45,4,45,58
2014,46,4,46,62
2014,47,0,47,62
2014,48,1,48,63
2014,49,3,49,66
2014,50,1,50,67
2014,51,0,51,67
2014,52,0,52,67
2014,53,4,53,71
2014,53,4,53,75
2015,1,1,54,76
2015,2,1,55,77
2015,3,1,56,78
2015,4,2,57,80
2015,5,2,58,82
2015,6,4,59,86
2015,7,2,60,88
2015,8,1,61,89
2015,9,0,62,89
2015,10,0,63,89
2015,11,0,64,89
2015,12,0,65,89
2015,13,0,66,89
2015,14,0,67,89
2015,15,0,68,89
2015,16,0,69,89
2015,17,0,70,89
2015,18,0,71,89
2015,19,0,72,89
2015,20,0,73,89
2015,21,0,74,89
2015,22,0,75,89
2015,23,0,76,89
2015,24,0,77,89
2015,25,0,78,89
2015,26,0,79,89
2015,27,0,80,89
2015,28,0,81,89
2015,29,0,82,89
2015,30,0,83,89
2015,31,0,84,89
2015,32,0,85,89
2015,33,0,86,89
2015,34,0,87,89
2015,35,0,88,89
2015,36,0,89,89
2015,37,0,90,89
2015,38,0,91,89
2015,39,0,92,89
2015,40,0,93,89
2015,41,0,94,89
2015,42,0,95,89
2015,43,0,96,89
2015,44,0,97,89
2015,45,0,98,89
2015,46,0,99,89
2015,47,0,100,89
2015,48,0,101,89
2015,49,0,102,89
2015,50,0,103,89
2015,51,0,104,89
2015,52,0,105,89
2016,1,0,106,89
2016,2,0,107,89
2016,3,0,108,89
2016,4,0,109,89
2016,5,0,110,89
2016,6,0,111,89
2016,7,0,112,89
2016,8,0,113,89
2016,9,0,114,89
2016,10,0,115,89
2016,11,0,116,89
2016,12,0,117,89
2016,13,0,118,89
2016,14,0,119,89
2016,15,0,120,89
2016,16,0,121,89
2016,17,0,122,89
2016,18,0,123,89
2016,19,0,124,89
2016,20,0,125,89
2016,21,0,126,89
2016,22,0,127,89
2016,23,0,128,89
2016,24,0,129,89
2016,25,0,130,89
2016,26,0,131,89
2016,27,0,132,89
2016,28,0,133,89
2016,29,0,134,89
2016,30,0,135,89
2016,31,0,136,89
2016,32,0,137,89
2016,33,0,138,89
2016,34,0,139,89
2016,35,0,140,89
2016,36,0,141,89
2016,37,0,142,89
2016,38,0,143,89
2016,39,0,144,89
2016,40,0,145,89
2016,41,0,146,89
2016,42,0,147,89
2016,43,0,148,89
2016,44,0,149,89
2016,45,0,150,89
2016,46,0,151,89
2016,47,0,152,89
2016,48,3,153,92
2016,49,0,154,92
2016,50,0,155,92
2016,51,0,156,92
2016,52,0,157,92
2017,1,0,158,92
2017,2,0,159,92
2017,3,0,160,92
2017,4,1,161,93
2017,5,0,162,93
2017,6,3,163,96
2017,7,1,164,97
2017,8,0,165,97
2017,9,2,166,99
2017,10,0,167,99
2017,11,0,168,99
2017,12,2,169,101
2017,13,4,170,105
2017,14,3,171,108
2017,15,4,172,112
