Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,0,3,2
2014,4,0,4,2
2014,5,1,5,3
2014,6,1,6,4
2014,7,1,7,5
2014,8,1,8,6
2014,9,0,9,6
2014,10,0,10,6
2014,11,1,11,7
2014,12,0,12,7
2014,13,0,13,7
2014,14,1,14,8
2014,15,0,15,8
2014,16,2,16,10
2014,17,2,17,12
2014,18,3,18,15
2014,19,4,19,19
2014,20,2,20,21
2014,21,0,21,21
2014,22,0,22,21
2014,23,1,23,22
2014,24,1,24,23
2014,25,0,25,23
2014,26,0,26,23
2014,27,3,27,26
2014,28,0,28,26
2014,29,0,29,26
2014,30,0,30,26
2014,31,0,31,26
2014,32,3,32,29
2014,33,3,33,32
2014,34,4,34,36
2014,35,3,35,39
2014,36,1,36,40
2014,37,1,37,41
2014,38,2,38,43
2014,39,0,39,43
2014,40,2,40,45
2014,41,1,41,46
2014,42,0,42,46
2014,43,1,43,47
2014,44,2,44,49
2014,45,0,45,49
2014,46,0,46,49
2014,47,1,47,50
2014,48,0,48,50
2014,49,1,49,51
2014,50,0,50,51
2014,51,0,51,51
2014,52,0,52,51
2014,53,1,53,52
2014,53,1,53,53
2015,1,0,54,53
2015,2,0,55,53
2015,3,3,56,56
2015,4,0,57,56
2015,5,0,58,56
2015,6,1,59,57
2015,7,1,60,58
2015,8,0,61,58
2015,9,1,62,59
2015,10,3,63,62
2015,11,0,64,62
2015,12,1,65,63
2015,13,1,66,64
2015,14,1,67,65
2015,15,0,68,65
2015,16,1,69,66
2015,17,0,70,66
2015,18,3,71,69
2015,19,1,72,70
2015,20,0,73,70
2015,21,3,74,73
2015,22,0,75,73
2015,23,1,76,74
2015,24,0,77,74
2015,25,0,78,74
2015,26,0,79,74
2015,27,1,80,75
2015,28,1,81,76
2015,29,1,82,77
2015,30,1,83,78
2015,31,2,84,80
2015,32,1,85,81
2015,33,2,86,83
2015,34,1,87,84
2015,35,1,88,85
2015,36,2,89,87
2015,37,4,90,91
2015,38,4,91,95
2015,39,2,92,97
2015,40,0,93,97
2015,41,0,94,97
2015,42,0,95,97
2015,43,2,96,99
2015,44,2,97,101
2015,45,1,98,102
2015,46,0,99,102
2015,47,0,100,102
2015,48,2,101,104
2015,49,2,102,106
2015,50,0,103,106
2015,51,0,104,106
2015,52,1,105,107
2016,1,0,106,107
2016,2,0,107,107
2016,3,1,108,108
2016,4,0,109,108
2016,5,3,110,111
2016,6,0,111,111
2016,7,3,112,114
2016,8,1,113,115
2016,9,1,114,116
2016,10,0,115,116
2016,11,2,116,118
2016,12,2,117,120
2016,13,0,118,120
2016,14,1,119,121
2016,15,1,120,122
2016,16,0,121,122
2016,17,0,122,122
2016,18,0,123,122
2016,19,0,124,122
2016,20,0,125,122
2016,21,1,126,123
2016,22,0,127,123
2016,23,0,128,123
2016,24,2,129,125
2016,25,0,130,125
2016,26,0,131,125
2016,27,0,132,125
2016,28,2,133,127
2016,29,0,134,127
2016,30,0,135,127
2016,31,0,136,127
2016,32,0,137,127
2016,33,1,138,128
2016,34,5,139,133
2016,35,2,140,135
2016,36,1,141,136
2016,37,1,142,137
2016,38,1,143,138
2016,39,5,144,143
2016,40,0,145,143
2016,41,2,146,145
2016,42,1,147,146
2016,43,2,148,148
2016,44,1,149,149
2016,45,0,150,149
2016,46,2,151,151
2016,47,2,152,153
2016,48,1,153,154
2016,49,2,154,156
2016,50,0,155,156
2016,51,0,156,156
2016,52,0,157,156
2017,1,0,158,156
2017,2,0,159,156
2017,3,1,160,157
2017,4,0,161,157
2017,5,0,162,157
2017,6,0,163,157
2017,7,0,164,157
2017,8,2,165,159
2017,9,1,166,160
2017,10,0,167,160
2017,11,0,168,160
2017,12,0,169,160
2017,13,0,170,160
2017,14,2,171,162
2017,15,1,172,163
