Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,1,2,3
2014,3,2,3,5
2014,4,3,4,8
2014,5,1,5,9
2014,6,8,6,17
2014,7,0,7,17
2014,8,0,8,17
2014,9,0,9,17
2014,10,0,10,17
2014,11,0,11,17
2014,12,0,12,17
2014,13,0,13,17
2014,14,0,14,17
2014,15,0,15,17
2014,16,0,16,17
2014,17,0,17,17
2014,18,0,18,17
2014,19,0,19,17
2014,20,0,20,17
2014,21,0,21,17
2014,22,0,22,17
2014,23,0,23,17
2014,24,0,24,17
2014,25,0,25,17
2014,26,0,26,17
2014,27,0,27,17
2014,28,0,28,17
2014,29,0,29,17
2014,30,0,30,17
2014,31,0,31,17
2014,32,9,32,26
2014,33,3,33,29
2014,34,0,34,29
2014,35,0,35,29
2014,36,0,36,29
2014,37,0,37,29
2014,38,0,38,29
2014,39,0,39,29
2014,40,0,40,29
2014,41,0,41,29
2014,42,1,42,30
2014,43,2,43,32
2014,44,2,44,34
2014,45,4,45,38
2014,46,0,46,38
2014,47,6,47,44
2014,48,3,48,47
2014,49,1,49,48
2014,50,4,50,52
2014,51,2,51,54
2014,52,2,52,56
2014,53,1,53,57
2014,53,1,53,58
2015,1,2,54,60
2015,2,3,55,63
2015,3,0,56,63
2015,4,2,57,65
2015,5,5,58,70
2015,6,5,59,75
2015,7,3,60,78
2015,8,3,61,81
2015,9,3,62,84
2015,10,7,63,91
2015,11,0,64,91
2015,12,0,65,91
2015,13,1,66,92
2015,14,1,67,93
2015,15,4,68,97
2015,16,4,69,101
2015,17,3,70,104
2015,18,4,71,108
2015,19,3,72,111
2015,20,1,73,112
2015,21,2,74,114
2015,22,1,75,115
2015,23,0,76,115
2015,24,0,77,115
2015,25,1,78,116
2015,26,1,79,117
2015,27,3,80,120
2015,28,2,81,122
2015,29,5,82,127
2015,30,2,83,129
2015,31,0,84,129
2015,32,4,85,133
2015,33,4,86,137
2015,34,1,87,138
2015,35,2,88,140
2015,36,1,89,141
2015,37,4,90,145
2015,38,1,91,146
2015,39,1,92,147
2015,40,0,93,147
2015,41,0,94,147
2015,42,0,95,147
2015,43,0,96,147
2015,44,0,97,147
2015,45,0,98,147
2015,46,0,99,147
2015,47,0,100,147
2015,48,0,101,147
2015,49,0,102,147
2015,50,0,103,147
2015,51,0,104,147
2015,52,2,105,149
2016,1,4,106,153
2016,2,1,107,154
2016,3,3,108,157
2016,4,0,109,157
2016,5,1,110,158
2016,6,2,111,160
2016,7,5,112,165
2016,8,1,113,166
2016,9,3,114,169
2016,10,2,115,171
2016,11,0,116,171
2016,12,5,117,176
2016,13,2,118,178
2016,14,2,119,180
2016,15,1,120,181
2016,16,4,121,185
2016,17,2,122,187
2016,18,0,123,187
2016,19,1,124,188
2016,20,4,125,192
2016,21,1,126,193
2016,22,1,127,194
2016,23,0,128,194
2016,24,3,129,197
2016,25,3,130,200
2016,26,0,131,200
2016,27,3,132,203
2016,28,0,133,203
2016,29,6,134,209
2016,30,6,135,215
2016,31,5,136,220
2016,32,1,137,221
2016,33,2,138,223
2016,34,2,139,225
2016,35,2,140,227
2016,36,1,141,228
2016,37,3,142,231
2016,38,3,143,234
2016,39,0,144,234
2016,40,1,145,235
2016,41,0,146,235
2016,42,0,147,235
2016,43,1,148,236
2016,44,0,149,236
2016,45,0,150,236
2016,46,3,151,239
2016,47,1,152,240
2016,48,4,153,244
2016,49,3,154,247
2016,50,0,155,247
2016,51,2,156,249
2016,52,3,157,252
2017,1,1,158,253
2017,2,3,159,256
2017,3,1,160,257
2017,4,3,161,260
2017,5,4,162,264
2017,6,2,163,266
2017,7,0,164,266
2017,8,2,165,268
2017,9,2,166,270
2017,10,2,167,272
2017,11,1,168,273
2017,12,3,169,276
2017,13,0,170,276
2017,14,1,171,277
2017,15,4,172,281
