Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,2,11,2
2014,12,1,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,1,20,4
2014,21,1,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,2,24,7
2014,25,0,25,7
2014,26,0,26,7
2014,27,0,27,7
2014,28,0,28,7
2014,29,0,29,7
2014,30,0,30,7
2014,31,2,31,9
2014,32,1,32,10
2014,33,0,33,10
2014,34,0,34,10
2014,35,0,35,10
2014,36,0,36,10
2014,37,0,37,10
2014,38,0,38,10
2014,39,1,39,11
2014,40,1,40,12
2014,41,0,41,12
2014,42,0,42,12
2014,43,0,43,12
2014,44,0,44,12
2014,45,0,45,12
2014,46,0,46,12
2014,47,0,47,12
2014,48,0,48,12
2014,49,0,49,12
2014,50,0,50,12
2014,51,0,51,12
2014,52,0,52,12
2014,53,0,53,12
2014,53,0,53,12
2015,1,0,54,12
2015,2,0,55,12
2015,3,0,56,12
2015,4,0,57,12
2015,5,1,58,13
2015,6,1,59,14
2015,7,0,60,14
2015,8,1,61,15
2015,9,0,62,15
2015,10,0,63,15
2015,11,0,64,15
2015,12,0,65,15
2015,13,0,66,15
2015,14,0,67,15
2015,15,0,68,15
2015,16,0,69,15
2015,17,0,70,15
2015,18,0,71,15
2015,19,0,72,15
2015,20,0,73,15
2015,21,0,74,15
2015,22,0,75,15
2015,23,0,76,15
2015,24,0,77,15
2015,25,0,78,15
2015,26,0,79,15
2015,27,1,80,16
2015,28,0,81,16
2015,29,0,82,16
2015,30,0,83,16
2015,31,0,84,16
2015,32,0,85,16
2015,33,0,86,16
2015,34,0,87,16
2015,35,0,88,16
2015,36,0,89,16
2015,37,0,90,16
2015,38,0,91,16
2015,39,0,92,16
2015,40,0,93,16
2015,41,0,94,16
2015,42,0,95,16
2015,43,0,96,16
2015,44,0,97,16
2015,45,0,98,16
2015,46,0,99,16
2015,47,0,100,16
2015,48,0,101,16
2015,49,0,102,16
2015,50,0,103,16
2015,51,0,104,16
2015,52,0,105,16
2016,1,0,106,16
2016,2,0,107,16
2016,3,0,108,16
2016,4,0,109,16
2016,5,0,110,16
2016,6,0,111,16
2016,7,0,112,16
2016,8,0,113,16
2016,9,0,114,16
2016,10,0,115,16
2016,11,0,116,16
2016,12,0,117,16
2016,13,0,118,16
2016,14,0,119,16
2016,15,0,120,16
2016,16,0,121,16
2016,17,0,122,16
2016,18,0,123,16
2016,19,0,124,16
2016,20,0,125,16
2016,21,0,126,16
2016,22,0,127,16
2016,23,0,128,16
2016,24,0,129,16
2016,25,0,130,16
2016,26,0,131,16
2016,27,0,132,16
2016,28,0,133,16
2016,29,0,134,16
2016,30,0,135,16
2016,31,0,136,16
2016,32,0,137,16
2016,33,0,138,16
2016,34,0,139,16
2016,35,0,140,16
2016,36,0,141,16
2016,37,0,142,16
2016,38,0,143,16
2016,39,0,144,16
2016,40,0,145,16
2016,41,0,146,16
2016,42,1,147,17
2016,43,0,148,17
2016,44,0,149,17
2016,45,1,150,18
2016,46,0,151,18
2016,47,0,152,18
2016,48,0,153,18
2016,49,0,154,18
2016,50,0,155,18
2016,51,0,156,18
2016,52,0,157,18
2017,1,0,158,18
2017,2,0,159,18
2017,3,0,160,18
2017,4,0,161,18
2017,5,0,162,18
2017,6,1,163,19
2017,7,0,164,19
2017,8,0,165,19
2017,9,0,166,19
2017,10,0,167,19
2017,11,0,168,19
2017,12,0,169,19
2017,13,0,170,19
2017,14,0,171,19
2017,15,0,172,19
