Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,100,2,100
2014,3,0,3,100
2014,4,0,4,100
2014,5,0,5,100
2014,6,0,6,100
2014,7,0,7,100
2014,8,0,8,100
2014,9,0,9,100
2014,10,126,10,226
2014,11,0,11,226
2014,12,0,12,226
2014,13,0,13,226
2014,14,87,14,313
2014,15,0,15,313
2014,16,149,16,462
2014,17,0,17,462
2014,18,167,18,629
2014,19,0,19,629
2014,20,0,20,629
2014,21,0,21,629
2014,22,144,22,773
2014,23,0,23,773
2014,24,0,24,773
2014,25,0,25,773
2014,26,0,26,773
2014,27,0,27,773
2014,28,0,28,773
2014,29,0,29,773
2014,30,0,30,773
2014,31,133,31,906
2014,32,0,32,906
2014,33,0,33,906
2014,34,0,34,906
2014,35,0,35,906
2014,36,157,36,1063
2014,37,177,37,1240
2014,38,0,38,1240
2014,39,0,39,1240
2014,40,0,40,1240
2014,41,0,41,1240
2014,42,106,42,1346
2014,43,0,43,1346
2014,44,157,44,1503
2014,45,0,45,1503
2014,46,0,46,1503
2014,47,0,47,1503
2014,48,0,48,1503
2014,49,0,49,1503
2014,50,0,50,1503
2014,51,0,51,1503
2014,52,0,52,1503
2014,53,159,53,1662
2014,53,159,53,1821
2015,1,0,54,1821
2015,2,0,55,1821
2015,3,119,56,1940
2015,4,0,57,1940
2015,5,149,58,2089
2015,6,0,59,2089
2015,7,0,60,2089
2015,8,137,61,2226
2015,9,0,62,2226
2015,10,0,63,2226
2015,11,0,64,2226
2015,12,168,65,2394
2015,13,0,66,2394
2015,14,0,67,2394
2015,15,194,68,2588
2015,16,0,69,2588
2015,17,0,70,2588
2015,18,82,71,2670
2015,19,0,72,2670
2015,20,0,73,2670
2015,21,0,74,2670
2015,22,0,75,2670
2015,23,0,76,2670
2015,24,0,77,2670
2015,25,0,78,2670
2015,26,139,79,2809
2015,27,0,80,2809
2015,28,167,81,2976
2015,29,0,82,2976
2015,30,0,83,2976
2015,31,0,84,2976
2015,32,0,85,2976
2015,33,111,86,3087
2015,34,0,87,3087
2015,35,0,88,3087
2015,36,0,89,3087
2015,37,0,90,3087
2015,38,0,91,3087
2015,39,0,92,3087
2015,40,0,93,3087
2015,41,0,94,3087
2015,42,0,95,3087
2015,43,0,96,3087
2015,44,0,97,3087
2015,45,0,98,3087
2015,46,0,99,3087
2015,47,0,100,3087
2015,48,0,101,3087
2015,49,0,102,3087
2015,50,0,103,3087
2015,51,0,104,3087
2015,52,0,105,3087
2016,1,0,106,3087
2016,2,0,107,3087
2016,3,123,108,3210
2016,4,0,109,3210
2016,5,0,110,3210
2016,6,0,111,3210
2016,7,0,112,3210
2016,8,147,113,3357
2016,9,133,114,3490
2016,10,137,115,3627
2016,11,0,116,3627
2016,12,0,117,3627
2016,13,0,118,3627
2016,14,0,119,3627
2016,15,0,120,3627
2016,16,0,121,3627
2016,17,0,122,3627
2016,18,0,123,3627
2016,19,0,124,3627
2016,20,0,125,3627
2016,21,0,126,3627
2016,22,115,127,3742
2016,23,0,128,3742
2016,24,0,129,3742
2016,25,0,130,3742
2016,26,0,131,3742
2016,27,0,132,3742
2016,28,0,133,3742
2016,29,0,134,3742
2016,30,0,135,3742
2016,31,0,136,3742
2016,32,0,137,3742
2016,33,236,138,3978
2016,34,0,139,3978
2016,35,0,140,3978
2016,36,0,141,3978
2016,37,0,142,3978
2016,38,0,143,3978
2016,39,0,144,3978
2016,40,0,145,3978
2016,41,0,146,3978
2016,42,0,147,3978
2016,43,0,148,3978
2016,44,0,149,3978
2016,45,0,150,3978
2016,46,0,151,3978
2016,47,0,152,3978
2016,48,0,153,3978
2016,49,0,154,3978
2016,50,0,155,3978
2016,51,0,156,3978
2016,52,0,157,3978
2017,1,0,158,3978
2017,2,182,159,4160
2017,3,0,160,4160
2017,4,0,161,4160
2017,5,136,162,4296
2017,6,0,163,4296
2017,7,0,164,4296
2017,8,0,165,4296
2017,9,0,166,4296
2017,10,0,167,4296
2017,11,158,168,4454
2017,12,182,169,4636
2017,13,96,170,4732
2017,14,0,171,4732
2017,15,0,172,4732
