Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,2,0,2,0
2014,3,1,3,1
2014,4,1,4,2
2014,5,1,5,3
2014,6,0,6,3
2014,7,3,7,6
2014,8,0,8,6
2014,9,0,9,6
2014,10,0,10,6
2014,11,1,11,7
2014,12,32,12,39
2014,13,36,13,75
2014,14,0,14,75
2014,15,0,15,75
2014,16,4,16,79
2014,17,0,17,79
2014,18,23,18,102
2014,19,31,19,133
2014,20,23,20,156
2014,21,34,21,190
2014,22,21,22,211
2014,23,4,23,215
2014,24,0,24,215
2014,25,6,25,221
2014,26,36,26,257
2014,27,1,27,258
2014,28,1,28,259
2014,29,0,29,259
2014,30,83,30,342
2014,31,0,31,342
2014,32,0,32,342
2014,33,72,33,414
2014,34,26,34,440
2014,35,2,35,442
2014,36,0,36,442
2014,37,17,37,459
2014,38,0,38,459
2014,39,31,39,490
2014,40,11,40,501
2014,41,17,41,518
2014,42,22,42,540
2014,43,17,43,557
2014,44,0,44,557
2014,45,0,45,557
2014,46,0,46,557
2014,47,31,47,588
2014,48,25,48,613
2014,49,6,49,619
2014,50,34,50,653
2014,51,39,51,692
2014,52,0,52,692
2014,53,0,53,692
2014,53,0,53,692
2015,1,0,54,692
2015,2,0,55,692
2015,3,0,56,692
2015,4,0,57,692
2015,5,0,58,692
2015,6,0,59,692
2015,7,0,60,692
2015,8,0,61,692
2015,9,6,62,698
2015,10,31,63,729
2015,11,29,64,758
2015,12,34,65,792
2015,13,19,66,811
2015,14,43,67,854
2015,15,21,68,875
2015,16,37,69,912
2015,17,36,70,948
2015,18,19,71,967
2015,19,36,72,1003
2015,20,15,73,1018
2015,21,41,74,1059
2015,22,25,75,1084
2015,23,0,76,1084
2015,24,32,77,1116
2015,25,24,78,1140
2015,26,13,79,1153
2015,27,17,80,1170
2015,28,23,81,1193
2015,29,24,82,1217
2015,30,16,83,1233
2015,31,32,84,1265
2015,32,40,85,1305
2015,33,12,86,1317
2015,34,0,87,1317
2015,35,0,88,1317
2015,36,29,89,1346
2015,37,17,90,1363
2015,38,24,91,1387
2015,39,44,92,1431
2015,40,27,93,1458
2015,41,19,94,1477
2015,42,16,95,1493
2015,43,25,96,1518
2015,44,17,97,1535
2015,45,17,98,1552
2015,46,27,99,1579
2015,47,10,100,1589
2015,48,37,101,1626
2015,49,52,102,1678
2015,50,44,103,1722
2015,51,0,104,1722
2015,52,4,105,1726
2016,1,0,106,1726
2016,2,0,107,1726
2016,3,9,108,1735
2016,4,4,109,1739
2016,5,20,110,1759
2016,6,27,111,1786
2016,7,32,112,1818
2016,8,3,113,1821
2016,9,12,114,1833
2016,10,6,115,1839
2016,11,14,116,1853
2016,12,15,117,1868
2016,13,43,118,1911
2016,14,24,119,1935
2016,15,39,120,1974
2016,16,37,121,2011
2016,17,11,122,2022
2016,18,18,123,2040
2016,19,17,124,2057
2016,20,17,125,2074
2016,21,12,126,2086
2016,22,12,127,2098
2016,23,27,128,2125
2016,24,7,129,2132
2016,25,19,130,2151
2016,26,30,131,2181
2016,27,23,132,2204
2016,28,51,133,2255
2016,29,25,134,2280
2016,30,19,135,2299
2016,31,24,136,2323
2016,32,41,137,2364
2016,33,30,138,2394
2016,34,7,139,2401
2016,35,7,140,2408
2016,36,19,141,2427
2016,37,36,142,2463
2016,38,29,143,2492
2016,39,13,144,2505
2016,40,6,145,2511
2016,41,1,146,2512
2016,42,11,147,2523
2016,43,0,148,2523
2016,44,0,149,2523
2016,45,2,150,2525
2016,46,1,151,2526
2016,47,0,152,2526
2016,48,3,153,2529
2016,49,0,154,2529
2016,50,2,155,2531
2016,51,0,156,2531
2016,52,0,157,2531
2017,1,0,158,2531
2017,2,0,159,2531
2017,3,0,160,2531
2017,4,2,161,2533
2017,5,0,162,2533
2017,6,4,163,2537
2017,7,0,164,2537
2017,8,4,165,2541
2017,9,3,166,2544
2017,10,2,167,2546
2017,11,1,168,2547
2017,12,2,169,2549
2017,13,0,170,2549
2017,14,1,171,2550
2017,15,9,172,2559
