Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,83,1,83
2014,2,268,2,351
2014,3,274,3,625
2014,4,112,4,737
2014,5,111,5,848
2014,6,282,6,1130
2014,7,194,7,1324
2014,8,62,8,1386
2014,9,357,9,1743
2014,10,238,10,1981
2014,11,191,11,2172
2014,12,279,12,2451
2014,13,188,13,2639
2014,14,218,14,2857
2014,15,230,15,3087
2014,16,261,16,3348
2014,17,254,17,3602
2014,18,269,18,3871
2014,19,215,19,4086
2014,20,300,20,4386
2014,21,227,21,4613
2014,22,222,22,4835
2014,23,273,23,5108
2014,24,275,24,5383
2014,25,117,25,5500
2014,26,56,26,5556
2014,27,60,27,5616
2014,28,152,28,5768
2014,29,313,29,6081
2014,30,307,30,6388
2014,31,0,31,6388
2014,32,302,32,6690
2014,33,271,33,6961
2014,34,287,34,7248
2014,35,281,35,7529
2014,36,183,36,7712
2014,37,341,37,8053
2014,38,251,38,8304
2014,39,260,39,8564
2014,40,236,40,8800
2014,41,175,41,8975
2014,42,169,42,9144
2014,43,138,43,9282
2014,44,147,44,9429
2014,45,155,45,9584
2014,46,90,46,9674
2014,47,115,47,9789
2014,48,88,48,9877
2014,49,141,49,10018
2014,50,134,50,10152
2014,51,121,51,10273
2014,52,73,52,10346
2014,53,60,53,10406
2014,53,60,53,10466
2015,1,92,54,10558
2015,2,120,55,10678
2015,3,121,56,10799
2015,4,124,57,10923
2015,5,128,58,11051
2015,6,101,59,11152
2015,7,0,60,11152
2015,8,91,61,11243
2015,9,0,62,11243
2015,10,118,63,11361
2015,11,134,64,11495
2015,12,119,65,11614
2015,13,84,66,11698
2015,14,115,67,11813
2015,15,116,68,11929
2015,16,110,69,12039
2015,17,124,70,12163
2015,18,169,71,12332
2015,19,140,72,12472
2015,20,163,73,12635
2015,21,133,74,12768
2015,22,166,75,12934
2015,23,182,76,13116
2015,24,180,77,13296
2015,25,101,78,13397
2015,26,129,79,13526
2015,27,189,80,13715
2015,28,166,81,13881
2015,29,179,82,14060
2015,30,150,83,14210
2015,31,207,84,14417
2015,32,142,85,14559
2015,33,159,86,14718
2015,34,158,87,14876
2015,35,185,88,15061
2015,36,101,89,15162
2015,37,197,90,15359
2015,38,138,91,15497
2015,39,209,92,15706
2015,40,172,93,15878
2015,41,114,94,15992
2015,42,152,95,16144
2015,43,196,96,16340
2015,44,141,97,16481
2015,45,144,98,16625
2015,46,145,99,16770
2015,47,75,100,16845
2015,48,165,101,17010
2015,49,125,102,17135
2015,50,0,103,17135
2015,51,98,104,17233
2015,52,143,105,17376
2016,1,0,106,17376
2016,2,0,107,17376
2016,3,101,108,17477
2016,4,138,109,17615
2016,5,120,110,17735
2016,6,121,111,17856
2016,7,107,112,17963
2016,8,106,113,18069
2016,9,125,114,18194
2016,10,121,115,18315
2016,11,92,116,18407
2016,12,74,117,18481
2016,13,79,118,18560
2016,14,99,119,18659
2016,15,122,120,18781
2016,16,0,121,18781
2016,17,121,122,18902
2016,18,93,123,18995
2016,19,110,124,19105
2016,20,112,125,19217
2016,21,158,126,19375
2016,22,59,127,19434
2016,23,99,128,19533
2016,24,99,129,19632
2016,25,116,130,19748
2016,26,111,131,19859
2016,27,96,132,19955
2016,28,98,133,20053
2016,29,140,134,20193
2016,30,118,135,20311
2016,31,115,136,20426
2016,32,117,137,20543
2016,33,152,138,20695
2016,34,117,139,20812
2016,35,127,140,20939
2016,36,83,141,21022
2016,37,145,142,21167
2016,38,118,143,21285
2016,39,103,144,21388
2016,40,138,145,21526
2016,41,110,146,21636
2016,42,127,147,21763
2016,43,136,148,21899
2016,44,153,149,22052
2016,45,123,150,22175
2016,46,129,151,22304
2016,47,80,152,22384
2016,48,133,153,22517
2016,49,138,154,22655
2016,50,133,155,22788
2016,51,0,156,22788
2016,52,0,157,22788
2017,1,0,158,22788
2017,2,0,159,22788
2017,3,0,160,22788
2017,4,0,161,22788
2017,5,0,162,22788
2017,6,0,163,22788
2017,7,0,164,22788
2017,8,0,165,22788
2017,9,0,166,22788
2017,10,0,167,22788
2017,11,0,168,22788
2017,12,0,169,22788
2017,13,133,170,22921
2017,14,149,171,23070
2017,15,171,172,23241
