Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,13,1,13
2014,2,30,2,43
2014,3,32,3,75
2014,4,0,4,75
2014,5,3,5,78
2014,6,19,6,97
2014,7,0,7,97
2014,8,21,8,118
2014,9,0,9,118
2014,10,0,10,118
2014,11,1,11,119
2014,12,15,12,134
2014,13,13,13,147
2014,14,0,14,147
2014,15,12,15,159
2014,16,11,16,170
2014,17,0,17,170
2014,18,0,18,170
2014,19,3,19,173
2014,20,17,20,190
2014,21,20,21,210
2014,22,18,22,228
2014,23,16,23,244
2014,24,32,24,276
2014,25,34,25,310
2014,26,0,26,310
2014,27,0,27,310
2014,28,0,28,310
2014,29,0,29,310
2014,30,0,30,310
2014,31,0,31,310
2014,32,0,32,310
2014,33,0,33,310
2014,34,0,34,310
2014,35,21,35,331
2014,36,0,36,331
2014,37,0,37,331
2014,38,0,38,331
2014,39,4,39,335
2014,40,0,40,335
2014,41,15,41,350
2014,42,16,42,366
2014,43,1,43,367
2014,44,6,44,373
2014,45,5,45,378
2014,46,0,46,378
2014,47,6,47,384
2014,48,1,48,385
2014,49,0,49,385
2014,50,0,50,385
2014,51,0,51,385
2014,52,0,52,385
2014,53,0,53,385
2014,53,0,53,385
2015,1,0,54,385
2015,2,0,55,385
2015,3,3,56,388
2015,4,4,57,392
2015,5,0,58,392
2015,6,1,59,393
2015,7,2,60,395
2015,8,0,61,395
2015,9,21,62,416
2015,10,21,63,437
2015,11,21,64,458
2015,12,0,65,458
2015,13,1,66,459
2015,14,1,67,460
2015,15,32,68,492
2015,16,0,69,492
2015,17,0,70,492
2015,18,67,71,559
2015,19,0,72,559
2015,20,24,73,583
2015,21,1,74,584
2015,22,33,75,617
2015,23,24,76,641
2015,24,925,77,1566
2015,25,68,78,1634
2015,26,0,79,1634
2015,27,649,80,2283
2015,28,241,81,2524
2015,29,193,82,2717
2015,30,183,83,2900
2015,31,0,84,2900
2015,32,4,85,2904
2015,33,165,86,3069
2015,34,208,87,3277
2015,35,122,88,3399
2015,36,0,89,3399
2015,37,167,90,3566
2015,38,158,91,3724
2015,39,190,92,3914
2015,40,0,93,3914
2015,41,192,94,4106
2015,42,33,95,4139
2015,43,157,96,4296
2015,44,0,97,4296
2015,45,180,98,4476
2015,46,271,99,4747
2015,47,148,100,4895
2015,48,208,101,5103
2015,49,165,102,5268
2015,50,0,103,5268
2015,51,58,104,5326
2015,52,105,105,5431
2016,1,272,106,5703
2016,2,245,107,5948
2016,3,261,108,6209
2016,4,247,109,6456
2016,5,192,110,6648
2016,6,144,111,6792
2016,7,0,112,6792
2016,8,0,113,6792
2016,9,165,114,6957
2016,10,235,115,7192
2016,11,186,116,7378
2016,12,233,117,7611
2016,13,209,118,7820
2016,14,189,119,8009
2016,15,0,120,8009
2016,16,44,121,8053
2016,17,0,122,8053
2016,18,700,123,8753
2016,19,2,124,8755
2016,20,199,125,8954
2016,21,0,126,8954
2016,22,0,127,8954
2016,23,179,128,9133
2016,24,0,129,9133
2016,25,236,130,9369
2016,26,188,131,9557
2016,27,135,132,9692
2016,28,296,133,9988
2016,29,257,134,10245
2016,30,0,135,10245
2016,31,268,136,10513
2016,32,175,137,10688
2016,33,33,138,10721
2016,34,232,139,10953
2016,35,328,140,11281
2016,36,175,141,11456
2016,37,267,142,11723
2016,38,209,143,11932
2016,39,182,144,12114
2016,40,226,145,12340
2016,41,332,146,12672
2016,42,218,147,12890
2016,43,220,148,13110
2016,44,257,149,13367
2016,45,184,150,13551
2016,46,0,151,13551
2016,47,268,152,13819
2016,48,290,153,14109
2016,49,249,154,14358
2016,50,281,155,14639
2016,51,0,156,14639
2016,52,125,157,14764
2017,1,0,158,14764
2017,2,0,159,14764
2017,3,273,160,15037
2017,4,339,161,15376
2017,5,213,162,15589
2017,6,245,163,15834
2017,7,2148,164,17982
2017,8,20,165,18002
2017,9,522,166,18524
2017,10,263,167,18787
2017,11,199,168,18986
2017,12,208,169,19194
2017,13,224,170,19418
2017,14,256,171,19674
2017,15,189,172,19863
