Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,1,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,2,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,4,13,7
2014,14,0,14,7
2014,15,0,15,7
2014,16,0,16,7
2014,17,0,17,7
2014,18,12,18,19
2014,19,2,19,21
2014,20,13,20,34
2014,21,0,21,34
2014,22,0,22,34
2014,23,0,23,34
2014,24,0,24,34
2014,25,0,25,34
2014,26,0,26,34
2014,27,0,27,34
2014,28,0,28,34
2014,29,0,29,34
2014,30,6,30,40
2014,31,0,31,40
2014,32,6,32,46
2014,33,7,33,53
2014,34,0,34,53
2014,35,0,35,53
2014,36,3,36,56
2014,37,0,37,56
2014,38,3,38,59
2014,39,1,39,60
2014,40,3,40,63
2014,41,0,41,63
2014,42,0,42,63
2014,43,0,43,63
2014,44,1,44,64
2014,45,7,45,71
2014,46,3,46,74
2014,47,0,47,74
2014,48,0,48,74
2014,49,0,49,74
2014,50,0,50,74
2014,51,0,51,74
2014,52,0,52,74
2014,53,2,53,76
2014,53,2,53,78
2015,1,0,54,78
2015,2,0,55,78
2015,3,0,56,78
2015,4,0,57,78
2015,5,0,58,78
2015,6,0,59,78
2015,7,0,60,78
2015,8,0,61,78
2015,9,2,62,80
2015,10,0,63,80
2015,11,10,64,90
2015,12,0,65,90
2015,13,0,66,90
2015,14,11,67,101
2015,15,1,68,102
2015,16,6,69,108
2015,17,5,70,113
2015,18,12,71,125
2015,19,0,72,125
2015,20,1,73,126
2015,21,4,74,130
2015,22,2,75,132
2015,23,0,76,132
2015,24,0,77,132
2015,25,0,78,132
2015,26,1,79,133
2015,27,5,80,138
2015,28,3,81,141
2015,29,3,82,144
2015,30,1,83,145
2015,31,3,84,148
2015,32,5,85,153
2015,33,0,86,153
2015,34,5,87,158
2015,35,0,88,158
2015,36,0,89,158
2015,37,1,90,159
2015,38,0,91,159
2015,39,3,92,162
2015,40,6,93,168
2015,41,2,94,170
2015,42,7,95,177
2015,43,0,96,177
2015,44,9,97,186
2015,45,1,98,187
2015,46,4,99,191
2015,47,1,100,192
2015,48,0,101,192
2015,49,2,102,194
2015,50,9,103,203
2015,51,4,104,207
2015,52,0,105,207
2016,1,0,106,207
2016,2,0,107,207
2016,3,0,108,207
2016,4,0,109,207
2016,5,3,110,210
2016,6,3,111,213
2016,7,8,112,221
2016,8,5,113,226
2016,9,6,114,232
2016,10,14,115,246
2016,11,11,116,257
2016,12,22,117,279
2016,13,1,118,280
2016,14,0,119,280
2016,15,2,120,282
2016,16,6,121,288
2016,17,4,122,292
2016,18,21,123,313
2016,19,17,124,330
2016,20,1,125,331
2016,21,2,126,333
2016,22,7,127,340
2016,23,0,128,340
2016,24,5,129,345
2016,25,9,130,354
2016,26,15,131,369
2016,27,1,132,370
2016,28,0,133,370
2016,29,0,134,370
2016,30,0,135,370
2016,31,1,136,371
2016,32,12,137,383
2016,33,0,138,383
2016,34,15,139,398
2016,35,0,140,398
2016,36,1,141,399
2016,37,2,142,401
2016,38,0,143,401
2016,39,2,144,403
2016,40,3,145,406
2016,41,5,146,411
2016,42,3,147,414
2016,43,5,148,419
2016,44,1,149,420
2016,45,1,150,421
2016,46,0,151,421
2016,47,0,152,421
2016,48,6,153,427
2016,49,8,154,435
2016,50,11,155,446
2016,51,19,156,465
2016,52,8,157,473
2017,1,0,158,473
2017,2,0,159,473
2017,3,0,160,473
2017,4,0,161,473
2017,5,0,162,473
2017,6,0,163,473
2017,7,0,164,473
2017,8,0,165,473
2017,9,18,166,491
2017,10,9,167,500
2017,11,7,168,507
2017,12,6,169,513
2017,13,17,170,530
2017,14,4,171,534
2017,15,10,172,544
