Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,99,1,99
2014,2,0,2,99
2014,3,70,3,169
2014,4,0,4,169
2014,5,74,5,243
2014,6,0,6,243
2014,7,172,7,415
2014,8,100,8,515
2014,9,106,9,621
2014,10,119,10,740
2014,11,0,11,740
2014,12,121,12,861
2014,13,108,13,969
2014,14,0,14,969
2014,15,61,15,1030
2014,16,0,16,1030
2014,17,117,17,1147
2014,18,90,18,1237
2014,19,83,19,1320
2014,20,58,20,1378
2014,21,0,21,1378
2014,22,0,22,1378
2014,23,0,23,1378
2014,24,0,24,1378
2014,25,0,25,1378
2014,26,0,26,1378
2014,27,0,27,1378
2014,28,0,28,1378
2014,29,0,29,1378
2014,30,0,30,1378
2014,31,0,31,1378
2014,32,0,32,1378
2014,33,0,33,1378
2014,34,0,34,1378
2014,35,0,35,1378
2014,36,5,36,1383
2014,37,0,37,1383
2014,38,96,38,1479
2014,39,0,39,1479
2014,40,0,40,1479
2014,41,0,41,1479
2014,42,52,42,1531
2014,43,0,43,1531
2014,44,0,44,1531
2014,45,74,45,1605
2014,46,76,46,1681
2014,47,83,47,1764
2014,48,0,48,1764
2014,49,0,49,1764
2014,50,0,50,1764
2014,51,0,51,1764
2014,52,0,52,1764
2014,53,0,53,1764
2014,53,0,53,1764
2015,1,0,54,1764
2015,2,0,55,1764
2015,3,38,56,1802
2015,4,35,57,1837
2015,5,57,58,1894
2015,6,46,59,1940
2015,7,53,60,1993
2015,8,18,61,2011
2015,9,18,62,2029
2015,10,62,63,2091
2015,11,81,64,2172
2015,12,10,65,2182
2015,13,86,66,2268
2015,14,0,67,2268
2015,15,3,68,2271
2015,16,27,69,2298
2015,17,0,70,2298
2015,18,0,71,2298
2015,19,121,72,2419
2015,20,0,73,2419
2015,21,0,74,2419
2015,22,0,75,2419
2015,23,96,76,2515
2015,24,88,77,2603
2015,25,0,78,2603
2015,26,0,79,2603
2015,27,0,80,2603
2015,28,89,81,2692
2015,29,0,82,2692
2015,30,0,83,2692
2015,31,0,84,2692
2015,32,0,85,2692
2015,33,0,86,2692
2015,34,0,87,2692
2015,35,0,88,2692
2015,36,0,89,2692
2015,37,0,90,2692
2015,38,103,91,2795
2015,39,0,92,2795
2015,40,164,93,2959
2015,41,109,94,3068
2015,42,87,95,3155
2015,43,73,96,3228
2015,44,0,97,3228
2015,45,59,98,3287
2015,46,111,99,3398
2015,47,53,100,3451
2015,48,0,101,3451
2015,49,85,102,3536
2015,50,100,103,3636
2015,51,0,104,3636
2015,52,25,105,3661
2016,1,0,106,3661
2016,2,0,107,3661
2016,3,0,108,3661
2016,4,0,109,3661
2016,5,0,110,3661
2016,6,0,111,3661
2016,7,0,112,3661
2016,8,0,113,3661
2016,9,0,114,3661
2016,10,0,115,3661
2016,11,0,116,3661
2016,12,0,117,3661
2016,13,93,118,3754
2016,14,80,119,3834
2016,15,78,120,3912
2016,16,90,121,4002
2016,17,0,122,4002
2016,18,106,123,4108
2016,19,79,124,4187
2016,20,98,125,4285
2016,21,82,126,4367
2016,22,95,127,4462
2016,23,0,128,4462
2016,24,85,129,4547
2016,25,84,130,4631
2016,26,0,131,4631
2016,27,84,132,4715
2016,28,0,133,4715
2016,29,87,134,4802
2016,30,110,135,4912
2016,31,84,136,4996
2016,32,0,137,4996
2016,33,67,138,5063
2016,34,86,139,5149
2016,35,0,140,5149
2016,36,52,141,5201
2016,37,91,142,5292
2016,38,68,143,5360
2016,39,80,144,5440
2016,40,75,145,5515
2016,41,84,146,5599
2016,42,0,147,5599
2016,43,77,148,5676
2016,44,121,149,5797
2016,45,43,150,5840
2016,46,0,151,5840
2016,47,22,152,5862
2016,48,89,153,5951
2016,49,126,154,6077
2016,50,99,155,6176
2016,51,86,156,6262
2016,52,0,157,6262
2017,1,0,158,6262
2017,2,88,159,6350
2017,3,71,160,6421
2017,4,66,161,6487
2017,5,66,162,6553
2017,6,0,163,6553
2017,7,60,164,6613
2017,8,113,165,6726
2017,9,182,166,6908
2017,10,181,167,7089
2017,11,0,168,7089
2017,12,78,169,7167
2017,13,80,170,7247
2017,14,101,171,7348
2017,15,0,172,7348
