Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,23,1,23
2014,2,96,2,119
2014,3,115,3,234
2014,4,83,4,317
2014,5,108,5,425
2014,6,81,6,506
2014,7,130,7,636
2014,8,134,8,770
2014,9,119,9,889
2014,10,97,10,986
2014,11,102,11,1088
2014,12,81,12,1169
2014,13,52,13,1221
2014,14,94,14,1315
2014,15,108,15,1423
2014,16,106,16,1529
2014,17,111,17,1640
2014,18,117,18,1757
2014,19,85,19,1842
2014,20,83,20,1925
2014,21,110,21,2035
2014,22,52,22,2087
2014,23,98,23,2185
2014,24,0,24,2185
2014,25,93,25,2278
2014,26,80,26,2358
2014,27,66,27,2424
2014,28,97,28,2521
2014,29,119,29,2640
2014,30,90,30,2730
2014,31,97,31,2827
2014,32,91,32,2918
2014,33,82,33,3000
2014,34,92,34,3092
2014,35,82,35,3174
2014,36,71,36,3245
2014,37,129,37,3374
2014,38,77,38,3451
2014,39,91,39,3542
2014,40,88,40,3630
2014,41,97,41,3727
2014,42,87,42,3814
2014,43,108,43,3922
2014,44,107,44,4029
2014,45,93,45,4122
2014,46,93,46,4215
2014,47,91,47,4306
2014,48,51,48,4357
2014,49,77,49,4434
2014,50,0,50,4434
2014,51,92,51,4526
2014,52,48,52,4574
2014,53,78,53,4652
2014,53,78,53,4730
2015,1,90,54,4820
2015,2,127,55,4947
2015,3,65,56,5012
2015,4,66,57,5078
2015,5,96,58,5174
2015,6,103,59,5277
2015,7,81,60,5358
2015,8,93,61,5451
2015,9,95,62,5546
2015,10,102,63,5648
2015,11,66,64,5714
2015,12,89,65,5803
2015,13,87,66,5890
2015,14,82,67,5972
2015,15,103,68,6075
2015,16,45,69,6120
2015,17,128,70,6248
2015,18,102,71,6350
2015,19,74,72,6424
2015,20,86,73,6510
2015,21,51,74,6561
2015,22,79,75,6640
2015,23,64,76,6704
2015,24,98,77,6802
2015,25,65,78,6867
2015,26,75,79,6942
2015,27,0,80,6942
2015,28,93,81,7035
2015,29,111,82,7146
2015,30,112,83,7258
2015,31,130,84,7388
2015,32,57,85,7445
2015,33,103,86,7548
2015,34,46,87,7594
2015,35,130,88,7724
2015,36,60,89,7784
2015,37,123,90,7907
2015,38,120,91,8027
2015,39,129,92,8156
2015,40,121,93,8277
2015,41,93,94,8370
2015,42,143,95,8513
2015,43,118,96,8631
2015,44,122,97,8753
2015,45,107,98,8860
2015,46,87,99,8947
2015,47,107,100,9054
2015,48,127,101,9181
2015,49,109,102,9290
2015,50,133,103,9423
2015,51,125,104,9548
2015,52,107,105,9655
2016,1,117,106,9772
2016,2,163,107,9935
2016,3,104,108,10039
2016,4,124,109,10163
2016,5,72,110,10235
2016,6,0,111,10235
2016,7,0,112,10235
2016,8,89,113,10324
2016,9,11,114,10335
2016,10,109,115,10444
2016,11,114,116,10558
2016,12,16,117,10574
2016,13,144,118,10718
2016,14,0,119,10718
2016,15,0,120,10718
2016,16,101,121,10819
2016,17,124,122,10943
2016,18,0,123,10943
2016,19,32,124,10975
2016,20,0,125,10975
2016,21,0,126,10975
2016,22,0,127,10975
2016,23,0,128,10975
2016,24,165,129,11140
2016,25,139,130,11279
2016,26,108,131,11387
2016,27,0,132,11387
2016,28,0,133,11387
2016,29,0,134,11387
2016,30,0,135,11387
2016,31,0,136,11387
2016,32,0,137,11387
2016,33,0,138,11387
2016,34,0,139,11387
2016,35,0,140,11387
2016,36,0,141,11387
2016,37,0,142,11387
2016,38,173,143,11560
2016,39,0,144,11560
2016,40,0,145,11560
2016,41,0,146,11560
2016,42,0,147,11560
2016,43,0,148,11560
2016,44,185,149,11745
2016,45,0,150,11745
2016,46,0,151,11745
2016,47,0,152,11745
2016,48,0,153,11745
2016,49,0,154,11745
2016,50,0,155,11745
2016,51,0,156,11745
2016,52,0,157,11745
2017,1,35,158,11780
2017,2,197,159,11977
2017,3,0,160,11977
2017,4,0,161,11977
2017,5,200,162,12177
2017,6,0,163,12177
2017,7,167,164,12344
2017,8,0,165,12344
2017,9,0,166,12344
2017,10,0,167,12344
2017,11,0,168,12344
2017,12,0,169,12344
2017,13,0,170,12344
2017,14,225,171,12569
2017,15,0,172,12569
