Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,351,1,351
2014,2,372,2,723
2014,3,0,3,723
2014,4,0,4,723
2014,5,0,5,723
2014,6,0,6,723
2014,7,0,7,723
2014,8,411,8,1134
2014,9,0,9,1134
2014,10,471,10,1605
2014,11,543,11,2148
2014,12,0,12,2148
2014,13,0,13,2148
2014,14,497,14,2645
2014,15,466,15,3111
2014,16,0,16,3111
2014,17,488,17,3599
2014,18,0,18,3599
2014,19,16,19,3615
2014,20,370,20,3985
2014,21,0,21,3985
2014,22,332,22,4317
2014,23,0,23,4317
2014,24,0,24,4317
2014,25,0,25,4317
2014,26,33,26,4350
2014,27,0,27,4350
2014,28,0,28,4350
2014,29,0,29,4350
2014,30,555,30,4905
2014,31,549,31,5454
2014,32,0,32,5454
2014,33,0,33,5454
2014,34,543,34,5997
2014,35,0,35,5997
2014,36,0,36,5997
2014,37,0,37,5997
2014,38,1,38,5998
2014,39,0,39,5998
2014,40,0,40,5998
2014,41,510,41,6508
2014,42,566,42,7074
2014,43,0,43,7074
2014,44,0,44,7074
2014,45,0,45,7074
2014,46,565,46,7639
2014,47,0,47,7639
2014,48,0,48,7639
2014,49,700,49,8339
2014,50,0,50,8339
2014,51,588,51,8927
2014,52,0,52,8927
2014,53,364,53,9291
2014,53,364,53,9655
2015,1,845,54,10500
2015,2,0,55,10500
2015,3,513,56,11013
2015,4,598,57,11611
2015,5,425,58,12036
2015,6,0,59,12036
2015,7,0,60,12036
2015,8,0,61,12036
2015,9,388,62,12424
2015,10,631,63,13055
2015,11,579,64,13634
2015,12,536,65,14170
2015,13,0,66,14170
2015,14,0,67,14170
2015,15,528,68,14698
2015,16,558,69,15256
2015,17,0,70,15256
2015,18,0,71,15256
2015,19,0,72,15256
2015,20,0,73,15256
2015,21,638,74,15894
2015,22,652,75,16546
2015,23,0,76,16546
2015,24,482,77,17028
2015,25,0,78,17028
2015,26,463,79,17491
2015,27,592,80,18083
2015,28,466,81,18549
2015,29,620,82,19169
2015,30,0,83,19169
2015,31,0,84,19169
2015,32,0,85,19169
2015,33,0,86,19169
2015,34,459,87,19628
2015,35,0,88,19628
2015,36,490,89,20118
2015,37,659,90,20777
2015,38,639,91,21416
2015,39,633,92,22049
2015,40,691,93,22740
2015,41,742,94,23482
2015,42,794,95,24276
2015,43,716,96,24992
2015,44,1345,97,26337
2015,45,1002,98,27339
2015,46,780,99,28119
2015,47,483,100,28602
2015,48,814,101,29416
2015,49,779,102,30195
2015,50,725,103,30920
2015,51,473,104,31393
2015,52,527,105,31920
2016,1,749,106,32669
2016,2,733,107,33402
2016,3,777,108,34179
2016,4,818,109,34997
2016,5,0,110,34997
2016,6,719,111,35716
2016,7,0,112,35716
2016,8,0,113,35716
2016,9,786,114,36502
2016,10,653,115,37155
2016,11,690,116,37845
2016,12,735,117,38580
2016,13,742,118,39322
2016,14,771,119,40093
2016,15,769,120,40862
2016,16,560,121,41422
2016,17,792,122,42214
2016,18,726,123,42940
2016,19,758,124,43698
2016,20,783,125,44481
2016,21,697,126,45178
2016,22,626,127,45804
2016,23,763,128,46567
2016,24,759,129,47326
2016,25,752,130,48078
2016,26,794,131,48872
2016,27,685,132,49557
2016,28,0,133,49557
2016,29,798,134,50355
2016,30,0,135,50355
2016,31,828,136,51183
2016,32,825,137,52008
2016,33,817,138,52825
2016,34,859,139,53684
2016,35,850,140,54534
2016,36,791,141,55325
2016,37,836,142,56161
2016,38,938,143,57099
2016,39,781,144,57880
2016,40,835,145,58715
2016,41,810,146,59525
2016,42,738,147,60263
2016,43,782,148,61045
2016,44,873,149,61918
2016,45,797,150,62715
2016,46,775,151,63490
2016,47,598,152,64088
2016,48,767,153,64855
2016,49,857,154,65712
2016,50,939,155,66651
2016,51,717,156,67368
2016,52,524,157,67892
2017,1,759,158,68651
2017,2,887,159,69538
2017,3,597,160,70135
2017,4,1179,161,71314
2017,5,881,162,72195
2017,6,893,163,73088
2017,7,754,164,73842
2017,8,866,165,74708
2017,9,787,166,75495
2017,10,858,167,76353
2017,11,790,168,77143
2017,12,840,169,77983
2017,13,711,170,78694
2017,14,844,171,79538
2017,15,624,172,80162
