Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,1,7,1
2014,8,2,8,3
2014,9,1,9,4
2014,10,0,10,4
2014,11,0,11,4
2014,12,0,12,4
2014,13,0,13,4
2014,14,1,14,5
2014,15,0,15,5
2014,16,1,16,6
2014,17,0,17,6
2014,18,1,18,7
2014,19,0,19,7
2014,20,0,20,7
2014,21,0,21,7
2014,22,1,22,8
2014,23,0,23,8
2014,24,1,24,9
2014,25,0,25,9
2014,26,0,26,9
2014,27,0,27,9
2014,28,2,28,11
2014,29,1,29,12
2014,30,0,30,12
2014,31,0,31,12
2014,32,0,32,12
2014,33,0,33,12
2014,34,1,34,13
2014,35,0,35,13
2014,36,0,36,13
2014,37,0,37,13
2014,38,0,38,13
2014,39,1,39,14
2014,40,0,40,14
2014,41,0,41,14
2014,42,2,42,16
2014,43,0,43,16
2014,44,0,44,16
2014,45,1,45,17
2014,46,1,46,18
2014,47,0,47,18
2014,48,0,48,18
2014,49,0,49,18
2014,50,0,50,18
2014,51,1,51,19
2014,52,0,52,19
2014,53,0,53,19
2014,53,0,53,19
2015,1,0,54,19
2015,2,0,55,19
2015,3,0,56,19
2015,4,0,57,19
2015,5,0,58,19
2015,6,0,59,19
2015,7,0,60,19
2015,8,0,61,19
2015,9,0,62,19
2015,10,1,63,20
2015,11,0,64,20
2015,12,0,65,20
2015,13,0,66,20
2015,14,0,67,20
2015,15,0,68,20
2015,16,1,69,21
2015,17,1,70,22
2015,18,1,71,23
2015,19,0,72,23
2015,20,0,73,23
2015,21,0,74,23
2015,22,0,75,23
2015,23,0,76,23
2015,24,0,77,23
2015,25,0,78,23
2015,26,0,79,23
2015,27,0,80,23
2015,28,1,81,24
2015,29,0,82,24
2015,30,1,83,25
2015,31,0,84,25
2015,32,0,85,25
2015,33,1,86,26
2015,34,0,87,26
2015,35,4,88,30
2015,36,1,89,31
2015,37,0,90,31
2015,38,0,91,31
2015,39,0,92,31
2015,40,0,93,31
2015,41,0,94,31
2015,42,1,95,32
2015,43,0,96,32
2015,44,0,97,32
2015,45,0,98,32
2015,46,0,99,32
2015,47,1,100,33
2015,48,0,101,33
2015,49,0,102,33
2015,50,0,103,33
2015,51,0,104,33
2015,52,0,105,33
2016,1,0,106,33
2016,2,0,107,33
2016,3,1,108,34
2016,4,3,109,37
2016,5,0,110,37
2016,6,0,111,37
2016,7,1,112,38
2016,8,0,113,38
2016,9,0,114,38
2016,10,0,115,38
2016,11,0,116,38
2016,12,0,117,38
2016,13,1,118,39
2016,14,1,119,40
2016,15,0,120,40
2016,16,0,121,40
2016,17,0,122,40
2016,18,0,123,40
2016,19,0,124,40
2016,20,0,125,40
2016,21,0,126,40
2016,22,0,127,40
2016,23,0,128,40
2016,24,0,129,40
2016,25,2,130,42
2016,26,1,131,43
2016,27,0,132,43
2016,28,0,133,43
2016,29,0,134,43
2016,30,0,135,43
2016,31,0,136,43
2016,32,0,137,43
2016,33,0,138,43
2016,34,0,139,43
2016,35,0,140,43
2016,36,0,141,43
2016,37,0,142,43
2016,38,0,143,43
2016,39,1,144,44
2016,40,0,145,44
2016,41,1,146,45
2016,42,0,147,45
2016,43,0,148,45
2016,44,1,149,46
2016,45,0,150,46
2016,46,0,151,46
2016,47,0,152,46
2016,48,0,153,46
2016,49,0,154,46
2016,50,1,155,47
2016,51,0,156,47
2016,52,0,157,47
2017,1,0,158,47
2017,2,0,159,47
2017,3,0,160,47
2017,4,0,161,47
2017,5,0,162,47
2017,6,0,163,47
2017,7,0,164,47
2017,8,0,165,47
2017,9,0,166,47
2017,10,1,167,48
2017,11,0,168,48
2017,12,0,169,48
2017,13,0,170,48
2017,14,1,171,49
2017,15,0,172,49
