Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,1,20,1
2014,21,0,21,1
2014,22,4,22,5
2014,23,1,23,6
2014,24,1,24,7
2014,25,0,25,7
2014,26,1,26,8
2014,27,1,27,9
2014,28,0,28,9
2014,29,0,29,9
2014,30,2,30,11
2014,31,1,31,12
2014,32,0,32,12
2014,33,0,33,12
2014,34,4,34,16
2014,35,0,35,16
2014,36,0,36,16
2014,37,1,37,17
2014,38,0,38,17
2014,39,0,39,17
2014,40,0,40,17
2014,41,1,41,18
2014,42,0,42,18
2014,43,0,43,18
2014,44,0,44,18
2014,45,0,45,18
2014,46,0,46,18
2014,47,1,47,19
2014,48,1,48,20
2014,49,0,49,20
2014,50,0,50,20
2014,51,0,51,20
2014,52,0,52,20
2014,53,0,53,20
2014,53,0,53,20
2015,1,0,54,20
2015,2,0,55,20
2015,3,0,56,20
2015,4,0,57,20
2015,5,0,58,20
2015,6,0,59,20
2015,7,0,60,20
2015,8,0,61,20
2015,9,0,62,20
2015,10,0,63,20
2015,11,0,64,20
2015,12,1,65,21
2015,13,4,66,25
2015,14,0,67,25
2015,15,0,68,25
2015,16,2,69,27
2015,17,0,70,27
2015,18,2,71,29
2015,19,1,72,30
2015,20,3,73,33
2015,21,2,74,35
2015,22,4,75,39
2015,23,3,76,42
2015,24,4,77,46
2015,25,1,78,47
2015,26,3,79,50
2015,27,0,80,50
2015,28,2,81,52
2015,29,1,82,53
2015,30,0,83,53
2015,31,4,84,57
2015,32,1,85,58
2015,33,0,86,58
2015,34,4,87,62
2015,35,2,88,64
2015,36,0,89,64
2015,37,1,90,65
2015,38,0,91,65
2015,39,1,92,66
2015,40,2,93,68
2015,41,3,94,71
2015,42,1,95,72
2015,43,0,96,72
2015,44,2,97,74
2015,45,0,98,74
2015,46,2,99,76
2015,47,1,100,77
2015,48,4,101,81
2015,49,0,102,81
2015,50,2,103,83
2015,51,5,104,88
2015,52,0,105,88
2016,1,0,106,88
2016,2,1,107,89
2016,3,6,108,95
2016,4,0,109,95
2016,5,3,110,98
2016,6,2,111,100
2016,7,1,112,101
2016,8,1,113,102
2016,9,6,114,108
2016,10,1,115,109
2016,11,2,116,111
2016,12,4,117,115
2016,13,0,118,115
2016,14,4,119,119
2016,15,3,120,122
2016,16,1,121,123
2016,17,2,122,125
2016,18,2,123,127
2016,19,1,124,128
2016,20,0,125,128
2016,21,1,126,129
2016,22,1,127,130
2016,23,1,128,131
2016,24,0,129,131
2016,25,0,130,131
2016,26,1,131,132
2016,27,1,132,133
2016,28,0,133,133
2016,29,1,134,134
2016,30,0,135,134
2016,31,0,136,134
2016,32,0,137,134
2016,33,1,138,135
2016,34,1,139,136
2016,35,1,140,137
2016,36,1,141,138
2016,37,2,142,140
2016,38,1,143,141
2016,39,0,144,141
2016,40,2,145,143
2016,41,2,146,145
2016,42,1,147,146
2016,43,1,148,147
2016,44,1,149,148
2016,45,1,150,149
2016,46,2,151,151
2016,47,1,152,152
2016,48,2,153,154
2016,49,3,154,157
2016,50,2,155,159
2016,51,4,156,163
2016,52,0,157,163
2017,1,4,158,167
2017,2,0,159,167
2017,3,4,160,171
2017,4,4,161,175
2017,5,0,162,175
2017,6,2,163,177
2017,7,1,164,178
2017,8,0,165,178
2017,9,0,166,178
2017,10,0,167,178
2017,11,0,168,178
2017,12,1,169,179
2017,13,3,170,182
2017,14,3,171,185
2017,15,5,172,190
