Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,1,2,2
2014,3,3,3,5
2014,4,2,4,7
2014,5,0,5,7
2014,6,0,6,7
2014,7,1,7,8
2014,8,2,8,10
2014,9,0,9,10
2014,10,0,10,10
2014,11,0,11,10
2014,12,1,12,11
2014,13,1,13,12
2014,14,2,14,14
2014,15,2,15,16
2014,16,1,16,17
2014,17,2,17,19
2014,18,2,18,21
2014,19,2,19,23
2014,20,0,20,23
2014,21,2,21,25
2014,22,1,22,26
2014,23,2,23,28
2014,24,3,24,31
2014,25,2,25,33
2014,26,3,26,36
2014,27,1,27,37
2014,28,0,28,37
2014,29,1,29,38
2014,30,2,30,40
2014,31,0,31,40
2014,32,0,32,40
2014,33,1,33,41
2014,34,1,34,42
2014,35,1,35,43
2014,36,0,36,43
2014,37,2,37,45
2014,38,1,38,46
2014,39,1,39,47
2014,40,1,40,48
2014,41,5,41,53
2014,42,0,42,53
2014,43,1,43,54
2014,44,1,44,55
2014,45,1,45,56
2014,46,0,46,56
2014,47,1,47,57
2014,48,1,48,58
2014,49,3,49,61
2014,50,1,50,62
2014,51,0,51,62
2014,52,0,52,62
2014,53,1,53,63
2014,53,1,53,64
2015,1,4,54,68
2015,2,3,55,71
2015,3,3,56,74
2015,4,1,57,75
2015,5,0,58,75
2015,6,1,59,76
2015,7,2,60,78
2015,8,1,61,79
2015,9,0,62,79
2015,10,3,63,82
2015,11,1,64,83
2015,12,1,65,84
2015,13,1,66,85
2015,14,2,67,87
2015,15,2,68,89
2015,16,3,69,92
2015,17,1,70,93
2015,18,1,71,94
2015,19,0,72,94
2015,20,1,73,95
2015,21,0,74,95
2015,22,0,75,95
2015,23,3,76,98
2015,24,0,77,98
2015,25,0,78,98
2015,26,0,79,98
2015,27,2,80,100
2015,28,1,81,101
2015,29,2,82,103
2015,30,1,83,104
2015,31,5,84,109
2015,32,1,85,110
2015,33,0,86,110
2015,34,0,87,110
2015,35,1,88,111
2015,36,0,89,111
2015,37,1,90,112
2015,38,2,91,114
2015,39,4,92,118
2015,40,4,93,122
2015,41,0,94,122
2015,42,0,95,122
2015,43,0,96,122
2015,44,1,97,123
2015,45,1,98,124
2015,46,2,99,126
2015,47,0,100,126
2015,48,2,101,128
2015,49,2,102,130
2015,50,3,103,133
2015,51,0,104,133
2015,52,1,105,134
2016,1,6,106,140
2016,2,4,107,144
2016,3,3,108,147
2016,4,4,109,151
2016,5,1,110,152
2016,6,3,111,155
2016,7,2,112,157
2016,8,1,113,158
2016,9,0,114,158
2016,10,0,115,158
2016,11,1,116,159
2016,12,3,117,162
2016,13,0,118,162
2016,14,2,119,164
2016,15,3,120,167
2016,16,5,121,172
2016,17,0,122,172
2016,18,3,123,175
2016,19,1,124,176
2016,20,0,125,176
2016,21,3,126,179
2016,22,0,127,179
2016,23,0,128,179
2016,24,0,129,179
2016,25,4,130,183
2016,26,0,131,183
2016,27,1,132,184
2016,28,1,133,185
2016,29,4,134,189
2016,30,0,135,189
2016,31,1,136,190
2016,32,3,137,193
2016,33,1,138,194
2016,34,2,139,196
2016,35,0,140,196
2016,36,2,141,198
2016,37,1,142,199
2016,38,1,143,200
2016,39,2,144,202
2016,40,0,145,202
2016,41,1,146,203
2016,42,2,147,205
2016,43,3,148,208
2016,44,3,149,211
2016,45,0,150,211
2016,46,4,151,215
2016,47,1,152,216
2016,48,4,153,220
2016,49,1,154,221
2016,50,0,155,221
2016,51,0,156,221
2016,52,1,157,222
2017,1,0,158,222
2017,2,1,159,223
2017,3,3,160,226
2017,4,10,161,236
2017,5,2,162,238
2017,6,1,163,239
2017,7,1,164,240
2017,8,1,165,241
2017,9,1,166,242
2017,10,0,167,242
2017,11,0,168,242
2017,12,0,169,242
2017,13,2,170,244
2017,14,3,171,247
2017,15,2,172,249
