Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,2,3,4
2014,4,0,4,4
2014,5,0,5,4
2014,6,0,6,4
2014,7,0,7,4
2014,8,0,8,4
2014,9,0,9,4
2014,10,0,10,4
2014,11,0,11,4
2014,12,1,12,5
2014,13,2,13,7
2014,14,0,14,7
2014,15,0,15,7
2014,16,0,16,7
2014,17,0,17,7
2014,18,1,18,8
2014,19,1,19,9
2014,20,1,20,10
2014,21,0,21,10
2014,22,0,22,10
2014,23,0,23,10
2014,24,0,24,10
2014,25,0,25,10
2014,26,0,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,0,29,10
2014,30,2,30,12
2014,31,0,31,12
2014,32,0,32,12
2014,33,1,33,13
2014,34,1,34,14
2014,35,0,35,14
2014,36,0,36,14
2014,37,0,37,14
2014,38,0,38,14
2014,39,0,39,14
2014,40,0,40,14
2014,41,0,41,14
2014,42,0,42,14
2014,43,0,43,14
2014,44,0,44,14
2014,45,1,45,15
2014,46,0,46,15
2014,47,0,47,15
2014,48,0,48,15
2014,49,0,49,15
2014,50,0,50,15
2014,51,0,51,15
2014,52,0,52,15
2014,53,1,53,16
2014,53,1,53,17
2015,1,0,54,17
2015,2,0,55,17
2015,3,0,56,17
2015,4,0,57,17
2015,5,0,58,17
2015,6,0,59,17
2015,7,0,60,17
2015,8,0,61,17
2015,9,0,62,17
2015,10,1,63,18
2015,11,1,64,19
2015,12,0,65,19
2015,13,0,66,19
2015,14,1,67,20
2015,15,0,68,20
2015,16,1,69,21
2015,17,0,70,21
2015,18,0,71,21
2015,19,0,72,21
2015,20,0,73,21
2015,21,3,74,24
2015,22,0,75,24
2015,23,0,76,24
2015,24,0,77,24
2015,25,0,78,24
2015,26,4,79,28
2015,27,1,80,29
2015,28,0,81,29
2015,29,0,82,29
2015,30,1,83,30
2015,31,0,84,30
2015,32,3,85,33
2015,33,0,86,33
2015,34,1,87,34
2015,35,0,88,34
2015,36,1,89,35
2015,37,1,90,36
2015,38,0,91,36
2015,39,0,92,36
2015,40,0,93,36
2015,41,1,94,37
2015,42,0,95,37
2015,43,2,96,39
2015,44,0,97,39
2015,45,0,98,39
2015,46,2,99,41
2015,47,2,100,43
2015,48,0,101,43
2015,49,0,102,43
2015,50,0,103,43
2015,51,0,104,43
2015,52,0,105,43
2016,1,2,106,45
2016,2,0,107,45
2016,3,0,108,45
2016,4,0,109,45
2016,5,0,110,45
2016,6,0,111,45
2016,7,0,112,45
2016,8,1,113,46
2016,9,0,114,46
2016,10,0,115,46
2016,11,0,116,46
2016,12,0,117,46
2016,13,0,118,46
2016,14,0,119,46
2016,15,0,120,46
2016,16,0,121,46
2016,17,1,122,47
2016,18,0,123,47
2016,19,0,124,47
2016,20,0,125,47
2016,21,0,126,47
2016,22,0,127,47
2016,23,0,128,47
2016,24,0,129,47
2016,25,0,130,47
2016,26,0,131,47
2016,27,0,132,47
2016,28,1,133,48
2016,29,0,134,48
2016,30,0,135,48
2016,31,0,136,48
2016,32,0,137,48
2016,33,0,138,48
2016,34,0,139,48
2016,35,1,140,49
2016,36,0,141,49
2016,37,2,142,51
2016,38,0,143,51
2016,39,0,144,51
2016,40,0,145,51
2016,41,1,146,52
2016,42,1,147,53
2016,43,2,148,55
2016,44,1,149,56
2016,45,0,150,56
2016,46,0,151,56
2016,47,1,152,57
2016,48,2,153,59
2016,49,1,154,60
2016,50,1,155,61
2016,51,0,156,61
2016,52,0,157,61
2017,1,0,158,61
2017,2,0,159,61
2017,3,0,160,61
2017,4,1,161,62
2017,5,0,162,62
2017,6,0,163,62
2017,7,0,164,62
2017,8,0,165,62
2017,9,1,166,63
2017,10,0,167,63
2017,11,0,168,63
2017,12,0,169,63
2017,13,0,170,63
2017,14,1,171,64
2017,15,0,172,64
