Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,1,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,2,10,4
2014,11,0,11,4
2014,12,1,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,0,18,5
2014,19,0,19,5
2014,20,0,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,0,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,1,31,6
2014,32,1,32,7
2014,33,0,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,0,36,7
2014,37,0,37,7
2014,38,0,38,7
2014,39,0,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,0,45,7
2014,46,0,46,7
2014,47,0,47,7
2014,48,2,48,9
2014,49,1,49,10
2014,50,0,50,10
2014,51,0,51,10
2014,52,0,52,10
2014,53,0,53,10
2014,53,0,53,10
2015,1,0,54,10
2015,2,0,55,10
2015,3,0,56,10
2015,4,1,57,11
2015,5,0,58,11
2015,6,0,59,11
2015,7,1,60,12
2015,8,0,61,12
2015,9,0,62,12
2015,10,1,63,13
2015,11,2,64,15
2015,12,1,65,16
2015,13,0,66,16
2015,14,0,67,16
2015,15,1,68,17
2015,16,0,69,17
2015,17,0,70,17
2015,18,1,71,18
2015,19,0,72,18
2015,20,1,73,19
2015,21,0,74,19
2015,22,1,75,20
2015,23,0,76,20
2015,24,0,77,20
2015,25,0,78,20
2015,26,0,79,20
2015,27,0,80,20
2015,28,0,81,20
2015,29,0,82,20
2015,30,0,83,20
2015,31,1,84,21
2015,32,0,85,21
2015,33,0,86,21
2015,34,0,87,21
2015,35,0,88,21
2015,36,1,89,22
2015,37,0,90,22
2015,38,0,91,22
2015,39,0,92,22
2015,40,1,93,23
2015,41,1,94,24
2015,42,1,95,25
2015,43,1,96,26
2015,44,1,97,27
2015,45,0,98,27
2015,46,0,99,27
2015,47,0,100,27
2015,48,2,101,29
2015,49,1,102,30
2015,50,0,103,30
2015,51,0,104,30
2015,52,0,105,30
2016,1,1,106,31
2016,2,0,107,31
2016,3,2,108,33
2016,4,0,109,33
2016,5,0,110,33
2016,6,1,111,34
2016,7,1,112,35
2016,8,0,113,35
2016,9,1,114,36
2016,10,2,115,38
2016,11,1,116,39
2016,12,0,117,39
2016,13,1,118,40
2016,14,0,119,40
2016,15,0,120,40
2016,16,0,121,40
2016,17,0,122,40
2016,18,0,123,40
2016,19,0,124,40
2016,20,1,125,41
2016,21,0,126,41
2016,22,0,127,41
2016,23,0,128,41
2016,24,0,129,41
2016,25,0,130,41
2016,26,0,131,41
2016,27,0,132,41
2016,28,0,133,41
2016,29,1,134,42
2016,30,0,135,42
2016,31,0,136,42
2016,32,0,137,42
2016,33,0,138,42
2016,34,0,139,42
2016,35,0,140,42
2016,36,1,141,43
2016,37,0,142,43
2016,38,1,143,44
2016,39,0,144,44
2016,40,0,145,44
2016,41,0,146,44
2016,42,0,147,44
2016,43,1,148,45
2016,44,0,149,45
2016,45,0,150,45
2016,46,0,151,45
2016,47,0,152,45
2016,48,2,153,47
2016,49,1,154,48
2016,50,1,155,49
2016,51,1,156,50
2016,52,0,157,50
2017,1,0,158,50
2017,2,0,159,50
2017,3,0,160,50
2017,4,0,161,50
2017,5,0,162,50
2017,6,0,163,50
2017,7,0,164,50
2017,8,0,165,50
2017,9,0,166,50
2017,10,0,167,50
2017,11,0,168,50
2017,12,0,169,50
2017,13,0,170,50
2017,14,0,171,50
2017,15,0,172,50
