Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,1,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,1,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,0,24,3
2014,25,0,25,3
2014,26,0,26,3
2014,27,0,27,3
2014,28,0,28,3
2014,29,0,29,3
2014,30,0,30,3
2014,31,0,31,3
2014,32,2,32,5
2014,33,1,33,6
2014,34,0,34,6
2014,35,0,35,6
2014,36,0,36,6
2014,37,0,37,6
2014,38,0,38,6
2014,39,0,39,6
2014,40,0,40,6
2014,41,0,41,6
2014,42,2,42,8
2014,43,0,43,8
2014,44,0,44,8
2014,45,1,45,9
2014,46,0,46,9
2014,47,0,47,9
2014,48,0,48,9
2014,49,0,49,9
2014,50,0,50,9
2014,51,0,51,9
2014,52,0,52,9
2014,53,0,53,9
2014,53,0,53,9
2015,1,0,54,9
2015,2,0,55,9
2015,3,0,56,9
2015,4,0,57,9
2015,5,0,58,9
2015,6,0,59,9
2015,7,0,60,9
2015,8,0,61,9
2015,9,0,62,9
2015,10,0,63,9
2015,11,0,64,9
2015,12,0,65,9
2015,13,0,66,9
2015,14,0,67,9
2015,15,0,68,9
2015,16,0,69,9
2015,17,0,70,9
2015,18,0,71,9
2015,19,0,72,9
2015,20,0,73,9
2015,21,0,74,9
2015,22,0,75,9
2015,23,1,76,10
2015,24,0,77,10
2015,25,1,78,11
2015,26,0,79,11
2015,27,0,80,11
2015,28,0,81,11
2015,29,0,82,11
2015,30,0,83,11
2015,31,0,84,11
2015,32,0,85,11
2015,33,0,86,11
2015,34,0,87,11
2015,35,0,88,11
2015,36,0,89,11
2015,37,0,90,11
2015,38,0,91,11
2015,39,0,92,11
2015,40,0,93,11
2015,41,0,94,11
2015,42,0,95,11
2015,43,0,96,11
2015,44,0,97,11
2015,45,1,98,12
2015,46,1,99,13
2015,47,0,100,13
2015,48,0,101,13
2015,49,0,102,13
2015,50,0,103,13
2015,51,0,104,13
2015,52,0,105,13
2016,1,1,106,14
2016,2,0,107,14
2016,3,0,108,14
2016,4,0,109,14
2016,5,0,110,14
2016,6,0,111,14
2016,7,1,112,15
2016,8,0,113,15
2016,9,0,114,15
2016,10,0,115,15
2016,11,0,116,15
2016,12,0,117,15
2016,13,0,118,15
2016,14,0,119,15
2016,15,0,120,15
2016,16,0,121,15
2016,17,1,122,16
2016,18,0,123,16
2016,19,0,124,16
2016,20,1,125,17
2016,21,0,126,17
2016,22,0,127,17
2016,23,0,128,17
2016,24,2,129,19
2016,25,0,130,19
2016,26,1,131,20
2016,27,0,132,20
2016,28,0,133,20
2016,29,0,134,20
2016,30,0,135,20
2016,31,0,136,20
2016,32,0,137,20
2016,33,0,138,20
2016,34,0,139,20
2016,35,0,140,20
2016,36,0,141,20
2016,37,0,142,20
2016,38,0,143,20
2016,39,0,144,20
2016,40,0,145,20
2016,41,0,146,20
2016,42,0,147,20
2016,43,0,148,20
2016,44,1,149,21
2016,45,1,150,22
2016,46,0,151,22
2016,47,0,152,22
2016,48,0,153,22
2016,49,0,154,22
2016,50,0,155,22
2016,51,0,156,22
2016,52,0,157,22
2017,1,0,158,22
2017,2,0,159,22
2017,3,0,160,22
2017,4,0,161,22
2017,5,0,162,22
2017,6,0,163,22
2017,7,0,164,22
2017,8,0,165,22
2017,9,0,166,22
2017,10,0,167,22
2017,11,1,168,23
2017,12,0,169,23
2017,13,0,170,23
2017,14,2,171,25
2017,15,0,172,25
