Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,1,3,3
2014,4,4,4,7
2014,5,1,5,8
2014,6,0,6,8
2014,7,0,7,8
2014,8,2,8,10
2014,9,1,9,11
2014,10,0,10,11
2014,11,0,11,11
2014,12,2,12,13
2014,13,2,13,15
2014,14,2,14,17
2014,15,1,15,18
2014,16,1,16,19
2014,17,0,17,19
2014,18,0,18,19
2014,19,0,19,19
2014,20,2,20,21
2014,21,0,21,21
2014,22,0,22,21
2014,23,2,23,23
2014,24,1,24,24
2014,25,0,25,24
2014,26,1,26,25
2014,27,1,27,26
2014,28,0,28,26
2014,29,3,29,29
2014,30,0,30,29
2014,31,1,31,30
2014,32,0,32,30
2014,33,2,33,32
2014,34,1,34,33
2014,35,0,35,33
2014,36,1,36,34
2014,37,0,37,34
2014,38,0,38,34
2014,39,1,39,35
2014,40,0,40,35
2014,41,1,41,36
2014,42,0,42,36
2014,43,1,43,37
2014,44,0,44,37
2014,45,1,45,38
2014,46,0,46,38
2014,47,0,47,38
2014,48,2,48,40
2014,49,0,49,40
2014,50,1,50,41
2014,51,1,51,42
2014,52,1,52,43
2014,53,2,53,45
2014,53,2,53,47
2015,1,1,54,48
2015,2,1,55,49
2015,3,2,56,51
2015,4,2,57,53
2015,5,5,58,58
2015,6,2,59,60
2015,7,0,60,60
2015,8,1,61,61
2015,9,5,62,66
2015,10,2,63,68
2015,11,1,64,69
2015,12,3,65,72
2015,13,1,66,73
2015,14,3,67,76
2015,15,1,68,77
2015,16,1,69,78
2015,17,1,70,79
2015,18,1,71,80
2015,19,0,72,80
2015,20,1,73,81
2015,21,0,74,81
2015,22,3,75,84
2015,23,1,76,85
2015,24,1,77,86
2015,25,2,78,88
2015,26,1,79,89
2015,27,1,80,90
2015,28,1,81,91
2015,29,0,82,91
2015,30,1,83,92
2015,31,0,84,92
2015,32,0,85,92
2015,33,0,86,92
2015,34,3,87,95
2015,35,0,88,95
2015,36,0,89,95
2015,37,0,90,95
2015,38,3,91,98
2015,39,0,92,98
2015,40,0,93,98
2015,41,0,94,98
2015,42,1,95,99
2015,43,0,96,99
2015,44,2,97,101
2015,45,0,98,101
2015,46,1,99,102
2015,47,1,100,103
2015,48,2,101,105
2015,49,2,102,107
2015,50,0,103,107
2015,51,0,104,107
2015,52,2,105,109
2016,1,1,106,110
2016,2,0,107,110
2016,3,0,108,110
2016,4,0,109,110
2016,5,3,110,113
2016,6,0,111,113
2016,7,1,112,114
2016,8,2,113,116
2016,9,5,114,121
2016,10,0,115,121
2016,11,2,116,123
2016,12,0,117,123
2016,13,1,118,124
2016,14,1,119,125
2016,15,2,120,127
2016,16,2,121,129
2016,17,1,122,130
2016,18,0,123,130
2016,19,0,124,130
2016,20,1,125,131
2016,21,0,126,131
2016,22,0,127,131
2016,23,1,128,132
2016,24,0,129,132
2016,25,0,130,132
2016,26,0,131,132
2016,27,1,132,133
2016,28,0,133,133
2016,29,2,134,135
2016,30,0,135,135
2016,31,0,136,135
2016,32,0,137,135
2016,33,0,138,135
2016,34,0,139,135
2016,35,1,140,136
2016,36,2,141,138
2016,37,2,142,140
2016,38,0,143,140
2016,39,1,144,141
2016,40,1,145,142
2016,41,0,146,142
2016,42,0,147,142
2016,43,0,148,142
2016,44,0,149,142
2016,45,4,150,146
2016,46,0,151,146
2016,47,0,152,146
2016,48,2,153,148
2016,49,3,154,151
2016,50,1,155,152
2016,51,0,156,152
2016,52,2,157,154
2017,1,2,158,156
2017,2,1,159,157
2017,3,2,160,159
2017,4,1,161,160
2017,5,3,162,163
2017,6,2,163,165
2017,7,0,164,165
2017,8,0,165,165
2017,9,1,166,166
2017,10,1,167,167
2017,11,0,168,167
2017,12,0,169,167
2017,13,4,170,171
2017,14,2,171,173
2017,15,4,172,177
