Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,1,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,1,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,1,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,0,24,3
2014,25,0,25,3
2014,26,0,26,3
2014,27,0,27,3
2014,28,0,28,3
2014,29,0,29,3
2014,30,1,30,4
2014,31,0,31,4
2014,32,1,32,5
2014,33,2,33,7
2014,34,0,34,7
2014,35,1,35,8
2014,36,0,36,8
2014,37,0,37,8
2014,38,1,38,9
2014,39,0,39,9
2014,40,0,40,9
2014,41,0,41,9
2014,42,1,42,10
2014,43,0,43,10
2014,44,0,44,10
2014,45,0,45,10
2014,46,0,46,10
2014,47,0,47,10
2014,48,0,48,10
2014,49,0,49,10
2014,50,1,50,11
2014,51,0,51,11
2014,52,0,52,11
2014,53,0,53,11
2014,53,0,53,11
2015,1,0,54,11
2015,2,1,55,12
2015,3,0,56,12
2015,4,1,57,13
2015,5,0,58,13
2015,6,0,59,13
2015,7,0,60,13
2015,8,0,61,13
2015,9,0,62,13
2015,10,0,63,13
2015,11,0,64,13
2015,12,0,65,13
2015,13,2,66,15
2015,14,0,67,15
2015,15,0,68,15
2015,16,0,69,15
2015,17,2,70,17
2015,18,2,71,19
2015,19,0,72,19
2015,20,0,73,19
2015,21,0,74,19
2015,22,0,75,19
2015,23,2,76,21
2015,24,0,77,21
2015,25,1,78,22
2015,26,0,79,22
2015,27,1,80,23
2015,28,0,81,23
2015,29,0,82,23
2015,30,0,83,23
2015,31,0,84,23
2015,32,3,85,26
2015,33,1,86,27
2015,34,0,87,27
2015,35,0,88,27
2015,36,0,89,27
2015,37,0,90,27
2015,38,0,91,27
2015,39,1,92,28
2015,40,0,93,28
2015,41,1,94,29
2015,42,1,95,30
2015,43,2,96,32
2015,44,0,97,32
2015,45,0,98,32
2015,46,0,99,32
2015,47,0,100,32
2015,48,0,101,32
2015,49,1,102,33
2015,50,0,103,33
2015,51,0,104,33
2015,52,0,105,33
2016,1,0,106,33
2016,2,0,107,33
2016,3,0,108,33
2016,4,1,109,34
2016,5,1,110,35
2016,6,0,111,35
2016,7,0,112,35
2016,8,0,113,35
2016,9,0,114,35
2016,10,1,115,36
2016,11,0,116,36
2016,12,0,117,36
2016,13,0,118,36
2016,14,0,119,36
2016,15,0,120,36
2016,16,0,121,36
2016,17,1,122,37
2016,18,0,123,37
2016,19,0,124,37
2016,20,0,125,37
2016,21,1,126,38
2016,22,0,127,38
2016,23,1,128,39
2016,24,0,129,39
2016,25,2,130,41
2016,26,0,131,41
2016,27,3,132,44
2016,28,4,133,48
2016,29,1,134,49
2016,30,0,135,49
2016,31,0,136,49
2016,32,0,137,49
2016,33,0,138,49
2016,34,0,139,49
2016,35,2,140,51
2016,36,2,141,53
2016,37,1,142,54
2016,38,1,143,55
2016,39,1,144,56
2016,40,0,145,56
2016,41,0,146,56
2016,42,2,147,58
2016,43,1,148,59
2016,44,0,149,59
2016,45,0,150,59
2016,46,3,151,62
2016,47,0,152,62
2016,48,1,153,63
2016,49,5,154,68
2016,50,1,155,69
2016,51,0,156,69
2016,52,1,157,70
2017,1,0,158,70
2017,2,0,159,70
2017,3,0,160,70
2017,4,1,161,71
2017,5,0,162,71
2017,6,4,163,75
2017,7,0,164,75
2017,8,0,165,75
2017,9,0,166,75
2017,10,1,167,76
2017,11,1,168,77
2017,12,2,169,79
2017,13,1,170,80
2017,14,0,171,80
2017,15,0,172,80
