Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,1,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,1,11,3
2014,12,2,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,1,15,6
2014,16,0,16,6
2014,17,0,17,6
2014,18,1,18,7
2014,19,0,19,7
2014,20,0,20,7
2014,21,4,21,11
2014,22,1,22,12
2014,23,0,23,12
2014,24,2,24,14
2014,25,0,25,14
2014,26,0,26,14
2014,27,0,27,14
2014,28,0,28,14
2014,29,0,29,14
2014,30,1,30,15
2014,31,1,31,16
2014,32,2,32,18
2014,33,2,33,20
2014,34,4,34,24
2014,35,1,35,25
2014,36,2,36,27
2014,37,1,37,28
2014,38,2,38,30
2014,39,1,39,31
2014,40,0,40,31
2014,41,0,41,31
2014,42,0,42,31
2014,43,1,43,32
2014,44,1,44,33
2014,45,0,45,33
2014,46,1,46,34
2014,47,0,47,34
2014,48,0,48,34
2014,49,0,49,34
2014,50,3,50,37
2014,51,1,51,38
2014,52,0,52,38
2014,53,0,53,38
2015,1,2,54,40
2015,2,0,55,40
2015,3,0,56,40
2015,4,1,57,41
2015,5,0,58,41
2015,6,1,59,42
2015,7,1,60,43
2015,8,0,61,43
2015,9,1,62,44
2015,10,1,63,45
2015,11,0,64,45
2015,12,2,65,47
2015,13,0,66,47
2015,14,1,67,48
2015,15,1,68,49
2015,16,0,69,49
2015,17,0,70,49
2015,18,1,71,50
2015,19,2,72,52
2015,20,0,73,52
2015,21,0,74,52
2015,22,2,75,54
2015,23,0,76,54
2015,24,0,77,54
2015,25,2,78,56
2015,26,0,79,56
2015,27,1,80,57
2015,28,0,81,57
2015,29,1,82,58
2015,30,2,83,60
2015,31,0,84,60
2015,32,4,85,64
2015,33,0,86,64
2015,34,0,87,64
2015,35,0,88,64
2015,36,0,89,64
2015,37,0,90,64
2015,38,0,91,64
2015,39,0,92,64
2015,40,2,93,66
2015,41,0,94,66
2015,42,0,95,66
2015,43,0,96,66
2015,44,0,97,66
2015,45,3,98,69
2015,46,1,99,70
2015,47,0,100,70
2015,48,5,101,75
2015,49,3,102,78
2015,50,2,103,80
2015,51,0,104,80
2015,52,3,105,83
2016,1,1,106,84
2016,2,1,107,85
2016,3,1,108,86
2016,4,0,109,86
2016,5,2,110,88
2016,6,1,111,89
2016,7,2,112,91
2016,8,1,113,92
2016,9,1,114,93
2016,10,0,115,93
2016,11,0,116,93
2016,12,1,117,94
2016,13,1,118,95
2016,14,1,119,96
2016,15,1,120,97
2016,16,3,121,100
2016,17,1,122,101
2016,18,0,123,101
2016,19,0,124,101
2016,20,2,125,103
2016,21,1,126,104
2016,22,0,127,104
2016,23,0,128,104
2016,24,3,129,107
2016,25,0,130,107
2016,26,0,131,107
2016,27,1,132,108
2016,28,0,133,108
2016,29,1,134,109
2016,30,1,135,110
2016,31,3,136,113
2016,32,1,137,114
2016,33,1,138,115
2016,34,2,139,117
2016,35,3,140,120
2016,36,1,141,121
2016,37,2,142,123
2016,38,3,143,126
2016,39,1,144,127
2016,40,0,145,127
2016,41,1,146,128
2016,42,0,147,128
2016,43,1,148,129
2016,44,1,149,130
2016,45,1,150,131
2016,46,0,151,131
2016,47,2,152,133
2016,48,1,153,134
2016,49,0,154,134
2016,50,0,155,134
2016,51,0,156,134
2016,52,0,157,134
2017,1,1,158,135
2017,2,0,159,135
2017,3,0,160,135
2017,4,0,161,135
2017,5,2,162,137
2017,6,2,163,139
2017,7,1,164,140
2017,8,1,165,141
2017,9,0,166,141
2017,10,4,167,145
2017,11,1,168,146
2017,12,1,169,147
2017,13,0,170,147
2017,14,0,171,147
2017,15,0,172,147
