Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,1,8,1
2014,9,2,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,1,15,4
2014,16,2,16,6
2014,17,0,17,6
2014,18,0,18,6
2014,19,0,19,6
2014,20,1,20,7
2014,21,1,21,8
2014,22,2,22,10
2014,23,2,23,12
2014,24,0,24,12
2014,25,2,25,14
2014,26,0,26,14
2014,27,0,27,14
2014,28,0,28,14
2014,29,1,29,15
2014,30,1,30,16
2014,31,1,31,17
2014,32,0,32,17
2014,33,0,33,17
2014,34,0,34,17
2014,35,0,35,17
2014,36,0,36,17
2014,37,0,37,17
2014,38,0,38,17
2014,39,0,39,17
2014,40,0,40,17
2014,41,0,41,17
2014,42,0,42,17
2014,43,0,43,17
2014,44,0,44,17
2014,45,0,45,17
2014,46,0,46,17
2014,47,4,47,21
2014,48,0,48,21
2014,49,1,49,22
2014,50,1,50,23
2014,51,6,51,29
2014,52,0,52,29
2014,53,1,53,30
2015,1,1,54,31
2015,2,2,55,33
2015,3,1,56,34
2015,4,1,57,35
2015,5,3,58,38
2015,6,0,59,38
2015,7,0,60,38
2015,8,0,61,38
2015,9,1,62,39
2015,10,2,63,41
2015,11,0,64,41
2015,12,0,65,41
2015,13,1,66,42
2015,14,0,67,42
2015,15,1,68,43
2015,16,2,69,45
2015,17,0,70,45
2015,18,1,71,46
2015,19,0,72,46
2015,20,2,73,48
2015,21,0,74,48
2015,22,1,75,49
2015,23,1,76,50
2015,24,0,77,50
2015,25,0,78,50
2015,26,0,79,50
2015,27,3,80,53
2015,28,2,81,55
2015,29,0,82,55
2015,30,1,83,56
2015,31,1,84,57
2015,32,0,85,57
2015,33,2,86,59
2015,34,0,87,59
2015,35,0,88,59
2015,36,0,89,59
2015,37,1,90,60
2015,38,2,91,62
2015,39,1,92,63
2015,40,0,93,63
2015,41,2,94,65
2015,42,0,95,65
2015,43,0,96,65
2015,44,1,97,66
2015,45,0,98,66
2015,46,0,99,66
2015,47,0,100,66
2015,48,0,101,66
2015,49,0,102,66
2015,50,0,103,66
2015,51,0,104,66
2015,52,0,105,66
2016,1,0,106,66
2016,2,0,107,66
2016,3,0,108,66
2016,4,0,109,66
2016,5,0,110,66
2016,6,0,111,66
2016,7,0,112,66
2016,8,0,113,66
2016,9,0,114,66
2016,10,0,115,66
2016,11,0,116,66
2016,12,0,117,66
2016,13,0,118,66
2016,14,0,119,66
2016,15,0,120,66
2016,16,0,121,66
2016,17,0,122,66
2016,18,0,123,66
2016,19,0,124,66
2016,20,0,125,66
2016,21,0,126,66
2016,22,0,127,66
2016,23,0,128,66
2016,24,0,129,66
2016,25,0,130,66
2016,26,0,131,66
2016,27,0,132,66
2016,28,0,133,66
2016,29,0,134,66
2016,30,0,135,66
2016,31,0,136,66
2016,32,0,137,66
2016,33,0,138,66
2016,34,0,139,66
2016,35,0,140,66
2016,36,0,141,66
2016,37,0,142,66
2016,38,0,143,66
2016,39,0,144,66
2016,40,0,145,66
2016,41,0,146,66
2016,42,0,147,66
2016,43,0,148,66
2016,44,0,149,66
2016,45,0,150,66
2016,46,0,151,66
2016,47,0,152,66
2016,48,0,153,66
2016,49,0,154,66
2016,50,0,155,66
2016,51,0,156,66
2016,52,0,157,66
2017,1,0,158,66
2017,2,0,159,66
2017,3,0,160,66
2017,4,0,161,66
2017,5,0,162,66
2017,6,0,163,66
2017,7,0,164,66
2017,8,0,165,66
2017,9,0,166,66
2017,10,0,167,66
2017,11,0,168,66
2017,12,0,169,66
2017,13,0,170,66
2017,14,0,171,66
2017,15,0,172,66
